"Downloaded on",03/05/2025,"13:27:00 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2299%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 1380",https://www.congress.gov/bill/99th-congress/senate-bill/1380,"99th Congress (1985-1986)","A bill to reform certain regulatory procedures governing the export of banned and severely restricted substances.","Glenn, John H., Jr. [Sen.-D-OH] (Introduced 06/27/1985)",Democratic,06/27/1985,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",06/27/1985,"Bumpers, Dale [Sen.-D-AR]","Inouye, Daniel K. [Sen.-D-HI]","Gorton, Slade [Sen.-R-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Agriculture and Food",Chemicals,"Consumer protection","Drug safety and regulation",Drugs,"Drugs and narcotics","Environmental Protection","Export controls",Exports,"Food adulteration and inspection","Food and Food Industry","Foreign Trade and Investments","Foreign Trade and International Finance","Government paperwork","Government records, documents, and information","Product safety",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Reform of Export Notification Act of 1985 - Directs the Director of the Office of Management and Budget to prepare an annual report summarizing all final agency actions and any additional action taken during the preceding fiscal year with respect to banned or severely restricted substances.  Directs the State Department to disseminate this information to the public and to foreign governments. <p>Prohibits the export of such substances unless: (1) the exporter provides written notice to the agency responsible for enforcing the law applicable to the substance stating the intent to export the substance and its destination; (2) the agency provides the Secretary of State with a statement containing certain information; and (3) the Secretary delivers a copy of this statement to an appropriate official of that country. <p>Specifies that the Act does not authorize public disclosure of bona fide trade secrets or other confidential business information. <p>Defines the term ""banned or severely restricted substance"" for purposes of this Act (includes certain foods, drugs, consumer products, and chemicals).",,,,,,
"S. 1371",https://www.congress.gov/bill/99th-congress/senate-bill/1371,"99th Congress (1985-1986)","A bill to designate the portion of 15th Street, Southwest, Washington, District of Columbia, located between Maine and Independence Avenues as ""Raoul Wallenberg Avenue"".","Levin, Carl [Sen.-D-MI] (Introduced 06/27/1985)",Democratic,06/27/1985,"Senate - Governmental Affairs","Committee on Governmental Affairs received executive comment from National Capital Planning Commission.",09/20/1985,"Wilson, Pete [Sen.-R-CA]","Baucus, Max [Sen.-D-MT]","Symms, Steven D. [Sen.-R-ID]","Boren, David L. [Sen.-D-OK]","Proxmire, William [Sen.-D-WI]","Cohen, William S. [Sen.-R-ME]","Quayle, Dan [Sen.-R-IN]","Nickles, Don [Sen.-R-OK]","Dodd, Christopher J. [Sen.-D-CT]","Heinz, John [Sen.-R-PA]","Kennedy, Edward M. [Sen.-D-MA]","Kerry, John F. [Sen.-D-MA]","Murkowski, Frank H. [Sen.-R-AK]","Andrews, Mark [Sen.-R-ND]","Matsunaga, Spark M. [Sen.-D-HI]","Boschwitz, Rudy [Sen.-R-MN]","Bradley, Bill [Sen.-D-NJ]","Bumpers, Dale [Sen.-D-AR]","Cranston, Alan [Sen.-D-CA]","Dixon, Alan J. [Sen.-D-IL]","Hollings, Ernest F. [Sen.-D-SC]","Gore, Albert, Jr. [Sen.-D-TN]","Grassley, Chuck [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,"District of Columbia","Jewish holocaust (1939-1945)","Roads and highways",Streets,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2119,,,CRS,Senate,"05/02/1985 Referred to Subcommittee on Government Operations and Metropolitan Affairs.",,,"<p>Designates a portion of a specified street in the District of Columbia as Raoul Wallenberg Avenue.",,,,,,
"S. 1369",https://www.congress.gov/bill/99th-congress/senate-bill/1369,"99th Congress (1985-1986)","A bill to direct the Secretary of State to take certain measures to improve security at foreign international airports.","Cranston, Alan [Sen.-D-CA] (Introduced 06/26/1985)",Democratic,06/26/1985,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",06/26/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Air piracy",Airports,"American economic assistance",Authorization,Aviation,"Crime prevention","Economics and Public Finance","International Affairs","International agencies","Sanctions (International law)","Security measures",Terrorism,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>International Airport Security Cooperation Act - Directs the Secretary of State (the Secretary) to: (1) determine which countries are high terrorist threats; (2) determine which international airports in those countries are serviced by U.S. air carriers or are otherwise frequently used by U.S. citizens; and (3) determine which of those airports fail to comply with the minimum international airport security standards. <p>Directs the Secretary to:  (1) determine which international airports are not under the de facto control of the government of the country in which they are located; and (2) determine which of those international airports pose a high risk of introducing danger to international air travel. <p>Directs the Secretary to publish a list within six months of enactment of this Act of the airports identified as failing to meet minimum security standards and airports identified as posing a high risk of introducing danger to international travel.  Directs the Secretary to issue a travel advisory with respect to each airport on such list. <p>Directs the President, if after 120 days an international airport is still on the list, to prohibit:  (1) U.S. air carriers from landing at the listed airport; (2) all air carriers of the country in which the airport is located from landing at U.S. airports; and (3) the air carriers of all other countries from making direct flights between the listed airport and the United States.  Lists additional sanctions which the President may impose.  Authorizes the President to waive some of the sanctions for national security or humanitarian reasons. <p>Authorizes the President to lift the travel advisory and other sanctions only if the President determines that the international airports in that country no longer meet specified criteria.  Prohibits the removal of a sanction from taking effect until 15 days after the President notifies the Congress of such decision. <p>Directs the Secretary to:  (1) call for a meeting of the International Civil Aviation Organization (ICAO) to discuss current compliance of airports with existing international security standards and to upgrade the security standards for international airports; and (2) call on member countries of ICAO to enforce existing standards and impose a moratorium on the use of any non-complying international airport. <p>Directs the Secretary to seek agreement on strengthening enforcement measures and standards for compliance with respect to aircraft sabotage, aircraft hijacking, and airport security. <p>Authorizes additional appropriations to carry out the antiterrorism programs of the Foreign Assistance Act of 1961 for FY 1986 and 1987. <p>Authorizes appropriations to the Secretary of Transportation for research on and development of airport security devices or techniques for detecting explosives. <p>Calls upon the President to seek the establishment of an international committee (the International Anti-Terrorism Committee) to focus the attention and secure the cooperation of governments and of the public on the problems and responses to international terrorism.",,,,,,
"S. 1367",https://www.congress.gov/bill/99th-congress/senate-bill/1367,"99th Congress (1985-1986)","A bill to provide for the establishment of a clearinghouse and for studies on how to collect and analyze statistics and other information on the aggregate cost, utilization, and quality of health care services in order to provide for greater efficiency and quality in the purchase of health care services.","Gore, Albert, Jr. [Sen.-D-TN] (Introduced 06/26/1985)",Democratic,06/26/1985,"Senate - Governmental Affairs","Read twice and referred to the Committee on Governmental Affairs.",06/26/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Business and commerce","Federal employees and officials","Government employees' health insurance","Government records, documents, and information",Health,"Information services",Insurance,Medicare,"Research and development","Social Welfare","Science, Technology, Communications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Health Care Systems Clearinghouse Act of 1985 - Directs the Secretary of Health and Human Services to make grants for the establishment and operation of a clearinghouse on aggregate health care data and analytic programs. <p>Sets forth the functions of the clearinghouse which includes:  (1) identifying individuals and organizations that have experience with the collection of aggregate health care data; (2) collecting information on methods for collecting, analyzing, interpreting, and disseminating such information; and (3) providing technical assistance in the use of such data. <p>Prohibits funding for the operation of a clearinghouse after the end of the five-fiscal-year period beginning with FY 1986, unless extended by the Congress. <p>Directs the Secretary to conduct studies on:  (1) making aggregate health care data on the medicare program and the Federal Employees Health Benefits program more widely available; (2) applying existing analytic programs to the analysis of such data; (3) proposed changes in the aggregate health care data collected in the process of implementing Federal health care programs; and (4) proposed changes in the analytic program used to analyze such data. Requires the Secretary to transmit to the Congress a report on each study within six months of enactment of this Act.",,,,,,
"S. 1366",https://www.congress.gov/bill/99th-congress/senate-bill/1366,"99th Congress (1985-1986)","A bill to require the Secretary of Agriculture to conduct a five-year research program to develop new non-food uses for agricultural commodities, and for other purposes.","Glenn, John H., Jr. [Sen.-D-OH] (Introduced 06/26/1985)",Democratic,06/26/1985,"Senate - Agriculture, Nutrition, and Forestry","Referred to Subcommittee on Agricultural Research.",07/17/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agricultural education","Agricultural innovations","Agricultural research","Agriculture and Rural Affairs","Agriculture and Food",Colleges,Education,"Farm produce",Ohio,"Research and development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Agricultural Commodity Uses Research Act of 1985 - Directs the Secretary of Agriculture to conduct a five-year matching funds research program to develop new nonfood uses for agricultural commodities normally used as food or livestock feed. <p>Authorizes FY 1986 through 1990 appropriations.  Requires funds from such appropriations to be used for an agricultural commodity uses research center at Ohio State University, Columbus, Ohio.",,,,,,
"S. 1363",https://www.congress.gov/bill/99th-congress/senate-bill/1363,"99th Congress (1985-1986)","Dangerous Martial Arts Weapons Act of 1986","Kennedy, Edward M. [Sen.-D-MA] (Introduced 06/26/1985)",Democratic,06/26/1985,"Senate - Judiciary","Placed on Senate Legislative Calendar under General Orders. Calendar No. 1017.",09/29/1986,"Chafee, John H. [Sen.-R-RI]","Cranston, Alan [Sen.-D-CA]","D'Amato, Alfonse [Sen.-R-NY]","DeConcini, Dennis [Sen.-D-AZ]","Hollings, Ernest F. [Sen.-D-SC]","Kerry, John F. [Sen.-D-MA]","Metzenbaum, Howard M. [Sen.-D-OH]","Thurmond, Strom [Sen.-R-SC]","Riegle, Donald W., Jr. [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Common carriers","Crime and Law Enforcement","Crime prevention","Fines (Penalties)","Postal Services and Facilities","Postal service","State laws",Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"(Reported to Senate from the Committee on the Judiciary with amendment, S. Rept. 99-503)  <p>Dangerous Martial Arts Weapons Act of 1986 - Amends the Federal criminal code to prohibit the mailing of martial arts weapons in interstate or foreign commerce.  Imposes criminal penalties for violations of this Act.  Allows a State to pass laws providing for the exemption of such State from the provisions of this Act. <p>States that this Act shall not apply to common carriers and specified governmental entities. <p>Exempts knives, swords, and ceremonial or collector weapons that are otherwise mailable under such Act.",,,,,,
"S. 1360",https://www.congress.gov/bill/99th-congress/senate-bill/1360,"99th Congress (1985-1986)","A bill to amend the Energy Policy and Conservation Act to improve the administration of the Federal energy conservation program for consumer products, to enhance consumer information programs, to encourage the purchase of more energy-efficient appliances, to implement efficiency standards for certain appliances and to improve environmental quality by reducing acid-producing emissions threatening public health and safety, and for other purposes.","Cranston, Alan [Sen.-D-CA] (Introduced 06/26/1985)",Democratic,06/26/1985,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",06/26/1985,"Sarbanes, Paul S. [Sen.-D-MD]","Matsunaga, Spark M. [Sen.-D-HI]","Kerry, John F. [Sen.-D-MA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Commerce,"Consumer education","Consumer protection","Electric appliances",Energy,"Energy conservation","Energy efficiency","Gas appliances",Labeling,"Labeling laws",Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2876,,,CRS,Senate,"07/08/1985 Referred to Subcommittee on Energy Conservation and Power.",,,"<p>Consumer Products Energy Efficiency Amendments of 1985 - Amends the Energy Policy and Conservation Act to provide that the labeling rules regarding consumer product energy efficiency standards shall require disclosure of such standards at the point of sale and in any advertising of the product. <p>Directs the Secretary of Energy (the Secretary) to:  (1) publish and make available comparative guides of the energy efficiency and annual operating cost of certain consumer products; (2) prescribe an energy efficiency standard for certain consumer products; and (3) include in the Secretary's annual report on consumer product energy efficiency standards the percentage of covered products or components which are imported. <p>Requires the Secretary, before determining whether a standard is economically justified, to weigh its effect on domestic production, reduction of unemployment, electric utilities, and the human environment. <p>Authorizes the Secretary to prescribe an energy efficiency standard for certain consumer products if it is determined that improvement of 20 percent or more is feasible. <p>Delineates the criteria to be considered by the Secretary in determining whether a performance-related feature justifies the establishment of either a higher or a lower energy efficiency standard. <p>Directs the Secretary to:  (1) issue energy efficiency improvement guidelines for each of the following five years if no standard for a covered consumer product is prescribed; (2) monitor the improvements in efficiency; and (3) prescribe an energy efficiency standard whenever a certain type of consumer product type fails for three consecutive years to achieve at least half of the improvement under such guideline.",,,,,,
"S. 1359",https://www.congress.gov/bill/99th-congress/senate-bill/1359,"99th Congress (1985-1986)","A bill to amend the Urban Mass Transportation Act of 1964 to authorize funds for fiscal years 1986 through 1989, and for other purposes.","Lautenberg, Frank R. [Sen.-D-NJ] (Introduced 06/25/1985)",Democratic,06/25/1985,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",06/25/1985,"Simon, Paul [Sen.-D-IL]","Bradley, Bill [Sen.-D-NJ]","Dixon, Alan J. [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Agriculture and Rural Affairs",Authorization,"Department of Transportation","Diesel motor","Economics and Public Finance","Excise tax","Federal aid highway program","Federal aid to transportation","Gasoline tax","Government trust funds","Highway finance","Interstate highway system","Mass rapid transit","Motor Vehicles and Driving","Motor buses","Petroleum and petroleum products","Roads and highways","Rural affairs legislation","State finance",States,Taxation,"Transportation and Travel","Transportation and Public Works",Trucks,"Urban affairs","Urban transportation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>National Mass Transportation Act of 1985 - <b>Title I:  Urban Mass Transportation</b> - Amends the Urban Mass Transportation Act of 1964 to prescribe certain percentages of urban discretionary grant funds which the Secretary of Transportation (the Secretary) is authorized to allot beginning FY 1986 for:  (1) rail modernization; (2) development and construction of new fixed guideway systems; and (3) extraordinary bus and bus-related activities. <p>Prohibits financial assistance for new fixed guideway systems unless the Secretary determines that the proposed project is:  (1) based upon an alternatives analysis and preliminary engineering; (2) cost effective; and (3) supported by local financial commitment, including dependable funding sources for the construction, maintenance, and operation of such systems. <p>Authorizes appropriations for FY 1986 through 1989 for the public transportation projects substituted for certain withdrawn Interstate segments. <p>Grants the Secretary authority to apportion at the beginning of each fiscal year funds made available for such year from the Mass Transit Account of the Highway Trust Fund for:  (1) certain urban formula grant programs; and (2) small urban and rural transportation programs. <p>Authorizes the Secretary to provide financial assistance to States and local public entities for the renewal of rolling stock subsystems after depletion of at least one-third of the rolling stock's useful life. <p>Authorizes a Federal financial assistance grantee to procure capital replacement materials directly from the original supplier (without receiving a sole source justification from the Secretary) if such materials were originally purchased under competitive bidding procedures which the Secretary adjudged to be fair and reasonable. <p>Authorizes appropriations for FY 1986 through 1989 for specified programs.  Authorizes appropriations from the Mass Transit Account of the Highway Trust Fund for specified programs for FY 1986 through 1989. <p>Prescribes percentage guidelines under which funds appropriated from the general fund of the Treasury are available to implement:  (1) the urban formula grant program; and (2) the small rural and urban transportation program. <p>Amends the Federal-aid highway program to provide that the Federal share of the cost to complete a withdrawn Interstate route segment (as that cost is included in the latest Interstate System cost estimate approved by the Congress) shall be determined by the Secretary based on construction cost increases of the withdrawn portion for the period beginning January 1, 1984, and ending on the date of approval of each substitute project. <p>Amends the Surface Transportation Assistance Act of 1982 to provide that the sum available to the Secretary as the result of a withdrawn Interstate System route shall be the completion cost as of June 30, 1980, subject to increase (as determined by the Secretary) based on such routes' construction cost increases for the period beginning January 1, 1984, and ending on the date of approval of specified substitute projects. <p><b>Title II:  Extension of Gas Tax</b> - Amends the Internal Revenue Code to extend from October 1, 1988, to October 1, 1991, taxes imposed upon diesel and special motor fuels and gasoline.",,,,,,
"S. 1358",https://www.congress.gov/bill/99th-congress/senate-bill/1358,"99th Congress (1985-1986)","A bill to amend title 35 of the United States Code to provide for enforcement by the United States in certain cases.","Metzenbaum, Howard M. [Sen.-D-OH] (Introduced 06/25/1985)",Democratic,06/25/1985,"Senate - Judiciary","Committee on Judiciary received executive comment from Commerce Department.",12/11/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Commerce,"Patent agreements",Patents,"Patents, Trademarks, and Copyrights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the patent law to authorize the United States to enforce the filing requirement in patent interference settlements.",,,,,,
"S. 1355",https://www.congress.gov/bill/99th-congress/senate-bill/1355,"99th Congress (1985-1986)","A bill to amend the Internal Revenue Code of 1954 to provide an income tax credit for expenses incurred by an individual taxpayer for the purchase of television subtitle equipment to be used by a hearing-impaired individual.","Leahy, Patrick J. [Sen.-D-VT] (Introduced 06/25/1985)",Democratic,06/25/1985,"Senate - Finance","Committee on Finance requested executive comment from OMB, Treasury Department.",06/28/1985,"Gore, Albert, Jr. [Sen.-D-TN]","Simon, Paul [Sen.-D-IL]","Stevens, Ted [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Communications and Broadcasting",Deaf,Disabled,"Income tax","Tax credits",Taxation,Television,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2853,,,CRS,Senate,"06/25/1985 Referred to House Committee on Ways and Means.",,,"<p>Amends the Internal Revenue Code to allow an income tax credit in an amount equal to 50 percent of expenses incurred for the purchase and installation of television subtitle equipment to be used by a hearing-impaired individual.  Limits the amount of such credit to $250 ($125 in the case of a married individual filing a separate return).",,,,,,
"S. 1351",https://www.congress.gov/bill/99th-congress/senate-bill/1351,"99th Congress (1985-1986)","A bill to amend title II of the Social Security Act to provide that the legally adopted child of an individual shall be treated the same as a natural child of such individual for purposes of determining his or her eligibility for benefits based on such individual's wage record, regardless of the time the adoption occurred.","Simon, Paul [Sen.-D-IL] (Introduced 06/25/1985)",Democratic,06/25/1985,"Senate - Finance","Committee on Finance requested executive comment from OMB, Treasury Department, Health and Human Services Department.",07/02/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Adoption,"Children and youth",Families,"Old age, survivors and disability insurance","Social security eligibility","Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.367,,,CRS,Senate,"02/07/1985 Referred to Subcommittee on Social Security.",,,"<p>Amends title II (Old Age, Survivors and Disability Insurance) of the Social Security Act to provide that the adopted child of an individual shall be treated the same as a natural child of such individual for purposes of determining the child's eligibility for benefits based on the individual's wage record, regardless of the time the adoption occurred.",,,,,,
"S. 1347",https://www.congress.gov/bill/99th-congress/senate-bill/1347,"99th Congress (1985-1986)","A bill to provide access to criminal history record information for national security purposes for the Department of Defense, the Office of Personnel Management, or the Central Intelligence Agency.","Nunn, Sam [Sen.-D-GA] (Introduced 06/25/1985)",Democratic,06/25/1985,"Senate - Governmental Affairs","Committee on Governmental Affairs received executive comment from Defense Department (Inspector General).",09/09/1985,"Gore, Albert, Jr. [Sen.-D-TN]","Chiles, Lawton [Sen.-D-FL]","Roth Jr., William V. [Sen.-R-DE]","Stevens, Ted [Sen.-R-AK]","Denton, Jeremiah [Sen.-R-AL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Armed Forces and National Security","Court records","Courts and Civil Procedure","Crime and Law Enforcement","Criminal justice information","Government records, documents, and information","Information services","National Security and Intelligence Operations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Security Clearance Information Act of 1985 - Directs any Federal, State or local criminal justice agency (including courts), upon request by the Department of Defense, the Office of Personnel Management, or the Central Intelligence Agency, to make available any criminal history record information regarding any individual under investigation by such requesting agency.  Makes such information available for the purposes of determining eligibility for:  (1) access to classified information; (2) assignment to sensitive national security duties; or (3) acceptance or retention in the armed services. <p>Requires the requesting agency to obtain written consent from the individual under investigation for the release of such information.  Prohibits any criminal history record information received under this Act from being disclosed except for the above purposes or pursuant to the Privacy Act of 1974.",,,,,,
