"Downloaded on",03/04/2025,"18:29:41 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22100%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2901",https://www.congress.gov/bill/100th-congress/senate-bill/2901,"100th Congress (1987-1988)","A bill to amend the Fair Labor Standards Act of 1938 to permit industrial homework except with respect to an individual employer to be in violation of such Act, and for other purposes.","Armstrong, William L. [Sen.-R-CO] (Introduced 10/14/1988)",Republican,10/14/1988,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",10/14/1988,"Cochran, Thad [Sen.-R-MS]","Cohen, William S. [Sen.-R-ME]","Symms, Steven D. [Sen.-R-ID]","Dole, Robert J. [Sen.-R-KS]","Hatch, Orrin G. [Sen.-R-UT]","Helms, Jesse [Sen.-R-NC]","Nickles, Don [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Administrative procedure","Department of Labor","Economic impact statements","Economics and Public Finance","Home labor","Hours of labor","Labor and Employment","Minimum wages",Overtime,Standards,Wages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Fair Labor Standards Act of 1938 (the Act) to permit industrial homework, except with respect to an individual employer violating minimum wage and maximum hour requirements of such Act. <p>Authorizes the Secretary of Labor (current law authorizes the Administrator of the Wage and Hour Division of the Department of Labor) to make regulations and orders regulating and restricting industrial homework.  Provides that the Secretary may not make any regulation or order under the Act that would prohibit an individual from engaging in homework as an employee of an employer subject to the Act, except that the Secretary may make such an order with respect to an individual employer found to be in violation of the Act. <p>Directs the Secretary, within one year after enactment of this Act and each year thereafter, to report to the Congress on:  (1) the impact on industries and employers of the Secretary's regulations and restrictions on industrial homework; and (2) the economic effect on industries and employees of permitting industrial homework.",,,,,,
"S. 2899",https://www.congress.gov/bill/100th-congress/senate-bill/2899,"100th Congress (1987-1988)","A bill to require the Administrator of Veterans' Affairs to construct a medical research center for the Veteran's Administration and the Medical University of South Carolina in Charleston, South Carolina.","Thurmond, Strom [Sen.-R-SC] (Introduced 10/14/1988)",Republican,10/14/1988,"Senate - Veterans' Affairs","Read twice and referred to the Committee on Veterans.",10/14/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security","Building construction","Federal-state relations",Health,"Health facilities",Hospitals,"Medical centers","Medical education","Medical personnel","Medical research","South Carolina","Veterans' hospitals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Requires the Administrator of Veterans Affairs to construct a medical research center at the Veterans Administration Medical Center and the Medical University of South Carolina in Charleston, South Carolina. <p>Provides that such construction may be carried out only if the Administrator, the President of the Medical University, and the Governor of South Carolina enter into a funding agreement to require the Administrator to pay one-half of the cost of constructing and equipping the center and the State of South Carolina and the Medical University to pay the other half of such cost. Authorizes the Administrator to accept payments from the State of South Carolina and the Medical University to defray such costs. <p>Authorizes the Administrator to enter into an agreement with the President of the Medical University that provides for joint ownership, management, and use of the center. <p>Authorizes appropriations.",,,,,,
"S. 2895",https://www.congress.gov/bill/100th-congress/senate-bill/2895,"100th Congress (1987-1988)","A bill to transfer certain lands of the South Carolina Commission of Forestry, an agency of the State of South Carolina.","Thurmond, Strom [Sen.-R-SC] (Introduced 10/14/1988)",Republican,10/14/1988,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",10/14/1988,"Hollings, Ernest F. [Sen.-D-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Animals and Animal Protection",Birds,"Conservation of natural resources","Endangered species","Environmental Protection","Forest fires","Forest management","Forests and forest products","Land transfers","Public Lands and Real Property","Public Lands and Natural Resources",Reforestation,"South Carolina","Wildlife conservation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Authorizes and directs the Secretary of the Interior to transfer certain lands designated as the Carolina Sandhills Wildlife Management Area to the South Carolina Commission of Forestry. <p>Conditions such transfer upon the Commission:  (1) managing such lands for the benefit of endangered species of plants or animals in accordance with the Recovery Plan for the Red Cockaded Woodpecker; (2) consulting with the U.S. Fish and Wildlife Service regarding the impact of its management practices on such endangered species; and (3) entering into an agreement with the U.S. Fish and Wildlife Service to provide to such lands basic forest fire protection and certain burning and reforestation services for specified periods of time after the date of such transfer. <p>Provides that such lands shall revert to the United States if:  (1) the Secretary determines that the Commission is not in compliance with the terms of such transfer; (2) the lands cease to be used for public purposes; or (3) the Commission no longer desires to operate such lands. <p>Authorizes the Commission to acquire lands within or adjacent to the transferred lands by exchange or sale of such land. Provides that the Commission, prior to such acquisition, shall:  (1) notify the U.S. Fish and Wildlife Service; and (2) determine that the acquisition is in the best interest of the public purposes of South Carolina and is necessary for efficient management administration of the transferred lands. <p>Repeals a certain executive order concerning the Sand Hills State Forest.",,,,,,
"S. 2894",https://www.congress.gov/bill/100th-congress/senate-bill/2894,"100th Congress (1987-1988)","A bill to authorize the Secretary of the Interior to convey certain lands in Idaho to Mr. and Mrs. Kenneth Blevins of Kuna, Idaho.","Symms, Steven D. [Sen.-R-ID] (Introduced 10/14/1988)",Republican,10/14/1988,"Senate - Energy and Natural Resources","Referred to Subcommittee on Public Lands, National Parks.",10/17/1988,"McClure, James A. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Private Legislation","Real property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Directs the Secretary of the Interior to convey certain lands in Idaho to named individuals.",,,,,,
"S. 2890",https://www.congress.gov/bill/100th-congress/senate-bill/2890,"100th Congress (1987-1988)","A bill to allow for the use of certain lands in Alaska for small hydropower power projects.","Murkowski, Frank H. [Sen.-R-AK] (Introduced 10/13/1988)",Republican,10/13/1988,"Senate - Energy and Natural Resources","Referred to Subcommittee on Water and Power.",10/14/1988,"Symms, Steven D. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alaska,Energy,"Energy facilities","Hydroelectric power",Lakes,"Water and Water Resources Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Alaska National Interest Lands Conservation Act to facilitate the construction of small hydroelectric power projects at Lake Clark and Grace Lake in Alaska.",,,,,,
"S. 2888",https://www.congress.gov/bill/100th-congress/senate-bill/2888,"100th Congress (1987-1988)","A bill to authorize the Secretary of the department in which the Coast Guard is operating to convey the Block Island Southeast Lighthouse to the Block Island Southeast Lighthouse Foundation.","Chafee, John H. [Sen.-R-RI] (Introduced 10/13/1988)",Republican,10/13/1988,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce.",10/13/1988,"Pell, Claiborne [Sen.-D-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Federal installations","Government Operations and Politics","Land transfers","Lighthouses and lightships",Navigation,"Public Lands and Real Property","Rhode Island","Ships and shipping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Southeast Lighthouse Preservation Act of 1988 - Authorizes the Secretary of the department in which the Coast Guard is operating to convey the Block Island Southeast Lighthouse to the Block Island Southeast Lighthouse Foundation of the town of New Shoreham, Rhode Island.  Provides for the United States to continue to operate and maintain navigation aids in the lighthouse.",,,,,,
"S. 2887",https://www.congress.gov/bill/100th-congress/senate-bill/2887,"100th Congress (1987-1988)","A bill for the relief of Rita Luz Juarez.","Hatfield, Mark O. [Sen.-R-OR] (Introduced 10/13/1988)",Republican,10/13/1988,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",10/13/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 2886",https://www.congress.gov/bill/100th-congress/senate-bill/2886,"100th Congress (1987-1988)","A  bill to provide a method under which the State of New Mexico can continue certain highway road work.","Domenici, Pete V. [Sen.-R-NM] (Introduced 10/13/1988)",Republican,10/13/1988,,"Message on Senate action sent to the House.",10/18/1988,"Bingaman, Jeff [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Armed Forces and National Security","Construction costs",Costs,"Defense articles",Energy,"Energy policy","Environmental Protection","Federal aid to transportation","Federal-state relations","Highway construction and repair","Highway engineering","New Mexico","Nuclear energy","Nuclear weapons","Public safety","Radiation safety","Radioactive wastes","Roads and highways","Transportation and Travel","Transportation of hazardous substances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Directs the Secretary of Energy to enter into an agreement with the State of New Mexico to reimburse it for costs incurred for the construction of certain transportation routes for radioactive waste generated during defense-related activities.",,,,,,
"S. 2885",https://www.congress.gov/bill/100th-congress/senate-bill/2885,"100th Congress (1987-1988)","A bill to amend the Hunger Prevention Act of 1988 to make a technical correction.","Lugar, Richard G. [Sen.-R-IN] (Introduced 10/12/1988)",Republican,10/12/1988,,"Became Public Law No: 100-619.",11/05/1988,"Harkin, Tom [Sen.-D-IA]","Leahy, Patrick J. [Sen.-D-VT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Agriculture and Food","Fines (Penalties)","Food and Food Industry","Food stamps","Grocery trade","Public assistance programs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Hunger Prevention Act of 1988 to make the provisions regarding civil penalties against food stores for food stamp program abuse effective on October 1, 1988.  (The effective date under current law is the earlier of July 1, 1989, or the date the Secretary of Agriculture issues implementing regulations.)",,,,,,
"S. 2884",https://www.congress.gov/bill/100th-congress/senate-bill/2884,"100th Congress (1987-1988)","A bill to establish emergency response procedures for rail carriers in transporting hazardous materials.","Specter, Arlen [Sen.-R-PA] (Introduced 10/12/1988)",Republican,10/12/1988,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce.",10/12/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative procedure",Bridges,"Crime and Law Enforcement","Destruction of property","Emergency Management","Environmental Protection","Fines (Penalties)",Labeling,"Public safety","Railroad rolling stock","Railroad safety",Railroads,"Roads and highways",Standards,"Transportation and Travel","Transportation and Public Works","Transportation of hazardous substances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Hazardous Materials Rail Transportation Safety Act of 1988 - Directs the Secretary of Transportation to issue regulations regarding emergency response procedures for rail carriers in accident or emergency situations involving the transportation and storage of hazardous materials.  Prescribes the contents of such requirements, including a prohibition on the use of railroad tank cars built before November 6, 1971, in hazardous materials transportation unless they meet all safety and design requirements imposed by the Secretary. <p>Directs the Secretary to enter into a contract with the National Academy of Sciences for a study of railroad tank car design, and to report the results of such study to the Congress. <p>Requires the Secretary to promulgate regulations requiring training courses, certified by the Secretary, to be given by any person engaged in hazardous waste transportation. <p>Directs the Federal Railroad Administration (the Administration) to increase the number of inspections it conducts on trains, tracks, and bridges used in connection with hazardous materials transportation.  Mandates that each train carrying hazardous materials be inspected by Administration inspectors at its point of origin.  Prescribes an inspection schedule for track and major signal systems associated with hazardous materials shipments. <p>Requires the Secretary to employ and maintain a specified additional number of safety inspectors to implement the inspections required by this Act and to focus their activities upon the transportation of high-level nuclear waste and spent fuels (with remaining time spent upon the transportation of all other hazardous materials).  Requires the Administration to hire one professional engineer to specialize in the development of improved tank car specifications, regulations, and inspections. <p>Amends the Hazardous Materials Transportation Act to impose criminal penalties upon persons who deface or remove hazardous materials transportation placards. <p>Directs the Administration to inspect bridges on hazardous materials transportation routes, and to assess the current condition of bridges nationwide to determine if bridge safety regulations are needed.  Authorizes appropriations.",,,,,,
"S. 2881",https://www.congress.gov/bill/100th-congress/senate-bill/2881,"100th Congress (1987-1988)","A bill to amend the copyright laws to permit the unlicensed viewing of videos under certain conditions.","Roth Jr., William V. [Sen.-R-DE] (Introduced 10/12/1988)",Republican,10/12/1988,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",10/12/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Commerce,"Communications and Broadcasting",Copyright,"Extended care facilities","Group homes","Health facilities",Hospitals,"Patents, Trademarks, and Copyrights","Video tape recording",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends Federal copyright law to provide that the performance or display of a work by means of a video cassette recorder and television set of a kind commonly used in private homes is not an infringement of copyright if:  (1) the display occurs in a health-care (or health-related) facility; (2) no charge is made for such display; and (3) the display is not further transmitted to the public.",,,,,,
