"Downloaded on",03/04/2025,"18:24:24 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%2296%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2932",https://www.congress.gov/bill/96th-congress/senate-bill/2932,"96th Congress (1979-1980)","A bill to consent to the Goose Lake Basin Compact between the States of California and Oregon.","Hatfield, Mark O. [Sen.-R-OR] (Introduced 07/02/1980)",Republican,07/02/1980,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",07/02/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Government Operations and Politics","Interstate compacts",Lakes,Oregon,States,"Watershed management",California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7280,,,,Senate,,"05/06/1980 Referred to House Committee on Interior and Insular Affairs.",,,,"<p>Interstate Compact - Gives the consent of the Congress to the Goose Lake Basin Compact between the States of California and Oregon which provides for the orderly, integrated and comprehensive development, use, conservation and control of the water resources of Goose Lake Basin.",,,,,,
"S. 2930",https://www.congress.gov/bill/96th-congress/senate-bill/2930,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 to repeal the estate and gift taxes.","Jepsen, Roger W. [Sen.-R-IA] (Introduced 07/02/1980)",Republican,07/02/1980,"Senate - Finance","Referred to Senate Committee on Finance.",07/02/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Estate tax","Gift tax",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7992,,,,Senate,,"08/21/1980 Referred to House Committee on Ways and Means.",,,,"<p>Amends the Internal Revenue Code to abolish the estate and gift taxes.",,,,,,
"S. 2929",https://www.congress.gov/bill/96th-congress/senate-bill/2929,"96th Congress (1979-1980)","A bill to establish an intelligence community to promote the national security of the United States, and for other purposes.","Wallop, Malcolm [Sen.-R-WY] (Introduced 07/02/1980)",Republican,07/02/1980,"Senate - Governmental Affairs","Referred to Senate Committee on Governmental Affairs.",07/02/1980,"Dole, Robert J. [Sen.-R-KS]","Hatch, Orrin G. [Sen.-R-UT]","Hayakawa, Samuel Ichiye [Sen.-R-CA]","Laxalt, Paul D. [Sen.-R-NV]","Lugar, Richard G. [Sen.-R-IN]","Schweiker, Richard S. [Sen.-R-PA]","Simpson, Alan K. [Sen.-R-WY]","Thurmond, Strom [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Advisory bodies","American military assistance",Angola,"Armed Forces and National Security","Central Intelligence Agency","Civil Rights and Liberties","Classified defense information","Congress and Congressmen","Congressional oversight",Counterintelligence,"Crime and Law Enforcement","Crime prevention","Department of Defense","Department of Justice","Department of State","Electronic surveillance",Espionage,"Excise tax","Executive reorganization","Federal Bureau of Investigation (FBI)","Federal advisory bodies","Federal budgets","Government Operations and Politics","Government records, documents, and information","House rules and procedure","International Affairs","Military intelligence","National Security and Intelligence Operations","National security crimes","Right of privacy",Senate,"Senate rules and procedure",Taxation,Terrorism,"Economics and Public Finance","House of Representatives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p><b>Title I:  The Intelligence Community</b> - Authorizes the ""intelligence community"" of the United States to conduct intelligence activities in accordance with the provisions of this Act. <p>Includes the following entities in the intelligence community:  (1) the Office of the Director of National Intelligence; (2) Central Intelligence Analysis Agency; (3) Defense Intelligence Agency; (4) Foreign Intelligence Agency; (5) National Security Agency; (6) National Counterintelligence Office; and (7) intelligence components of the Federal Bureau of Investigation, Drug Enforcement Agency, military services, Departments of Defense, State, Treasury, Energy, and others as determined by the President. <p>Establishes in the Executive Office of the President an Office of the Director of National Intelligence, headed by a Director of National Intelligence appointed by the President. Includes in such Office:  (1) a United States Intelligence Board (USIB), consisting of the heads of the entities in the intelligence community, to coordinate U.S. intelligence activities; and (2) a Board of Presidential Estimates, appointed by the Director, to prepare briefings on intelligence for the President and the National Security Council. <p>Sets forth the duties of the Director, including to:  (1) inform the President of views and developments within the community; (2) make budgetary recommendations for the community; (3) provide the President and Congress with an annual assessment of the community's effectiveness; (4) promulgate regulations governing the classification of sensitive information; (5) coordinate technical services needed by the community; and (6) perform other duties as the President may prescribe. <p>Requires the Director of Central Intelligence, at the request of the National Security Council, to produce Presidential intelligence estimates.  Requires the Director to ensure that diverse points of view within the community are presented. <p>Establishes a nine-member National Foreign Intelligence Advisory Board, appointed by the President, to evaluate continually the effectiveness of the intelligence community.  Directs the Board to report its findings from time to time to the President and the congressional intelligence committees. <p>Establishes a five-member Intelligence Oversight Board, appointed by the President, to investigate allegations of illegal, unethical, or improper activities of any entity in the intelligence community. <p>Directs the head of each entity of the community to establish, subject to the approval of the Director of National Intelligence and the Attorney General, guidelines with respect to the following collection methods that may be used against a ""U.S. person"":  (1) intrusive and other covert or clandestine techniques; (2) informants and undercover agents; (3) examination of third-party records, including telephone bills, medical records, and hotel registrations; and (4) public information sources. <p>Prohibits the nonconsensual use of such methods except in accordance with the guidelines.  Requires the guidelines to: (1) take into account such person's constitutional rights; (2) specify the official who must authorize the collection activity; and (3) be reasonably designed to match the acquisition of information with U.S. security needs.  Prohibits the use of intrusive techniques against any U.S. person to obtain foreign intelligence while such person is in the United States unless the President determines that it is necessary to obtain intelligence essential to the national security and which cannot be obtained by less intrusive methods. <p>Restricts the dissemination of intelligence information with respect to a U.S. person by the United States Counterintelligence Office. <p>Authorizes the head of each entity of the intelligence community to classify information in accordance with the regulations prescribed by the Director of National Intelligence. <p>Subjects any person, who discloses classified information to a person unauthorized to receive it, to the current penalties for the offense of delivering defense information to aid a foreign government. <p>Exempts the intelligence community from any laws requiring disclosure of information with respect to information in files specifically designated by the Director of National Intelligence to be concerned with:  (1) technical systems for the collection of intelligence information; (2) special and foreign intelligence activities; (3) investigations for determining the suitability of intelligence sources; and (4) liaison or information arrangements with foreign governments. <p>Amends the Foreign Assistance Act to repeal the Hughes-Ryan amendment of 1974 (conditioning the funding of covert CIA operations on reporting to the ""appropriate"" congressional committees). <p>Repeals the provision of the International Security Assistance and Arms Export Control Act of 1976 limiting assistance for military activities in Angola. <p><b>Title II:  Central Intelligence Analysis Agency</b> - Establishes a Central Intelligence Analysis Agency headed by a Director appointed by the President for a single ten-year term.  Charges the Agency with collecting and publishing intelligence information to warn the President and congressional intelligence committees of impending warlike acts anywhere in the world and to assess the disposition and activities of foreign governments. <p><b>Title III:  Defense Intelligence Agency</b> - Establishes within the Department of Defense a Defense Intelligence Agency to:  (1) advise the United States Joint Chiefs of Staff; (2) coordinate the intelligence elements of the Armed Forces; and (3) fulfill the same mission as the Central Intelligence Analysis Agency.  Provides for a Director of the Agency, appointed by the President for a single ten-year term. <p><b>Title IV:  The United States Foreign Intelligence Agency</b> - Establishes in the executive branch the United States Foreign Intelligence Agency, headed by a Director appointed by the President for a single ten-year term.  Charges the Agency with collecting throughout the world information not available to the public to keep the President and Congress informed of the resources and activities of foreign governments and entities that might affect the foreign relations or safety and welfare of the United States. <p>Directs the Agency to:  (1) develop the capabilities to influence events outside the United States so that the role of the Government is not revealed or acknowledged and to undertake special activities as the President may order; and (2) conduct intelligence activities in coordination with the Federal Bureau of Investigation as necessary and appropriate to carry out its duties. <p>Requires the Director to report its activities at least annually to the congressional intelligence committees. <p>Authorizes the Agency to:  (1) permit its employees to use covert techniques anywhere in the world which the Director determines are necessary to accomplish the Agency's mission; and (2) engage in intelligence activity outside the United States, other than intelligence gathering, which is approved by the President and with respect to which the intelligence committees are notified as soon as practicable. <p>Establishes within the Agency the Contingency Reserve Fund for activities to accomplish the Agency's mission. <p>Permits particular aliens and their families to be given entry into the United States for permanent residence without regard to their inadmissibility under the immigration laws, upon the determination by the Director, with the approval of the Attorney General, that their admission is in the interest of national security or essential to intelligence activities. <p><b>Title V:  Federal Bureau of Investigation</b> - Directs the FBI to:  (1) perform intelligence and counterintelligence activities to safeguard the United States from foreign agents working in the United States against its interests and from terrorists; and (2) collect and disseminate intelligence to counter terrorism and conduct other activities to achieve the purposes of this Act. <p>Requires that all FBI counterintelligence and counterterrorist activities outside the United States be conducted in coordination with the Foreign Intelligence Agency.  Requires such operations within the United States by other Federal agencies be coordinated with the FBI. <p>Sets forth the duties of the Director of the FBI, including reporting annually to the congressional intelligence committees on foreign intelligence services and terrorist groups operating in the United States. <p>Authorizes the FBI to take all lawful measures to protect the United States from hostile intelligence services and terrorists. <p><b>Title VI:  National Security Agency</b> - Establishes in the Department of Defense the National Security Agency to conduct signals intelligence, cryptology, and communications security for the United States, and to serve as the principal agency of the United States' Signals Intelligence System.  Provides for a director of the Agency appointed by the President for a single ten-year term. <p>Sets forth the duties of the Director, including reporting annually to the congressional intelligence committees on the state of U.S. signals intelligence and communications security. <p><b>Title VII:  United States Counterintelligence Office</b> - Establishes in the Department of Justice a United States Counterintelligence Office to coordinate the counterintelligence activities of the intelligence community.  Provides for a Deputy Attorney General of the Office appointed by the President for a single ten-year term. <p>Charges the Office with retaining the central counterintelligence files of the Government. <p>Authorizes the Office to request any entity of the community to initiate an investigation of any U.S. person on the basis of facts and circumstances which reasonably indicate that such person is engaged in:  (1) clandestine intelligence activity on behalf of a foreign power; (2) international terrorist activity; (3) international trafficking in drugs or other contraband;  and (4) international organized crime activities. <p>Directs the Attorney General, subject to approval of the Director of National Intelligence, to establish guidelines for the dissemination of information to other law enforcement agencies of the Federal, State, local, or foreign governments.  Specifies standards for such guidelines. <p><b>Title VIII:  Congressional Oversight</b> - Directs the head of each entity of the intelligence community to:  (1) keep the congressional intelligence committees fully and currently informed of all intelligence activities; (2) furnish information to such committees upon request;  and (3) report to such committees any illegal and corrective intelligence activities that are taken or planned. <p>Authorizes the President to establish procedures for informing such committees of any special activity not subject to prior notification, together with a statement of reasons for not giving such notice. <p>Directs the House of Representatives and the Senate, in consultation with the Director of National Intelligence, to establish procedures to protect intelligence information from unauthorized disclosure.",,,,,,
"S. 2928",https://www.congress.gov/bill/96th-congress/senate-bill/2928,"96th Congress (1979-1980)","A bill to establish a charter for the Federal Bureau of Investigation, and for other purposes.","Laxalt, Paul D. [Sen.-R-NV] (Introduced 07/02/1980)",Republican,07/02/1980,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",07/02/1980,"Dole, Robert J. [Sen.-R-KS]","Hatch, Orrin G. [Sen.-R-UT]","Hayakawa, Samuel Ichiye [Sen.-R-CA]","Lugar, Richard G. [Sen.-R-IN]","Schweiker, Richard S. [Sen.-R-PA]","Simpson, Alan K. [Sen.-R-WY]","Thurmond, Strom [Sen.-R-SC]","Wallop, Malcolm [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Civil Rights and Liberties","Crime and Law Enforcement","Crime prevention","Criminal investigation","Criminal justice information","Department of Justice","Electronic surveillance","Federal Bureau of Investigation (FBI)","Government Operations and Politics","Government records, documents, and information",Informers,"Intergovernmental relations","National Security and Intelligence Operations","National security crimes","Public records","Right of privacy",Standards,States,"Subversive activities",Terrorism,"Federal aid to law enforcement agencies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Federal Bureau of Investigation Charter Act - Establishes a comprehensive Federal Bureau of Investigation Charter which sets forth the duties and responsibilities of the FBI with respect to criminal and civil investigations, undercover operations, and law enforcement support functions, but excluding foreign intelligence activities (which were specified in Executive Order 12036). <p>Enumerates as general principles of the FBI that it:  (1) conduct investigations consistent with the constitutional and legal rights of U.S. citizens; (2) conduct such investigations and collect such intelligence as is necessary for the security of the United States; (3) not conduct an investigation solely on the basis of the lawful exercise of constitutional or statutory rights, including the expression of a religious or political view or the right to peacefully assemble and petition the Government; and (4) conduct investigations with only such intrusion as is necessary for authorized purposes. <p>Limits the appointment of the Director of the FBI to one ten-year term.  Permits the President to remove the Director only for gross neglect of duty or malfeasance in office.  Specifies the general powers and duties of the Director, Associate Director, an Assistant to the Director, Assistant Director, Inspector, and Agent of the FBI. <p>Authorizes the FBI to conduct investigations of individuals who:  (1) have or are likely to engage in criminal activity; (2) intend to use violence or other unlawful means to overthrow the Federal government or bring about a change in the policy of the Federal, State, or local government; or (3) deny other individuals their constitutional or legal rights. <p>Authorizes the FBI to conduct investigations of two or more persons who are engaged in ""racketeering activity""  (defined as activity involving a violation of 18 U.S.C. 1961-1968) as a continuing enterprise. <p>Authorizes the FBI to conduct investigations and gather such information and intelligence as may be necessary to prevent terrorist activity. <p>Directs the Attorney General, as soon as feasible after enactment, to promulgate guidelines for such investigative authority that embody specific principles. <p>Establishes guidelines on certain investigative techniques, including the use of informants and undercover agents, physical, mail, and electronic surveillance, and access to third party records. <p>Authorizes informants to participate in acts which violate Federal law (other than those resulting in death or serious bodily injury) when under Department supervision to:  (1) obtain information necessary for lawful purposes; (2) establish credibility; or (3) prevent death or serious injury.  Requires prior authorization for participation in criminal activities if circumstances permit.  Requires an informant otherwise to report on his involvement after the event to the supervising officer. <p>Authorizes the use of surveillance as permitted by this Act and in accordance with applicable law. <p>Authorizes access to third party records, including telephone bills, medical records, and hotel and motel registration forms, in accordance with applicable law. <p>Allows the FBI to use other investigative techniques as necessary to carry out the intent of this Act consistent with applicable law. <p>Permits the FBI to retain and disseminate to other government agencies information as needed to investigate criminal activity or for national security and defense. <p>Allows the FBI to destroy records or deposit them in the Archives of the United States for historic preservation when the Director determines that they no longer serve a useful purpose. <p>Specifies circumstances under which criminal investigative information may be disclosed to private parties. <p>Authorizes the FBI to conduct undercover operations when necessary to investigate criminal, terrorist, or racketeering activity.  Allows the Bureau to procure property and services for such purposes without regard to usual procurement regulations. <p>Directs the FBI to conduct investigations at the request of the Attorney General and to collect information as necessary regarding civil disorders that have a potential for violence that may require the presence of Federal troops or U.S. Marshals to enforce Federal law or ensure the safety of peaceful participants. <p>Authorizes the FBI to conduct background investigations of any individual who:  (1) is or may be a Federal employee; (2) has been designated an appointee to an official position within the executive, congressional, or judicial branch of the Government; (3) applied for a Presidential reprieve or pardon; (4) is designated by any Government official as requiring access to classified information; (5) is a contractor or employee thereof for a Federal agency; (6) has applied for a substantial Federal grant or loan; or (7) has access to a person or premises within the protective responsibility of the U.S. Secret Service. <p>Enumerates other special service functions of the FBI, including those relating to congressional committees, grand jury investigations, other protective services, and investigative assistance to other Federal, State, or local law enforcement agencies. <p>Authorizes the FBI to:  (1) provide training for Federal, State, local, and foreign governments; (2) conduct research and development to promote law enforcement; (3) acquire criminal records as necessary to carry out its functions; (4) exchange such information in accordance with applicable law and regulations prescribed by the Attorney General; (5) provide technical assistance at the request of a Federal, State, local, or foreign government; and (6) provide assistance to the United States Secret Service in connection with its protective responsibilities. <p>Allows the Director to impose such disciplinary action as is authorized by law on any person who intentionally uses sensitive investigative techniques in knowing violation of this Act or discloses sensitive information to an unauthorized person while acting as an employee of the FBI. <p>Stipulates that nothing in this Act, including any guidelines established pursuant to this Act, creates any substantive or procedural rights, and no court has jurisdiction over a claim in any proceeding, based solely on violations of its provisions. <p>Provides that no criminal sanction shall be imposed on any person who, while acting as an employee of the FBI in good faith and without willful intent, complies with this Act. <p>Directs the Attorney General to provide to the congressional judiciary committees information concerning implementation of this Act.  Requires the Director to report annually to such committees on:  (1) the total number of investigations conducted in the preceding year; and (2) the total number of activities conducted in the preceding year requiring approval of the Director or the Attorney General. <p>Directs the Attorney General to submit to such committees for review any guidelines established pursuant to this Act. <p>Prohibits the FBI from making available investigative records for ten years after:  (1) the termination of any investigation not resulting in prosecution; or (2) the termination of probation, a term of imprisonment, or imposition of a fine, where the investigation has resulted in a conviction. <p>Requires each agency carrying out law enforcement functions to furnish the same general standardized written response for issuance to any person making a request for records to be used in cases where:  (1) the agency does not have the records requested; and (2) the records are protected because disclosure would reveal that a criminal investigation concerning the person is in progress. <p>Amends the Federal Torts Claims Act to make the remedy against the United States under such Act for the negligent act of an FBI employee acting within the scope of employment exclusive of any other civil action or proceeding by reason of the same subject matter.",,,,,,
"S. 2925",https://www.congress.gov/bill/96th-congress/senate-bill/2925,"96th Congress (1979-1980)","A bill to require that the announcement by the Secretary of Agriculture with respect to a set-aside of cropland under the wheat and feed grains program be made no later than August 1 and November 1 of each year, respectively, for crops harvested in the next calendar year.","Dole, Robert J. [Sen.-R-KS] (Introduced 07/02/1980)",Republican,07/02/1980,"Senate - Agriculture, Nutrition, and Forestry","Referred to Senate Committee on Agriculture, Nutrition and Forestry.",07/02/1980,"Melcher, John [Sen.-D-MT]","Pressler, Larry [Sen.-R-SD]","Bellmon, Henry L. [Sen.-R-OK]","Bentsen, Lloyd M. [Sen.-D-TX]","Boschwitz, Rudy [Sen.-R-MN]","Exon, J. James [Sen.-D-NE]","Helms, Jesse [Sen.-R-NC]","Jepsen, Roger W. [Sen.-R-IA]","Kassebaum, Nancy Landon [Sen.-R-KS]","Lugar, Richard G. [Sen.-R-IN]","McGovern, George [Sen.-D-SD]","Young, Milton R. [Sen.-R-ND]","Zorinsky, Edward [Sen.-D-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,"Acreage allotments","Agriculture and Rural Affairs","Agriculture and Food","Feed grain program",Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Agriculture Act of 1949 to require the Secretary of Agriculture to announce a set-aside of feed grain cropland by November 1 (currently November 15) and of wheat cropland by August 1 (currently August 15) of each calendar year for the crops harvested in the next calendar year.",,,,,,
"S. 2922",https://www.congress.gov/bill/96th-congress/senate-bill/2922,"96th Congress (1979-1980)","A bill to amend the Congressional Budget Act of 1974 to limit the level of total budget outlays in any fiscal year and to require compensation for additional costs imposed on State and local governments, and for other purposes.","Heinz, John [Sen.-R-PA] (Introduced 07/02/1980)",Republican,07/02/1980,"Senate - Budget, Governmental Affairs","Referred to Senate Committee on Governmental Affairs.",07/02/1980,"Durenberger, Dave [Sen.-R-MN]","Goldwater, Barry [Sen.-R-AZ]","Hatch, Orrin G. [Sen.-R-UT]","Heflin, Howell [Sen.-D-AL]","Stone, Richard (Dick) [Sen.-D-FL]","Tower, John G. [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Congressional budget","Economics and Public Finance","Federal budgets","Gross national product",Inflation,"Local and Municipal Government","Local finance",Planning-programming-budgeting,"State finance",States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Congressional Budget Act of 1974 to prohibit total budget outlays for any fiscal year after fiscal year 1980 from exceeding the total budget outlays for the preceding fiscal year by a greater percentage than the percentage increase in the gross national product in the preceding calendar year.  Reduces further the permissible total budget outlays by percentages based upon the inflation rate and Federal grants to State and local governments.  Permits:  (1) an increase in the permissible total budget outlays if both Houses of Congress agree by a three-fourths vote; and (2) emergency outlays to be authorized if the President has declared an emergency and both Houses agree by a two-thirds vote. <p>Prohibits requiring State or local governments to perform additional functions without compensation for necessary costs incurred in connection with such functions.  Requires such compensation to have been authorized and included as a part of the permissible total budget outlays. <p>Requires concurrent resolutions on the budget to include the estimated amount of grants to State and local governments, in the aggregate and as a fraction of total budget outlays, and any changes. <p>Amends the Budget and Accounting Act, 1921, to require the Budget to be prepared in compliance with this Act.  Directs the President to take necessary action to assure continuing compliance with this Act.",,,,,,
"S. 2919",https://www.congress.gov/bill/96th-congress/senate-bill/2919,"96th Congress (1979-1980)","A bill for the relief of Grady L. Lewis.","Cochran, Thad [Sen.-R-MS] (Introduced 07/01/1980)",Republican,07/01/1980,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",07/01/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Permits a named individual to file an appeal with the Merit Systems Protection Board for reinstatement and back pay allegedly due such individual as a result of his early retirement.",,,,,,
"S. 2918",https://www.congress.gov/bill/96th-congress/senate-bill/2918,"96th Congress (1979-1980)","A bill to confer United States citizenship posthumously upon Leopoldine Marie Schmid.","Hayakawa, Samuel Ichiye [Sen.-R-CA] (Introduced 07/01/1980)",Republican,07/01/1980,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",07/01/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Citizenship,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Confers citizenship on Leopoldine Marie Schmid, posthumously.",,,,,,
"S. 2916",https://www.congress.gov/bill/96th-congress/senate-bill/2916,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 to provide that the investment tax credit may be claimed against the alternative minimum tax to the extent that it is attributable to the active conduct of a trade or business.","Dole, Robert J. [Sen.-R-KS] (Introduced 07/01/1980)",Republican,07/01/1980,"Senate - Finance","Referred to Senate Committee on Finance.",07/01/1980,"Cochran, Thad [Sen.-R-MS]","Danforth, John C. [Sen.-R-MO]","Talmadge, Herman E. [Sen.-D-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Business and commerce","Income tax","Investment tax credit","Minimum tax","Tax credits",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Internal Revenue Code to allow a current investment tax credit against the alternative minimum tax to the extent that the amount of such credit is attributable to the active conduct of a trade or business.",,,,,,
"S. 2915",https://www.congress.gov/bill/96th-congress/senate-bill/2915,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 to provide that gains from the sales of patents to unrelated persons should be treated in the same manner as ordinary income from sale or licensing of patents.","Roth Jr., William V. [Sen.-R-DE] (Introduced 07/01/1980)",Republican,07/01/1980,"Senate - Finance","Referred to Senate Committee on Finance.",07/01/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Capital gains tax",Copyright,"Income tax","Patents, Trademarks, and Copyrights",Taxation,Patents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Internal Revenue Code, with respect to computing the limitation on the foreign tax credit for corporations, to exclude from the reckoning of capital gains any gain from the sale, exchange or other disposition of a patent, an invention, model, or design (whether or not patented), a copyright, a secret formula or process, or any other similar property right.",,,,,,
"S. 2906",https://www.congress.gov/bill/96th-congress/senate-bill/2906,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 to provide a credit against tax for certain research and experimental expenditures, and for other purposes.","Danforth, John C. [Sen.-R-MO] (Introduced 06/30/1980)",Republican,06/30/1980,"Senate - Finance","Referred to Senate Committee on Finance.",06/30/1980,"Heinz, John [Sen.-R-PA]","Tsongas, Paul E. [Sen.-D-MA]","Bentsen, Lloyd M. [Sen.-D-TX]","Bradley, Bill [Sen.-D-NJ]","Chafee, John H. [Sen.-R-RI]","Cranston, Alan [Sen.-D-CA]","Durkin, John A. [Sen.-D-NH]","Ribicoff, Abraham A. [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Business and commerce","Income tax","Research and development","Science and technology","Tax credits","Tax deductions","Tax incentives",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7909,,,,Senate,,"07/31/1980 Referred to House Committee on Ways and Means.",,,,"<p>Amends the Internal Revenue Code to allow an income tax credit of 25 percent of the qualified research and experimental expenditures paid or incurred by a taxpayer in connection with his trade or business.  Defines ""qualified research and experimental expenditures"" as those business-related expenditures which are currently deductible under provisions of the Internal Revenue Code, but limits the scope of such expenditures to technological research designed to develop or improve products or services.  Excludes expenditures for research or experimentation in the social sciences or humanities, government-funded research, or research carried on in the taxpayer's behalf. <p>Limits the amount of expenditures eligible for the credit to those which exceed 100 percent of the annual average of such expenditures for the immediately preceding three years.  Provides for a three-year carryback and seven-year carryover of unused credits.",,,,,,
