"Downloaded on",03/05/2025,"13:18:52 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22congress%22%3A%5B%22109%22%5D%2C%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 622",https://www.congress.gov/bill/109th-congress/senate-bill/622,"109th Congress (2005-2006)","A bill to amend the Homeland Security Act of 2002 (Public Law 107-296) to provide for the protection of voluntarily furnished confidential information, and for other purposes.","Leahy, Patrick J. [Sen.-D-VT] (Introduced 03/15/2005)",Democratic,03/15/2005,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S2737-2738)",03/15/2005,"Levin, Carl [Sen.-D-MI]","Lieberman, Joseph I. [Sen.-D-CT]","Feingold, Russell D. [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Civil Rights and Liberties, Minority Issues","Confidential communications",Congress,"Congressional investigations","Congressional reporting requirements","Crime and Law Enforcement","Freedom of information","Government Operations and Politics",Infrastructure,"Infrastructure (Economics)",Law,Terrorism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," Restoration of Freedom of Information Act of 2005 - Amends the Homeland Security Act of 2002 to prohibit a record pertaining to the vulnerability of and threats to critical infrastructure that is furnished voluntarily to the Department of Homeland Security from being made available to the public under the Freedom of Information Act if: (1) the provider would not customarily make the record available to the public; and (2) the record is designated and certified by the provider as confidential and not customarily made available to the public. Prohibits other Federal agencies in receipt of such a record furnished to the Department from making the record publicly available. Allows a provider to withdraw the confidential designation of a record at any time.",,,,,,
"S. 621",https://www.congress.gov/bill/109th-congress/senate-bill/621,"109th Congress (2005-2006)","A bill to amend the Internal Revenue Code of 1986 to permanently extend the 15-year recovery period for the depreciation of certain leasehold improvements.","Conrad, Kent [Sen.-D-ND] (Introduced 03/15/2005)",Democratic,03/15/2005,"Senate - Finance","Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S2736)",03/15/2005,"Kyl, Jon [Sen.-R-AZ]","Dorgan, Byron L. [Sen.-D-ND]","Clinton, Hillary Rodham [Sen.-D-NY]","Hatch, Orrin G. [Sen.-R-UT]","Isakson, Johnny [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Commerce,"Depreciation and amortization","Income tax",Leases,"Tax deductions",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1663,,,,,,,,,,,,CRS,,,"04/14/2005 Referred to the House Committee on Ways and Means.",,,,,,,,,,," <p>Amends the Internal Revenue Code to make permanent the 15-year recovery period for the depreciation of qualified leasehold improvement property (property held and improved by a lessor).</p>",,,,,,
"S. 620",https://www.congress.gov/bill/109th-congress/senate-bill/620,"109th Congress (2005-2006)","A bill to reinstate the Public Safety and Recreational Firearms Use Protection Act.","Feinstein, Dianne [Sen.-D-CA] (Introduced 03/14/2005)",Democratic,03/14/2005,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",03/14/2005,"Levin, Carl [Sen.-D-MI]","Warner, John [Sen.-R-VA]","Dodd, Christopher J. [Sen.-D-CT]","Mikulski, Barbara A. [Sen.-D-MD]","Boxer, Barbara [Sen.-D-CA]","DeWine, Mike [Sen.-R-OH]","Durbin, Richard J. [Sen.-D-IL]","Reed, Jack [Sen.-D-RI]","Schumer, Charles E. [Sen.-D-NY]","Clinton, Hillary Rodham [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"Drug abuse","Drug traffic","Firearms control","Governmental investigations","Identification devices","Sentences (Criminal procedure)",Violence,Ammunition,"Assault weapons",Congress,"Congressional reporting requirements","Crime and Law Enforcement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.645,,,,,,,,,,,,CRS,,,"03/16/2005 Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S2855-2856)",,,,,,,,,,," <p>Assault Weapons Ban Reauthorization Act of 2005 - Amends the Federal criminal code to reinstate, for ten years, the Public Safety and Recreational Firearms Use Protection Act's assault weapons ban to prohibit the manufacture, transfer, or possession of a semiautomatic assault weapon or a large capacity ammunition feeding device. Specifies models and features of banned weapons. </p> <p>Sets forth exceptions to such ban, including: (1) firearms or devices lawfully possessed under Federal law on the date of enactment of this Act; (2) certain firearms, replicas, or duplicates listed in an appendix as they were manufactured on October 1, 1993; (3) any firearm that is manually operated by bolt, pump, lever, or slide action and that has been rendered permanently inoperable or that is an antique firearm; (4) any semiautomatic rifle that cannot accept a detachable magazine that holds more than five rounds of ammunition; (5) any semiautomatic shotgun that cannot hold more than five rounds in a fixed or detachable magazine; and (6) firearms manufactured for, transferred to, or possessed by a Federal, State, or local government agency or for law enforcement.</p> <p>Requires the serial number of any weapon or device manufactured after enactment of this Act to clearly show the date of manufacture.</p> <p>Directs the Attorney General to study and report to Congress on the effects of this Act on violent and drug trafficking crime.</p>",,,,,,
"S. 619",https://www.congress.gov/bill/109th-congress/senate-bill/619,"109th Congress (2005-2006)","A bill to amend title II of the Social Security Act to repeal the Government pension offset and windfall elimination provisions.","Feinstein, Dianne [Sen.-D-CA] (Introduced 03/14/2005)",Democratic,03/14/2005,"Senate - Finance","Read twice and referred to the Committee on Finance.",03/14/2005,"Dodd, Christopher J. [Sen.-D-CT]","Specter, Arlen [Sen.-R-PA]","Lautenberg, Frank R. [Sen.-D-NJ]","Collins, Susan M. [Sen.-R-ME]","Lincoln, Blanche L. [Sen.-D-AR]","Dayton, Mark [Sen.-D-MN]","Nelson, Bill [Sen.-D-FL]","Kerry, John F. [Sen.-D-MA]","Kennedy, Edward M. [Sen.-D-MA]","Durbin, Richard J. [Sen.-D-IL]","Johnson, Tim [Sen.-D-SD]","Boxer, Barbara [Sen.-D-CA]","Snowe, Olympia J. [Sen.-R-ME]","Vitter, David [Sen.-R-LA]","Murray, Patty [Sen.-D-WA]","Landrieu, Mary L. [Sen.-D-LA]","Cantwell, Maria [Sen.-D-WA]","Leahy, Patrick J. [Sen.-D-VT]","Stabenow, Debbie [Sen.-D-MI]","Lieberman, Joseph I. [Sen.-D-CT]","Corzine, Jon S. [Sen.-D-NJ]","Murkowski, Lisa [Sen.-R-AK]","Obama, Barack [Sen.-D-IL]","Menendez, Robert [Sen.-D-NJ]","Reid, Harry [Sen.-D-NV]","Akaka, Daniel K. [Sen.-D-HI]","DeWine, Mike [Sen.-R-OH]","Allen, George [Sen.-R-VA]","Bayh, Evan [Sen.-D-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,"Labor and Employment","Government Operations and Politics","Civil service retirement","Social Welfare","Old age, survivors and disability insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Social Security Fairness Act of 2005 - Amends title II (Old Age, Survivors and Disability Insurance) (OASDI) of the Social Security Act to repeal: (1) Government pension offset requirements applicable to husband's and wife's insurance benefits, widow's and widower's insurance benefits, and mother's and father's insurance benefits with respect to OASDI payments; and (2) windfall elimination requirements with respect to computation of an individual's primary insurance amount.</p>",,,,,,
"S. 617",https://www.congress.gov/bill/109th-congress/senate-bill/617,"109th Congress (2005-2006)","A bill to direct the Secretary of the Army to carry out the dredging project, Menominee Harbor, Menominee River, Michigan and Wisconsin.","Levin, Carl [Sen.-D-MI] (Introduced 03/14/2005)",Democratic,03/14/2005,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",03/14/2005,"Stabenow, Debbie [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Inland water transportation",Infrastructure,Navigation,Rivers,"Transportation and Public Works","Water Resources Development",Wisconsin,Michigan,Harbors,"Finance and Financial Sector",Dredging,"Cost effectiveness","Civil engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.667,,,,,,,,,,,,CRS,House,,"02/09/2005 Referred to the Subcommittee on Water Resources and Environment.",,,,,,,,,,," <p>Directs the Secretary of the Army to carry out a previously deauthorized navigation project at Menominee Harbor and River, Michigan and Wisconsin, at full Federal expense, regardless of whether the benefits of the project exceed the estimated costs.</p>",,,,,,
"S. 616",https://www.congress.gov/bill/109th-congress/senate-bill/616,"109th Congress (2005-2006)","A bill to inform the American public and to protect children from increasing depictions of indecent and gratuitous and excessive violent material on television, and for other purposes.","Rockefeller, John D., IV [Sen.-D-WV] (Introduced 03/14/2005)",Democratic,03/14/2005,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation. (text of measure as introduced: CR S2650-2652)",03/14/2005,"Hutchison, Kay Bailey [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Violence in mass media","Web sites","Educational television","Electronic government information","Elementary and secondary education",Families,"Federal Communications Commission","Fines (Penalties)",Forfeiture,"Government Operations and Politics","Government publicity","Independent regulatory commissions",Internet,Law,Licenses,"Administrative procedure","Antitrust law","Cable television",Commerce,Congress,"Congressional reporting requirements",Education,Pornography,"Public meetings","Radio broadcasting","Radio programs","Radio stations","Science, Technology, Communications",Standards,"Television and children","Television broadcasting","Television programs","Television relay systems","Television stations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Indecent and Gratuitous and Excessively Violent Programming Control Act of 2005 - Directs the Federal Communications Commission (FCC) to assess the: (1) technological and practical effectiveness of measures that require television broadcast station licensees (licensees) and multichannel video programming distributors (MVPDs) to rate and encode programming that could be blocked by parents; (2) prevalence of violent programming on television; and (3) effectiveness of the current system for rating and encoding violent programming. Requires the FCC, if it determines that current rating and encoding measures are not effective in protecting children from violent or indecent video programming, to initiate and conclude a rulemaking proceeding to: (1) prohibit licensees from broadcasting such programming during children's viewing hours; or (2) adopt measures that adequately protect children from such programming. Provides exemptions, including premium and pay-for-view services.</p> <p>Amends the Communications Act of 1934 to provide forfeiture penalties for licensees or license applicants determined to have broadcast obscene, indecent, or profane language or images. Outlines factors to be considered in determining penalty amounts, including: (1) whether the material was live or recorded, scripted or unscripted; (2) whether a time delay blocking mechanism was implemented; (3) the size of the audience and market; and (4) whether the violation occurred during children's viewing hours. Requires public hearings with respect to violations of indecency prohibitions.</p> <p>Requires licensees or permittees that receive programming from an unaffiliated network to be given reasonable opportunity to review all recorded or scripted programming in advance, and to preempt any violating programming.</p> <p>Requires each licensee, MVPD, and other programming service to provide a warning of the specific content of each recorded or scripted program it broadcasts.</p> <p>Directs the FCC to: (1) assess the effectiveness of voluntary programming rating standards; and (2) require each licensee to broadcast daily at least six hours of educational and informational programming.</p> <p>Expresses the sense of Congress that each licensee, MVPD, and other programming service should reinstitute or adopt provisions set forth in the &quot;Television Code of the National Association of Broadcasters,&quot; as adopted on December 6, 1951.</p>",,,,,,
"S. 615",https://www.congress.gov/bill/109th-congress/senate-bill/615,"109th Congress (2005-2006)","A bill to amend title 38, United State Code, to improve benefits under the Montgomery GI Bill by establishing an enhanced educational assistance program and by repealing the requirement for reduction in pay for participation in the program, and for other purposes.","Dayton, Mark [Sen.-D-MN] (Introduced 03/14/2005)",Democratic,03/14/2005,"Senate - Veterans' Affairs","Read twice and referred to the Committee on Veterans' Affairs.",03/14/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security","Compensatory education","Cost of living adjustments",Disabled,Education,"Elementary and secondary education","Government Operations and Politics","Government publicity","Higher education",Income,"Labor and Employment",Law,Licenses,"Military discharges","Military pay",Scholarships,"Secondary education","Student loan funds","Technical education","Veterans' education","Vocational and technical education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," Montgomery GI Bill Revitalization Act of 2005 - Amends Federal basic educational assistance provisions (the Montgomery GI Bill) to authorize enhanced educational assistance to a member of the armed forces who, after September 30, 2005: (1) first enters on active duty; (2) reenlists or continues to serve on active duty; (3) serves a continuous period of active duty of four years; or (4) serves and is discharged or released for a service-connected disability, at the convenience of the Government (after serving at least 42 months of such duty), or due to a reduction in force. Limits to 36 months the period for such enhanced assistance. Requires the payment of educational expenses under such program. Provides: (1) a monthly stipend for approved programs of education; and (2) tutorial assistance. <p>Repeals, with respect to such assistance: (1) a required monthly reduction in pay for individuals who do not elect to participate in such assistance program; (2) a provision authorizing individuals to elect not to receive such assistance; (3) the requirement that participants complete the requirements of a high school diploma or equivalency certificate prior to the end of their initial obligated period of service in order to be eligible to receive such assistance; and (4) provisions limiting an individual's opportunity to withdraw an election not to enroll in such assistance program.",,,,,,
"S. 608",https://www.congress.gov/bill/109th-congress/senate-bill/608,"109th Congress (2005-2006)","A bill to create an independent office in the Department of Labor to advocate on behalf of pension participants, and for other purposes.","Harkin, Tom [Sen.-D-IA] (Introduced 03/11/2005)",Democratic,03/11/2005,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",03/11/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Commerce,Congress,"Congressional reporting requirements","Department of Labor","Employee rights","Executive reorganization","Government Operations and Politics","Government paperwork","Government publicity","Labor and Employment",Law,Legislation,Ombudsman,"Pension funds","Public-private partnerships","Administrative procedure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Employee Retirement Income Security Act of 1974 (ERISA) to establish an Office of Pension Participant Advocacy, with a Pension Participant Advocate, in the Department of Labor.</p>",,,,,,
"S. 607",https://www.congress.gov/bill/109th-congress/senate-bill/607,"109th Congress (2005-2006)","A bill to amend the Employee Retirement Income Security Act of 1974 and the Internal Revenue Code of 1986 with respect to early retirement benefits, and for other purposes.","Harkin, Tom [Sen.-D-IA] (Introduced 03/11/2005)",Democratic,03/11/2005,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",03/11/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Pension funds","Social Welfare",Commerce,"Corporate mergers","Corporate reorganizations","Early retirement","Labor and Employment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Employee Retirement Income Security Act of 1974 (ERISA) and the Internal Revenue Code of 1986 to protect pro rata shares of employees' subsidized early retirement benefits in cases of corporate mergers and acquisitions where the successor employer does not continue to maintain the pension plan.</p>",,,,,,
"S. 605",https://www.congress.gov/bill/109th-congress/senate-bill/605,"109th Congress (2005-2006)","A bill to amend the Internal Revenue Code of 1986 to restore the phaseout of personal exemptions and the overall limitation on itemized deductions, and to create a trust fund for the funding of education programs.","Harkin, Tom [Sen.-D-IA] (Introduced 03/11/2005)",Democratic,03/11/2005,"Senate - Finance","Read twice and referred to the Committee on Finance.",03/11/2005,"Durbin, Richard J. [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Economics and Public Finance",Education,"Elementary and secondary education","Federal aid to education","Government trust funds","Income tax","Tax deductions","Tax exemption",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.1861,,,,,,,,,,,,CRS,,,"10/07/2005 Read twice and referred to the Committee on Finance.",,,,,,,,,,," <p>Education Funding Act of 2005 - Amends the Internal Revenue Code to restore the phaseout of the personal tax exemption and the overall limitation on itemized tax deductions. </p> <p>Establishes in the Treasury the Education Trust Fund. Appropriates to such Fund 50 percent of the revenues raised by this Act for the purpose of funding education programs administered by the Department of Education to the degree that funding for such programs are increased from the FY 2005 level. </p>",,,,,,
"S. 603",https://www.congress.gov/bill/109th-congress/senate-bill/603,"109th Congress (2005-2006)","A bill to amend the Consumer Credit Protection Act to assure meaningful disclosures of the terms of rental-purchase agreements, including disclosures of all costs to consumers under such agreements, to provide certain substantive rights to consumers under such agreements, and for other purposes.","Landrieu, Mary L. [Sen.-D-LA] (Introduced 03/11/2005)",Democratic,03/11/2005,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs. (text of measure as introduced: CR S2517-2521)",03/11/2005,"Baucus, Max [Sen.-D-MT]","Shelby, Richard C. [Sen.-R-AL]","Johnson, Tim [Sen.-D-SD]","Lincoln, Blanche L. [Sen.-D-AR]","Bunning, Jim [Sen.-R-KY]","Talent, Jim [Sen.-R-MO]","Dorgan, Byron L. [Sen.-D-ND]","Nelson, Ben [Sen.-D-NE]","Vitter, David [Sen.-R-LA]","Murray, Patty [Sen.-D-WA]","Martinez, Mel [Sen.-R-FL]","Brownback, Sam [Sen.-R-KS]","Conrad, Kent [Sen.-D-ND]","Cochran, Thad [Sen.-R-MS]","Cantwell, Maria [Sen.-D-WA]","Bond, Christopher S. [Sen.-R-MO]","Hagel, Chuck [Sen.-R-NE]","Roberts, Pat [Sen.-R-KS]","Thune, John [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,"Federal preemption","Civil actions and liability",Commerce,"Consumer credit","Consumer education","Consumer protection",Contracts,"Crime and Law Enforcement","Criminal liability",Damages,"Administrative procedure",Advertising,"Business records",Taxation,Warranties,"Federal Reserve System",Fees,"Finance and Financial Sector","Financial statements","Fines (Penalties)",Fraud,Garnishment,"Government liability","Government Operations and Politics","Government paperwork","Independent regulatory commissions",Injunctions,"Insurance premiums",Labeling,"Labor and Employment",Law,"Lease and rental services",Leases,"Liability (Law)","Liability insurance","Limitation of actions","Maintenance and repair","Negotiable instruments","Parties to actions",Prices,"Property insurance",Rent,"Restrictive trade practices","Small business","State laws","Surety and fidelity","Deceptive advertising","District courts","Evidence (Law)","Federal Trade Commission",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," Consumer Rental Purchase Agreement Act of 2005 - Amends the Consumer Credit Protection Act to prescribe guidelines for rental-purchase transactions, including: (1) the determination of rental-purchase cost; (2) disclosure requirements; (3) prohibitions against confessions of judgment, wage assignments, and waiver of consumer claims or defenses, and other specified types of provisions; (4) furnishing of statements of account; (5) point-of-rental disclosures; and (6) rental-purchase advertising disclosures. <p>Declares that an action for civil liability may be brought against a merchant's assignee only if the violation is apparent on the face of a rental-purchase agreement to which it relates, including, but not limited to, a disclosure that can be determined to be incomplete or inaccurate from the face of the agreement. <p>Authorizes the Board of Governors of the Federal Reserve System to promulgate implementing regulations. <p>Provides for Federal and State enforcement of this Act. Subjects to criminal penalties any willful and knowing violation of the information disclosure requirements of this Act.",,,,,,
