"Downloaded on",03/04/2025,"18:32:14 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22103%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 1089",https://www.congress.gov/bill/103rd-congress/senate-bill/1089,"103rd Congress (1993-1994)","A bill to extend the existing suspension of duty on 6-Hydroxy-2-naphthalenesulfonic acid, and its sodium, potassium, and ammonium salts.","Danforth, John C. [Sen.-R-MO] (Introduced 06/10/1993)",Republican,06/10/1993,"Senate - Finance","Read twice and referred to the Committee on Finance.",06/10/1993,"Kohl, Herb [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Chemicals,"Foreign Trade and International Finance",Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Harmonized Tariff Schedule of the United States to extend, through December 31, 1995, the suspension of duty on 6-hydroxy-2-naphthalene-sulfonic acid, and its sodium, potassium, and ammonium salts.",,,,,,
"S. 1086",https://www.congress.gov/bill/103rd-congress/senate-bill/1086,"103rd Congress (1993-1994)","A bill to foster the further development of the Nation's telecommunications infrastructure through the enhancement of competition, and for other purposes.","Danforth, John C. [Sen.-R-MO] (Introduced 06/09/1993)",Republican,06/09/1993,"Senate - Commerce, Science, and Transportation","Subcommittee on Communications. Hearings concluded. Hearings printed: S.Hrg. 103-787.",09/08/1993,"Inouye, Daniel K. [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Administrative procedure","Cable television","Consumer education","Corporate mergers",Disabled,"Electronic publishing","Federal Communications Commission","Federal preemption","Government Operations and Politics","Information networks","Information services","Infrastructure (Economics)",Radio,"Restrictive trade practices","Right of privacy","Rural conditions","Rural economic development","Science, Technology, Communications",Standards,"Subsidiary corporations",Telephone,"Telephone rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Telecommunications Infrastructure Act of 1993 - Amends the Communications Act of 1934 to prohibit State or local legal requirements from limiting, in a manner inconsistent with Federal legal requirements, the ability of any entity to provide interstate or intrastate telecommunications services. <p>Directs the Federal Communications Commission (FCC) to prescribe regulations requiring telecommunications carriers to provide to any entity seeking to provide telecommunications or information services, on reasonable terms and conditions:  (1) interconnection to the carrier's telecommunications facilities at any technically feasible point within the carrier's network; (2) nondiscriminatory access to specified facilities, information, and network functions; and (3) telecommunications services and network functions without restrictions on the resale or sharing of such services and functions. <p>Requires:  (1) all telecommunications carriers to contribute to, and the States to ensure, the preservation and advancement of universal service; and (2) the States and the FCC to have as their goal directly assisting individuals or entities that cannot afford the cost of telecommunications service or equipment. <p>Sets forth provisions regarding:  (1) telecommunications number portability; (2) reciprocal compensation agreements; (3) regulatory flexibility for competitive services; and (4) rules for foreign ownership. <p>Directs the FCC to take action if State regulatory authorities fail to ensure that telecommunications carriers provide consumers in rural and noncompetitive markets with access to high quality telecommunications network facilities and capabilities meeting specified requirements. <p>Sets forth provisions regarding:  (1) State regulatory incentives; and (2) network standards and planning. <p>Revises provisions of such Act with respect to restrictions on ownership and control of cable television systems by telephone companies to prohibit a local exchange carrier or affiliate from:  (1) acquiring more than a five percent interest in any cable system that is providing service within the carrier's telephone exchange service area and is owned by an unaffiliated person; or (2) entering into any joint venture or partnership with such cable system. <p>Sets forth provisions regarding:  (1) interexchange services associated with cable service and relating to cellular mobile radio services; (2) requirements for the provision of information services by a Bell Telephone Company or an affiliate; (3) privacy of customer proprietary network information; and (4) limitations on State regulation of the offering of information services.",,,,,,
"S. 1085",https://www.congress.gov/bill/103rd-congress/senate-bill/1085,"103rd Congress (1993-1994)","A bill to abolish the United States Arms Control and Disarmament Agency and to transfer certain policy formulation functions of the Agency to the Department of State and certain non-proliferation and other functions of the Agency to the Department of Defense, and for other purposes.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 06/09/1993)",Republican,06/09/1993,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",06/09/1993,"Lott, Trent [Sen.-R-MS]","Cochran, Thad [Sen.-R-MS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Arms Control and Disarmament Agency","Arms control","Arms control agreements","Department of Defense","Department of State","Executive Office of the President","Executive reorganization","Federal employees","Federal officials","Inspection (Arms control)","International Affairs","Nuclear nonproliferation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Economy in Arms Control Act - Abolishes the Arms Control and Disarmament Agency (ACDA).  Repeals the Arms Control and Disarmament Act. <p>Transfers:  (1) ACDA policy formulation functions concerning arms control and disarmament to the Secretary of State; and (2) nonproliferation, evaluation, and verification functions to the Secretary of Defense. <p>Amends the National Security Act of 1947 to empower the National Security Council to serve as the principal adviser to the President for the interagency coordination of U.S. arms control and disarmament policy and for monitoring international arms control and disarmament agreements. <p>Bars actions from being taken under this or any law that will obligate the United States to disarm or reduce or limit the armed forces or armaments, except pursuant to the treaty-making power of the President or unless authorized by further affirmative legislation. <p>Creates an Assistant Secretary of Defense for Non-Proliferation Affairs. <p>Sets forth administrative provisions concerning transfers of functions, personnel, and continuance of proceedings.",,,,,,
"S. 1082",https://www.congress.gov/bill/103rd-congress/senate-bill/1082,"103rd Congress (1993-1994)","A bill to amend the Public Health Service Act to revise and extend the program of making grants to the States for the operation of offices of rural health, and for other purposes.","Cochran, Thad [Sen.-R-MS] (Introduced 06/08/1993)",Republican,06/08/1993,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",06/08/1993,"Durenberger, Dave [Sen.-R-MN]","Murray, Patty [Sen.-D-WA]","Wofford, Harris [Sen.-D-PA]","Stevens, Ted [Sen.-R-AK]","Hatfield, Mark O. [Sen.-R-OR]","Levin, Carl [Sen.-D-MI]","Murkowski, Frank H. [Sen.-R-AK]","Inouye, Daniel K. [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Authorization,"Government Operations and Politics",Grants-in-aid,Health,"Rural public health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1772,,,CRS,,,"05/12/1993 Referred to the Subcommittee on Health and the Environment.",,,"<p>State Offices of Rural Health Amendments of 1993 - Revises matching funds provisions of the program of grants to States for operation of offices of rural health (under the Public Health Service Act) to prohibit the Secretary of Health and Human Services:  (1) from making grants under the program unless the State agrees to provide non-Federal contributions towards specified costs, in cash, in an amount not less than one dollar for each dollar of Federal funds provided in the grant; and (2) in determining the amount of non-Federal contributions in cash that a State has provided, from including any amounts provided to the State by the Federal Government. <p>Authorizes appropriations.  Increases grant amounts that may be made before termination of the program.",,,,,,
"S. 1081",https://www.congress.gov/bill/103rd-congress/senate-bill/1081,"103rd Congress (1993-1994)","A bill to authorize the Administrator of the Environmental Protection Agency to establish a program to provide career training through the hazardous substance research center program of the Environmental Protection Agency to qualified military personnel and qualified Department of Energy personnel in order to enable such individuals to acquire proficiency in hazardous and radioactive waste management, and for other purposes.","Dole, Robert J. [Sen.-R-KS] (Introduced 06/08/1993)",Republican,06/08/1993,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",06/08/1993,"Stevens, Ted [Sen.-R-AK]","Kassebaum, Nancy Landon [Sen.-R-KS]","Grassley, Chuck [Sen.-R-IA]","Bond, Christopher S. [Sen.-R-MO]","Burns, Conrad R. [Sen.-R-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Curricula,"Defense budgets","Department of Energy",Education,"Employee training","Environmental education","Environmental engineering","Environmental Protection","Environmental research","Federal aid to higher education","Federal employees","Graduate education","Hazardous waste disposal","Higher education","Military personnel","Nuclear weapons","Radioactive wastes","Recycling of waste products","Refuse and refuse disposal","Research centers","Research grants",Toxicology,"Waste reduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Directs the Administrator of the Environmental Protection Agency (EPA) to:  (1) establish a program for qualified military and Department of Energy (DOE) personnel to enable such individuals to acquire career training in environmental engineering, environmental sciences, or environmental project management in fields related to hazardous waste management and cleanup; and (2) implement, as part of such program, an academic program at institutions of higher education at undergraduate and graduate levels. <p>Requires the Administrator to award grants to the hazardous substance research centers described under the Comprehensive Environmental Response, Compensation, and Liability Act of 1980 (CERCLA) to pay the full cost of the academic program. <p>Provides funding for the program, subject to certain limitations, from amounts allocated for:  (1) the EPA under CERCLA; (2) the Defense Environmental Restoration Account; and (3) DOE environmental cleanup activities.",,,,,,
"S. 1075",https://www.congress.gov/bill/103rd-congress/senate-bill/1075,"103rd Congress (1993-1994)","A bill to designate the Federal building in Fredericksburg, Virginia, as the ""Samuel E. Perry Postal Building"", and for other purposes.","Warner, John [Sen.-R-VA] (Introduced 06/07/1993)",Republican,06/07/1993,"Senate - Governmental Affairs","Read twice and referred to the Committee on Governmental Affairs.",06/07/1993,"Robb, Charles S. [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Commemorations,"Government Operations and Politics",Names,"Postal facilities",Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Designates the Federal building located at 600 Princess Anne Street, Fredericksburg, Virginia, as the Samuel E. Perry Postal Building.",,,,,,
"S. 1073",https://www.congress.gov/bill/103rd-congress/senate-bill/1073,"103rd Congress (1993-1994)","A bill to extend until December 31, 1994, the deadline for the State of Pennsylvania to submit certain provisions of a Clean Air Act implementation plan applicable to the Liberty Borough PM-10 Nonattainment Area, and for other purposes.","Specter, Arlen [Sen.-R-PA] (Introduced 05/28/1993)",Republican,05/28/1993,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",05/28/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Air pollution control","Air quality","Environmental Protection",Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Extends the deadline for implementation plan submissions for particulate matter-10 (PM-10) under the Clean Air Act until December 31, 1994, with respect to the Liberty Borough Nonattainment Area in western Pennsylvania.",,,,,,
"S. 1071",https://www.congress.gov/bill/103rd-congress/senate-bill/1071,"103rd Congress (1993-1994)","A bill to provide that certain civil defense employees and employees of the Federal Emergency Management Agency may be eligible for certain public safety officers death benefits, and for other purposes.","Cochran, Thad [Sen.-R-MS] (Introduced 05/28/1993)",Republican,05/28/1993,"Senate - Governmental Affairs","Read twice and referred to the Committee on Governmental Affairs.",05/28/1993,"Stevens, Ted [Sen.-R-AK]","Lott, Trent [Sen.-R-MS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Civil defense","Federal Emergency Management Agency","Federal employees","Government Operations and Politics","Survivors' benefits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Omnibus Crime Control and Safe Streets Act of 1968 to make an employee of the Federal Emergency Management Agency or civil defense officer eligible for public safety officers death benefits.",,,,,,
"S. 1069",https://www.congress.gov/bill/103rd-congress/senate-bill/1069,"103rd Congress (1993-1994)","A bill to require any person who is convicted of a State criminal offense against a victim who is a minor to register a current address with law enforcement officials of the State for 10 years after release from prison, parole, or supervision.","Durenberger, Dave [Sen.-R-MN] (Introduced 05/28/1993)",Republican,05/28/1993,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",05/28/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Child abuse","Child molesting","Child pornography","Computer networks",Corrections,"Crime and Law Enforcement","Criminal justice information","Criminal justice information systems","Day care",Ex-offenders,"Federal aid to law enforcement agencies",Fingerprints,"Government paperwork","Identification devices",Kidnapping,Parole,"Personnel records",Probation,Prostitution,"State laws",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.324,,,CRS,,,"11/23/1993 Read twice and referred to the Committee on Judiciary.",,,"<p>Jacob Wetterling Crimes Against Children Registration Act - Directs the Attorney General to establish guidelines for State programs requiring persons convicted of a criminal offense against a minor to register a current address with a designated State law enforcement agency for ten years after release from prison, parole, or being placed on supervised release. <p>Sets forth requirements for an approved State registration program, including fingerprint cards and entry of information into the State law enforcement system and National Crime Information Center computer networks. <p>Provides that the information provided under this Act is private and may be used for law enforcement purposes, including confidential background checks by child care service providers. <p>Specifies that the allocation of Bureau of Justice Assistance grant funds under the Omnibus Crime Control and Safe Streets Act of 1968 received by a State not complying with the provisions of this Act within three years shall be reduced by 25 percent.  Requires such unallocated funds to be reallocated to the States in compliance with this Act.",,,,,,
"S. 1063",https://www.congress.gov/bill/103rd-congress/senate-bill/1063,"103rd Congress (1993-1994)","A bill to amend the Employee Retirement Income Security Act of 1974 to clarify the treatment of a qualified football coaches plan.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 05/28/1993)",Republican,05/28/1993,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",05/28/1993,"Breaux, John B. [Sen.-D-LA]","Cochran, Thad [Sen.-R-MS]","Mathews, Harlan [Sen.-D-TN]","Lugar, Richard G. [Sen.-R-IN]","Baucus, Max [Sen.-D-MT]","Hollings, Ernest F. [Sen.-D-SC]","Johnston, J. Bennett [Sen.-D-LA]","Roth Jr., William V. [Sen.-R-DE]","Coats, Daniel [Sen.-R-IN]","Shelby, Richard C. [Sen.-D-AL]","Grassley, Chuck [Sen.-R-IA]","Heflin, Howell [Sen.-D-AL]","Gramm, Phil [Sen.-R-TX]","Simpson, Alan K. [Sen.-R-WY]","Bond, Christopher S. [Sen.-R-MO]","Craig, Larry E. [Sen.-R-ID]","Graham, Bob [Sen.-D-FL]","Lott, Trent [Sen.-R-MS]","Wallop, Malcolm [Sen.-R-WY]","Durenberger, Dave [Sen.-R-MN]","Kassebaum, Nancy Landon [Sen.-R-KS]","Cohen, William S. [Sen.-R-ME]","Smith, Bob [Sen.-R-NH]","Nunn, Sam [Sen.-D-GA]","Pryor, David H. [Sen.-D-AR]","Sasser, Jim [Sen.-D-TN]","McConnell, Mitch [Sen.-R-KY]","Bumpers, Dale [Sen.-D-AR]","Robb, Charles S. [Sen.-D-VA]","Kempthorne, Dirk [Sen.-R-ID]","Moseley-Braun, Carol [Sen.-D-IL]","Nickles, Don [Sen.-R-OK]","Mack, Connie, III [Sen.-R-FL]","Rockefeller, John D., IV [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,"Collective bargaining agreements","College sports",Education,Football,"Labor and Employment","Pension funds","Retirement income","Tax-exempt organizations",Teachers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1981,,,CRS,,,"11/01/1993 See H.R.3419.",,,"<p>Qualified Football Coaches Plan Technical Corrections Act of 1993 - Amends the Employee Retirement Income Security Act of 1974 to make technical revisions which again allow a qualified football coaches plan to be treated as a multiemployer plan for pension plan purposes.",,,,,,
"S. 1059",https://www.congress.gov/bill/103rd-congress/senate-bill/1059,"103rd Congress (1993-1994)","Alaska Native Culture and Arts Development Act","Stevens, Ted [Sen.-R-AK] (Introduced 05/28/1993)",Republican,05/28/1993,"House - Education and Labor | Senate - Indian Affairs","Referred to the Subcommittee on Labor-Management Relations.",12/22/1993,"Murkowski, Frank H. [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alaska,Art,"Arts, Culture, Religion",Education,"Education of Indians","Educational policy",Eskimos,"Federal aid to Indians","Federal aid to higher education","Federal aid to the arts and humanities","Higher education",Minorities,"Native Americans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Alaska Native Culture and Arts Development Act - Amends the Higher Education Amendments of 1986 to include Alaska Natives in a program for native culture and arts development.",,,,,,
