"Downloaded on",03/05/2025,"14:06:13 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%5B%22118%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%22Republican%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3829",https://www.congress.gov/bill/118th-congress/senate-bill/3829,"118th Congress (2023-2024)","LNG Security Act","Barrasso, John [Sen.-R-WY] (Introduced 02/28/2024)",Republican,02/28/2024,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",02/28/2024,"Cassidy, Bill [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3826",https://www.congress.gov/bill/118th-congress/senate-bill/3826,"118th Congress (2023-2024)","Modernizing Clean Air Permitting Act of 2024","Cassidy, Bill [Sen.-R-LA] (Introduced 02/28/2024)",Republican,02/28/2024,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",02/28/2024,"Sinema, Kyrsten [Sen.-I-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Environmental Protection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3825",https://www.congress.gov/bill/118th-congress/senate-bill/3825,"118th Congress (2023-2024)","One Door to Work Act","Romney, Mitt [Sen.-R-UT] (Introduced 02/28/2024)",Republican,02/28/2024,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",02/28/2024,"Lankford, James [Sen.-R-OK]","Cassidy, Bill [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Labor and Employment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.6274,H.R.6655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"11/07/2023 Referred to the House Committee on Education and the Workforce.","04/10/2024 Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3823",https://www.congress.gov/bill/118th-congress/senate-bill/3823,"118th Congress (2023-2024)","Secure U.S. Leadership in Space Act of 2024","Rubio, Marco [Sen.-R-FL] (Introduced 02/28/2024)",Republican,02/28/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/28/2024,"Lujan, Ben Ray [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"02/28/2024 Referred to the House Committee on Ways and Means.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p> <strong>Secure U.S. Leadership in Space Act of 2024</strong></p> <p>This bill allows the financing of spaceports with tax-exempt facility bonds. The bill defines <em>spaceport</em> as any facility located at or near a launch or reentry site used for (1) manufacturing, assembling, or repairing spacecraft, space cargo, or other facilities; (2) flight control operations; (3) providing launch services and reentry services; or (4) transferring crew, spaceflight participants, or space cargo to or from spacecraft.</p> <ul> </ul>",,,,,,
"S. 3822",https://www.congress.gov/bill/118th-congress/senate-bill/3822,"118th Congress (2023-2024)","A bill to designate the medical center of the Department of Veterans Affairs in West Palm Beach, Florida, as the ""Thomas H. Corey VA Medical Center"".","Rubio, Marco [Sen.-R-FL] (Introduced 02/28/2024)",Republican,02/28/2024,"Senate - Veterans' Affairs","Read twice and referred to the Committee on Veterans' Affairs.",02/28/2024,"Scott, Rick [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Armed Forces and National Security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"11/25/2024 Became Public Law No: 118-128.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>This bill designates the medical center of the Department of Veterans Affairs in West Palm Beach, Florida, as the Thomas H. Corey VA Medical Center.</p>",,,,,,
"S. 3821",https://www.congress.gov/bill/118th-congress/senate-bill/3821,"118th Congress (2023-2024)","SOAR Act of 2024","Cassidy, Bill [Sen.-R-LA] (Introduced 02/28/2024)",Republican,02/28/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/28/2024,"Blackburn, Marsha [Sen.-R-TN]","Coons, Christopher A. [Sen.-D-DE]","Warner, Mark R. [Sen.-D-VA]","Klobuchar, Amy [Sen.-D-MN]","Peters, Gary C. [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/17/2024 Referred to the Subcommittee on Health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Supplemental Oxygen Access Reform Act of 2024 or the SOAR Act of 2024</strong></p><p>This bill establishes certain requirements with respect to the payment and provision of supplemental oxygen and related services under Medicare.</p><p>For example, the bill provides for separate payments, indexed to inflation, of oxygen and related equipment, supplies, and services under Medicare (rather than under the competitive acquisition program). It also specifically covers services that are provided by respiratory therapists under Medicare and provides for an additional payment adjustment for these services.</p><p>Additionally, the bill (1) requires the Centers for Medicare &amp; Medicaid Services to develop an electronic template for providers to use when prescribing oxygen and related equipment, supplies, and services; and (2) establishes certain rights for beneficiaries receiving these items and services, such as the right to choose their suppliers and to receive clear communications and be informed about the services provided.</p>",,,,,,
"S. 3820",https://www.congress.gov/bill/118th-congress/senate-bill/3820,"118th Congress (2023-2024)","Diplomatic Security Modernization Act","Rubio, Marco [Sen.-R-FL] (Introduced 02/28/2024)",Republican,02/28/2024,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",02/28/2024,"Kaine, Tim [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"International Affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3818",https://www.congress.gov/bill/118th-congress/senate-bill/3818,"118th Congress (2023-2024)","Renewable Fuel for Ocean-Going Vessels Act","Ricketts, Pete [Sen.-R-NE] (Introduced 02/27/2024)",Republican,02/27/2024,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",02/27/2024,"Kelly, Mark [Sen.-D-AZ]","Ernst, Joni [Sen.-R-IA]","Brown, Sherrod [Sen.-D-OH]","Peters, Gary C. [Sen.-D-MI]","Klobuchar, Amy [Sen.-D-MN]","Grassley, Chuck [Sen.-R-IA]","Thune, John [Sen.-R-SD]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Energy,"Marine and inland water transportation","Marine pollution","Alternative and renewable resources","Congressional oversight","Oil and gas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/08/2023 Referred to the Subcommittee on Environment, Manufacturing, and Critical Materials.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3817",https://www.congress.gov/bill/118th-congress/senate-bill/3817,"118th Congress (2023-2024)","Safer Prisons Act of 2024","Blackburn, Marsha [Sen.-R-TN] (Introduced 02/27/2024)",Republican,02/27/2024,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",02/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Crime and Law Enforcement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.8528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"05/23/2024 Referred to the House Committee on the Judiciary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3815",https://www.congress.gov/bill/118th-congress/senate-bill/3815,"118th Congress (2023-2024)","Improving Disclosure for Investors Act of 2024","Tillis, Thomas [Sen.-R-NC] (Introduced 02/27/2024 by Thune, John [Sen.-R-SD])",Republican,02/27/2024,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",02/27/2024,"Budd, Ted [Sen.-R-NC]","Peters, Gary C. [Sen.-D-MI]","Rounds, Mike [Sen.-R-SD]","Shaheen, Jeanne [Sen.-D-NH]","Hickenlooper, John W. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Finance and Financial Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.1807,H.R.2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/01/2023 Placed on the Union Calendar, Calendar No. 239.","03/11/2024 Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Improving Disclosure for Investors Act of 2024 </strong></p><p>This bill requires the Securities and Exchange Commission (SEC) to propose and finalize rules to allow entities to deliver regulatory documents to investors electronically. The SEC must establish a mechanism for investors to opt out of electronic delivery and receive paper documents instead. If the SEC does not finalize rules within one year after enactment, the bill allows for electronic delivery of these documents.</p>",,,,,,
"S. 3814",https://www.congress.gov/bill/118th-congress/senate-bill/3814,"118th Congress (2023-2024)","TUNNELS Act of 2024","Cruz, Ted [Sen.-R-TX] (Introduced 02/27/2024)",Republican,02/27/2024,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",02/27/2024,"Cotton, Tom [Sen.-R-AR]","Rubio, Marco [Sen.-R-FL]","Hagerty, Bill [Sen.-R-TN]","Ricketts, Pete [Sen.-R-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"International Affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"10/30/2023 Read twice and referred to the Committee on Foreign Relations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3812",https://www.congress.gov/bill/118th-congress/senate-bill/3812,"118th Congress (2023-2024)","FIREARM Act","Ernst, Joni [Sen.-R-IA] (Introduced 02/27/2024)",Republican,02/27/2024,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",02/27/2024,"Cotton, Tom [Sen.-R-AR]","Lee, Mike [Sen.-R-UT]","Graham, Lindsey [Sen.-R-SC]","Hyde-Smith, Cindy [Sen.-R-MS]","Hoeven, John [Sen.-R-ND]","Sullivan, Dan [Sen.-R-AK]","Blackburn, Marsha [Sen.-R-TN]","Braun, Mike [Sen.-R-IN]","Budd, Ted [Sen.-R-NC]","Cassidy, Bill [Sen.-R-LA]","Cramer, Kevin [Sen.-R-ND]","Daines, Steve [Sen.-R-MT]","Lummis, Cynthia M. [Sen.-R-WY]","Marshall, Roger [Sen.-R-KS]","Mullin, Markwayne [Sen.-R-OK]","Ricketts, Pete [Sen.-R-NE]","Risch, James E. [Sen.-R-ID]","Rubio, Marco [Sen.-R-FL]","Scott, Rick [Sen.-R-FL]","Tillis, Thomas [Sen.-R-NC]","Vance, J. D. [Sen.-R-OH]","Crapo, Mike [Sen.-R-ID]","Hawley, Josh [Sen.-R-MO]","Rounds, Mike [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,"Crime and Law Enforcement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"02/28/2024 Referred to the House Committee on the Judiciary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3811",https://www.congress.gov/bill/118th-congress/senate-bill/3811,"118th Congress (2023-2024)","Empowering Immigration Courts Act","Kennedy, John [Sen.-R-LA] (Introduced 02/27/2024)",Republican,02/27/2024,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",02/27/2024,"Cruz, Ted [Sen.-R-TX]","Blackburn, Marsha [Sen.-R-TN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/04/2023 Referred to the House Committee on the Judiciary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3810",https://www.congress.gov/bill/118th-congress/senate-bill/3810,"118th Congress (2023-2024)","Time to Choose Act of 2024","Hawley, Josh [Sen.-R-MO] (Introduced 02/27/2024)",Republican,02/27/2024,"Senate - Homeland Security and Governmental Affairs","Placed on Senate Legislative Calendar under General Orders. Calendar No. 734.",12/19/2024,"Scott, Rick [Sen.-R-FL]","Rubio, Marco [Sen.-R-FL]","Peters, Gary C. [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Government Operations and Politics",Asia,China,"Public contracts and procurement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3809",https://www.congress.gov/bill/118th-congress/senate-bill/3809,"118th Congress (2023-2024)","Electronic Medical Records for Foreign Service Personnel Act of 2024","Risch, James E. [Sen.-R-ID] (Introduced 02/27/2024)",Republican,02/27/2024,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",02/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"International Affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3808",https://www.congress.gov/bill/118th-congress/senate-bill/3808,"118th Congress (2023-2024)","No FAMS at the Border Act of 2024","Cruz, Ted [Sen.-R-TX] (Introduced 02/27/2024)",Republican,02/27/2024,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",02/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"03/15/2024 Referred to the Subcommittee on Border Security and Enforcement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3805",https://www.congress.gov/bill/118th-congress/senate-bill/3805,"118th Congress (2023-2024)","No Fees for EFTs Act","Cassidy, Bill [Sen.-R-LA] (Introduced 02/27/2024)",Republican,02/27/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/27/2024,"Cantwell, Maria [Sen.-D-WA]","Marshall, Roger [Sen.-R-KS]","Vance, J. D. [Sen.-R-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Health,"Health care costs and insurance","Computers and information technology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/17/2024 Referred to the Subcommittee on Health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3802",https://www.congress.gov/bill/118th-congress/senate-bill/3802,"118th Congress (2023-2024)","Alaska Native Vietnam Era Veterans Land Allotment Extension and Fulfillment Act of 2024","Murkowski, Lisa [Sen.-R-AK] (Introduced 02/26/2024)",Republican,02/26/2024,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",02/26/2024,"Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Native Americans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,S.3790,H.R.7785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/20/2024 Held at the desk.","03/21/2024 Referred to the House Committee on Natural Resources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3801",https://www.congress.gov/bill/118th-congress/senate-bill/3801,"118th Congress (2023-2024)","CBDC Anti-Surveillance State Act","Cruz, Ted [Sen.-R-TX] (Introduced 02/26/2024)",Republican,02/26/2024,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",02/26/2024,"Schmitt, Eric [Sen.-R-MO]","Hagerty, Bill [Sen.-R-TN]","Scott, Rick [Sen.-R-FL]","Braun, Mike [Sen.-R-IN]","Budd, Ted [Sen.-R-NC]","Cramer, Kevin [Sen.-R-ND]","Britt, Katie Boyd [Sen.-R-AL]","Hyde-Smith, Cindy [Sen.-R-MS]","Marshall, Roger [Sen.-R-KS]","Vance, J. D. [Sen.-R-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"Finance and Financial Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>CBDC Anti-Surveillance State Act </strong></p><p>This bill prohibits a Federal Reserve bank from offering products or services directly to an individual, maintaining an account on behalf of an individual, or issuing a central bank digital currency (i.e., a digital dollar) directly or indirectly to an individual. Further, The Board of Governors of the Federal Reserve System is prohibited from using a central bank digital currency to implement monetary policy or from issuing a central bank digital currency.</p><!--tinycomments|2.1|data:application/json;base64,eyJtY2UtY29udmVyc2F0aW9uXzMyMjc1NDM5MzMxNzE2MjMzNjAzODkxIjp7InVpZCI6Im1jZS1jb252ZXJzYXRpb25fMzIyNzU0MzkzMzE3MTYyMzM2MDM4OTEiLCJjb21tZW50cyI6W3sidWlkIjoibWNlLWNvbnZlcnNhdGlvbl8zMjI3NTQzOTMzMTcxNjIzMzYwMzg5MSIsImF1dGhvciI6ImFyZWVkQGxpYi5sb2MuZ292IiwiYXV0aG9yTmFtZSI6ImFyZWVkQGxpYi5sb2MuZ292IiwiY29udGVudCI6IkRlbGV0ZWQgZm9yIHJlYWRhYmlsaXR5IHRvIGFkZCB0aGUgYWRkaXRpb25hbCBwcm9oaWJpdGlvbiBhcHBsaWNhYmxlIHRvIHRoZSBib2FyZC4gKEZPTUMgaXMgY29tcHJpc2VkIG9mIGJvYXJkIG1lbWJlcnMgYW5kIHJlc2VydmUgYmFua3MpIiwiY3JlYXRlZEF0IjoiMjAyNC0wNS0yMFQxOTozMzoyMy44OTFaIiwibW9kaWZpZWRBdCI6IjIwMjQtMDUtMjBUMTk6MzM6MjMuODkxWiJ9XX19-->",,,,,,
"S. 3800",https://www.congress.gov/bill/118th-congress/senate-bill/3800,"118th Congress (2023-2024)","Punishing Medicare Fraudsters Act","Rubio, Marco [Sen.-R-FL] (Introduced 02/12/2024)",Republican,02/12/2024,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",02/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Crime and Law Enforcement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3799",https://www.congress.gov/bill/118th-congress/senate-bill/3799,"118th Congress (2023-2024)","Medicare Organization Report Enhancing (MORE) Summaries Act","Rubio, Marco [Sen.-R-FL] (Introduced 02/12/2024)",Republican,02/12/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Medicare Organization Report Enhancing (MORE) Summaries Act</strong></p><p>This bill requires the Center for Medicare and Medicaid Innovation to test a model under which explanations of Medicare benefits are sent more frequently to beneficiaries, either by mail or virtually, and through which the Centers for Medicare &amp; Medicaid Services annually evaluates how well beneficiaries are able to identify fraud based on explanations of their benefits.</p>",,,,,,
