"Downloaded on",03/04/2025,"18:40:15 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22110%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 1250",https://www.congress.gov/bill/110th-congress/senate-bill/1250,"110th Congress (2007-2008)","A bill to direct the United States Trade Representative to conduct an investigation of the personal exemption allowance that Canada provides for merchandise purchased abroad by Canadian residents, and for other purposes.","Snowe, Olympia J. [Sen.-R-ME] (Introduced 04/30/2007)",Republican,04/30/2007,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/30/2007,"Cantwell, Maria [Sen.-D-WA]","Collins, Susan M. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Canada,Congress,Travel,"Transportation and Public Works","Trade agreements",Tariff,Money,"International Affairs","Governmental investigations","Free trade","Congressional reporting requirements","Finance and Financial Sector","Foreign Trade and International Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Directs the U.S. Trade Representative (USTR) to initiate, under the Trade Act of 1974, an investigation into Canada's personal exemption allowance scheme (no personal exemption from duty for Canadian residents returning from foreign travel lasting less than 24 hours, but an exemption of $50 Canadian for foreign travel lasting between 24 and 48 hours) to: (1) determine whether U.S. rights under the North American Free Trade Agreement (NAFTA) with Canada are being denied by such scheme, or that such act, policy, or practice of Canada violates or otherwise denies benefits to the United States under such agreement or is unjustifiable and burdens or restricts U.S. commerce; and (2) report the results of such investigation to Congress, including action the USTR is taking to remedy such scheme. Waives provisions requiring the USTR to consult with private and non-federal sectors prior to initiating an investigation by means other than petition.</p>",,,,,,
"S. 1241",https://www.congress.gov/bill/110th-congress/senate-bill/1241,"110th Congress (2007-2008)","A bill to amend the Internal Revenue Code of 1986 to clarify student housing eligible for the low-income housing credit, and for other purposes.","Grassley, Chuck [Sen.-R-IA] (Introduced 04/26/2007)",Republican,04/26/2007,"Senate - Finance","Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S5218)",04/26/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Social Welfare",Students,Education,Families,"Higher education","Single-parent families","Tax credits",Taxation,"Income tax","Low-income housing","Housing and Community Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Internal Revenue Code to allow certain full-time students who are single parents and their children to live in housing units eligible for the low-income housing tax credit provided that their children are not dependents of another individual (other than a parent of such children).</p>",,,,,,
"S. 1236",https://www.congress.gov/bill/110th-congress/senate-bill/1236,"110th Congress (2007-2008)","A bill to amend the Elementary and Secondary Education Act of 1965 regarding highly qualified teachers, growth models, adequate yearly progress, Native American language programs, and parental involvement, and for other purposes.","Murkowski, Lisa [Sen.-R-AK] (Introduced 04/26/2007)",Republican,04/26/2007,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (text of measure as introduced: CR S5216-5218)",04/26/2007,"Stevens, Ted [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Reading,"Rating of teachers","School choice","School districts","Secondary education","Social Welfare","Special education","Teacher supply and demand",Teachers,"Labor and Employment","Language and languages","Academic performance",Alaska,"Charter schools","Compensatory education",Disabled,"Economics and Public Finance",Education,"Education of the disadvantaged","Educational tests","Elementary and secondary education","Elementary education",Families,"Government Operations and Politics","Indian education","Indigenous peoples","Federal aid to education",Hawaiians,Illiteracy,"Language arts",Mathematics,Minorities,"Minority education","Native Americans","Parent-school relationships","Recruiting of employees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>School Accountability Improvements Act - Amends the Elementary and Secondary Education Act of 1965 to exempt teachers who teach multiple subjects in certain small middle or secondary schools from being required to be highly qualified in each of their subjects if they: (1) are highly qualified in at least one; and (2) demonstrate highly effective teaching skills on a state performance assessment.</p> <p>Allows states to use a growth model in calculating whether students are making adequately yearly progress (AYP) toward state academic performance standards if the state plan ensures their attainment of proficiency within certain periods of time.</p> <p>Gives schools which are identified as needing improvement an extra year to make AYP before being required to allow student transfers. Limits the transfer option to students who do not meet proficiency standards. </p> <p>Permits local educational agencies (LEAs) identified as needing improvement to provide supplemental educational services themselves.</p> <p>Allows schools identified as needing improvement due to an underperforming disabled or limited English proficient (LEP) student subgroup to limit their improvement plan to such failing subgroup. Eliminates the requirement that schools be restructured and LEAs face corrective action because of such a subgroup's underperformance, if AYP can be shown using a growth model that counts students who are on track to attain proficiency by their final year in secondary school.</p> <p>Requires AYP measurements of certain schools providing Native language instruction to kindergarten through second grade children in states with no AYP assessment in such language to exclude grade three results and employ a growth model requiring progress toward proficiency by seventh grade.</p> <p>Allows partnerships receiving subgrants for preparing, recruiting, and training teachers and principals to include parent teacher organizations and use funds for activities enhancing parental involvement.</p>",,,,,,
"S. 1235",https://www.congress.gov/bill/110th-congress/senate-bill/1235,"110th Congress (2007-2008)","A bill to impose appropriate penalties for the assault or murder of a Federal law enforcement officer or Federal judge, for the retaliatory assault or murder of a family member of a Federal law enforcement officer or Federal judge, and for other purposes.","Cornyn, John [Sen.-R-TX] (Introduced 04/26/2007)",Republican,04/26/2007,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",04/26/2007,"Dole, Elizabeth [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Assault,"Crime and Law Enforcement",Damages,Families,"Federal employees",Imprisonment,Judges,Kidnapping,Law,"Law enforcement officers","Legal fees","Mandatory sentences",Murder,"Protection of officials","State courts",Violence,"Federal law enforcement officers","Federal officials",Firearms,"Government Operations and Politics","Habeas corpus",Homicide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2325,,,,,,,,,,CRS,,,"06/04/2007 Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",,,,,,,,,," <p>Daniel Faulkner Law Enforcement Officers and Judges Protection Act of 2007 - Amends the federal criminal code to: (1) impose mandatory minimum prison terms for homicide, manslaughter, and kidnapping of federal judges and law enforcement officers; (2) expand the penalties for assaulting or interfering with federal officers and employees and for assaults against federal law enforcement officers and judges; (3) impose mandatory minimum prison terms for retaliating against a federal judge or law enforcement officer on account of the performance of official duties by murdering, kidnapping, assaulting, or threatening a family member of such judge or officer; and (4) authorize federal judges, U.S. attorneys, and Justice Department employees to carry firearms.</p><p>Places limits on the award of civil damages and attorney's fees against judicial officers for injuries incurred by an individual during the commission of a felony or crime of violence.</p><p>Amends the federal judicial code to place limits on habeas corpus petitions for review of a state court conviction for murder of a public safety officer or judge engaged in the performance of official duties.</p>",,,,,,
"S. 1225",https://www.congress.gov/bill/110th-congress/senate-bill/1225,"110th Congress (2007-2008)","A bill to establish a process for aliens who meet certain conditions to be granted permanent resident status.","Hagel, Chuck [Sen.-R-NE] (Introduced 04/26/2007)",Republican,04/26/2007,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",04/26/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Education,"English language",Families,"Government Operations and Politics","Identification of criminals","Illegal aliens",Immigrants,Immigration,"Labor and Employment","Married people","Recruiting and enlistment","Air force","Alien labor","Armed Forces and National Security",Army,Citizenship,"Compulsory military service","Crime and Law Enforcement","Criminal aliens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Immigrant Accountability Act of 2007 - Amends the Immigration and Nationality Act establish a points-based process for qualifying aliens unlawfully in the United States as of January 7, 2004, to be granted permanent resident status.</p> <p>Provides that a qualifying alien applicant: (1) who has passed security and criminal checks shall be issued a conditional resident orange card under which the alien shall be granted employment authorization pending final permanent resident status adjudication; and (2) with an orange card who has earned at least 65% of the base points under this Act shall have his or her status adjusted to permanent resident.</p> <p>Requires an alien adjusting to permanent resident status to: (1) satisfy physical presence and admissibility requirements; (2) pay appropriate fees, fines, and taxes; (3) demonstrate basic citizenship skills; and (4) register for selective service if otherwise required. (States that an alien may be required to undergo a medical examination.)</p> <p>Sets forth the following base point categories: (1) U.S. employment; (2) U.S. presence; (3) education; (4) family relations; (5) English language ability; and (6) contributions to society.</p> <p>Sets forth provisions respecting: (1) status adjustment for spouses and children; (2) grounds of inadmissibility; (3) confidentiality of information; (4) penalties for false application information; (5) public benefits; and (6) removal.</p> <p>Makes orange card holders eligible for Army or Air Force enlistment.</p>",,,,,,
"S. 1216",https://www.congress.gov/bill/110th-congress/senate-bill/1216,"110th Congress (2007-2008)","A bill to allow certain nationals of Mexico entering the State of New Mexico on a temporary basis to travel up to 100 miles from the international border between the State of New Mexico and Mexico, and for other purposes.","Domenici, Pete V. [Sen.-R-NM] (Introduced 04/25/2007)",Republican,04/25/2007,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S5101)",04/25/2007,"Bingaman, Jeff [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Admission of nonimmigrants",Boundaries,"Civil Rights and Liberties, Minority Issues","Identification devices",Immigration,"International Affairs",Visas,Mexico,"New Mexico","Right to travel",Tourism,"Transportation and Public Works","Latin America",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Laser Visa Extension Act of 2007 - Directs the Secretary of Homeland Security to permit a national of Mexico to travel up to 100 miles from the international border between Mexico and New Mexico if such national: (1) possesses a valid machine-readable biometric border crossing identification card issued by a Department of State consular officer; (2) enters New Mexico through a port of entry where such card is processed using a machine reader; (3) has successfully completed any required background check; and (4) is admitted into the United States as a nonimmigrant tourist or business visitor. </p> <p> Authorizes the Secretary to limit the travel of an otherwise qualifying national of Mexico to less than 100 miles from the Mexico-New Mexico border if such national was previously admitted into the United States as a nonimmigrant and violated the terms and conditions of such status. </p>",,,,,,
"S. 1213",https://www.congress.gov/bill/110th-congress/senate-bill/1213,"110th Congress (2007-2008)","A bill to give States the flexibility to reduce bureaucracy by streamlining enrollment processes for the Medicaid and State Children's Health Insurance Programs through better linkages with programs providing nutrition and related assistance to low-income families.","Lugar, Richard G. [Sen.-R-IN] (Introduced 04/25/2007)",Republican,04/25/2007,"Senate - Finance","Read twice and referred to the Committee on Finance.",04/25/2007,"Bingaman, Jeff [Sen.-D-NM]","Lincoln, Blanche L. [Sen.-D-AR]","Kerry, John F. [Sen.-D-MA]","Isakson, Johnny [Sen.-R-GA]","Bayh, Evan [Sen.-D-IN]","Durbin, Richard J. [Sen.-D-IL]","Nelson, Bill [Sen.-D-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Women,"Economics and Public Finance","Electronic data interchange",Families,"Federal aid to child health services","Government Operations and Politics",Health,"Health information systems","Medically uninsured",Medicaid,"Health insurance","Pregnant women","Science, Technology, Communications","Social Welfare","Welfare eligibility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Children's Express Lane to Health Coverage Act of 2007 - Amends titles XIX (Medicaid) and XXI (State Children's Health Insurance) (SCHIP) of the Social Security Act to give states the option of providing for simplified determinations of a child's or pregnant woman's financial eligibility for Medicaid or SCHIP that are made by a non-health federal or state agency administering a program providing nutrition or other public assistance.</p><p>Allows state mechanized claims processing and information retrieval systems, for which Medicaid payments may be made, to include technology that enables inter-program connections and other technology that: (1) reduces the number of individuals inaccurately granted eligibility; (2) increases the number of individuals accurately granted eligibility; or (3) improves the efficiency of eligibility determinations.</p><p>Authorizes relevant federal, state, local, and private entities to convey information about an individual to a person directly connected with the administration of a state Medicaid plan or SCHIP, if such information is used solely for the purposes of identifying, verifying, and enrolling individuals who are eligible.</p>",,,,,,
"S. 1206",https://www.congress.gov/bill/110th-congress/senate-bill/1206,"110th Congress (2007-2008)","A bill to amend title I of the Employee Retirement Income Security Act of 1974 and the Age Discrimination in Employment Act of 1967 to clarify the age discrimination rules applicable to the pension plan maintained by the Young Woman's Christian Association Retirement Fund.","Murkowski, Lisa [Sen.-R-AK] (Introduced 04/25/2007)",Republican,04/25/2007,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (text of measure as introduced: CR S5092)",04/25/2007,"Landrieu, Mary L. [Sen.-D-LA]","Stabenow, Debbie [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Age discrimination","Civil actions and liability","Civil Rights and Liberties, Minority Issues","Defined benefit pension plans","Women's organizations",Law,"Social Welfare",Women,"Labor and Employment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Young Women's Christian Association Pension Clarification Act of 2007 - Applies certain age discrimination safe harbor rules under the Employee Retirement Income Security Act of 1974 (ERISA) and the Age Discrimination in Employment Act of 1967 to civil actions brought on or after April 25, 2007, alleging any age discrimination violation occurring before June 29, 2005, with respect to any benefit provided under the Young Women's Christian Association Pension Plan. </p>",,,,,,
"S. 1205",https://www.congress.gov/bill/110th-congress/senate-bill/1205,"110th Congress (2007-2008)","A bill to require a pilot program on assisting veterans service organizations and other veterans groups in developing and promoting peer support programs that facilitate community reintegration of veterans returning from active duty, and for other purposes.","Smith, Gordon H. [Sen.-R-OR] (Introduced 04/25/2007)",Republican,04/25/2007,"Senate - Veterans' Affairs","Read twice and referred to the Committee on Veterans' Affairs. (text of measure as introduced: CR S5089-5090)",04/25/2007,"Harkin, Tom [Sen.-D-IA]","Kennedy, Edward M. [Sen.-D-MA]","Chambliss, Saxby [Sen.-R-GA]","Collins, Susan M. [Sen.-R-ME]","Lincoln, Blanche L. [Sen.-D-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Veterans' organizations","Veterans' rehabilitation",Grants-in-aid,"Economics and Public Finance","Armed Forces and National Security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Directs the Secretary of Veterans Affairs to carry out a three-year pilot program on the feasibility and advisability of delivering community reintegration support and services to veterans by assisting veterans organizations in developing and promoting veterans peer support. Designates the pilot program as the &quot;Heroes Helping Heroes Program.&quot; Requires the Secretary to select up to 20 program participants, and to award grants to such participants in amounts from $100,000 to $300,000 per fiscal year. Requires grant recipients to contribute at least 10% of the grant funds awarded.</p>",,,,,,
"S. 1202",https://www.congress.gov/bill/110th-congress/senate-bill/1202,"110th Congress (2007-2008)","A bill to require agencies and persons in possession of computerized data containing sensitive personal information, to disclose security breaches where such breach poses a significant risk of identity theft.","Sessions, Jeff [Sen.-R-AL] (Introduced 04/24/2007)",Republican,04/24/2007,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",04/24/2007,"Kyl, Jon [Sen.-R-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Debit cards","Data banks","Finance and Financial Sector",Fraud,"Identification devices","Identity theft",Law,"Parties to actions","Right of privacy","Science, Technology, Communications","Social security numbers","Social Welfare","Transportation and Public Works","Bank accounts","Civil actions and liability","Civil Rights and Liberties, Minority Issues",Commerce,"Consumer credit","Consumer education","Credit cards","Crime and Law Enforcement","Driver licenses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Personal Data Protection Act of 2007 - Defines &quot;identity theft&quot; to mean a fraud committed using the sensitive personal information of another individual with the intent to commit or to aid or abet unlawful activity that results in economic loss to that individual.</p><p>Requires any agency or person that owns or licenses computerized data containing sensitive personal information to: (1) develop, implement, and maintain reasonable security and notification procedures and practices (appropriate to the size and nature of the agency or person and the nature of the information) to ensure the security and confidentiality of the personal information and to protect sensitive personal information against unauthorized access, destruction, use, modification, or disclosure; and (2) notify any individual whose sensitive personal information was compromised (permits a federal law enforcement agency of domestic or foreign jurisdiction to delay notification if notification would impede a criminal or civil investigation).</p><p>Requires any agency or person in possession of computerized data containing sensitive personal information that it does not own or license to notify and cooperate with the owner or licensor upon discovery of a breach of the security of the system of such agency or person as expediently as possible. Authorizes an agency or person in possession of sensitive personal information to enter into an agreement with the owner or licensor of information regarding which person or entity will provide any notice required to an individual whose sensitive personal information was compromised. Requires the agency or person that owns or licenses computerized data containing sensitive personal information to provide any notice required if there is not such an agreement. Sets forth provisions regarding the timeliness of notification, the methods and contents of notice, and the duty to coordinate with consumer reporting agencies.</p><p>Establishes civil remedies for failure to provide notice of a security breach. Authorizes enforcement by state Attorneys General on behalf of residents of the state.</p>",,,,,,
"S. 1201",https://www.congress.gov/bill/110th-congress/senate-bill/1201,"110th Congress (2007-2008)","A bill to amend the Clean Air Act to reduce emissions from electric powerplants, and for other purposes.","Sanders, Bernard [Sen.-I-VT] (Introduced 04/24/2007)",Independent,04/24/2007,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works. (text of measure as introduced: CR S4969-4978)",04/24/2007,"Leahy, Patrick J. [Sen.-D-VT]","Lieberman, Joseph I. [Sen.-ID-CT]","Feingold, Russell D. [Sen.-D-WI]","Clinton, Hillary Rodham [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Law,Mercury,"Nitrogen oxides","Science, Technology, Communications",Standards,"Sulphur dioxide","Acid rain","Congressional reporting requirements","Crime and Law Enforcement","Electric power production","Emissions trading","Administrative procedure","Agricultural pollution","Agriculture and Food","Air pollution control","Alternative energy sources","Carbon cycle","Carbon dioxide","Climate change and greenhouse gases",Coal,Congress,Energy,"Energy consumption","Energy demand","Energy efficiency","Environmental Protection Agency","Environmental law enforcement","Environmental Protection","Environmental research","Government Operations and Politics","Government paperwork","Governmental investigations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,," <p>Clean Power Act of 2007 - Amends the Clean Air Act to require the Administrator of the Environmental Protection Agency (EPA) to: (1) promulgate regulations to achieve specified reductions in emissions of sulfur dioxide, nitrogen oxides, global warming pollutants, and mercury from certain electric generation facilities; and (2) establish an emission allowance tracking and transfer system for sulfur dioxide, nitrogen oxides, and carbon dioxide.</p><p>Requires facilities to achieve specified emission standards should emission limitation regulations not be promulgated. </p><p>Directs the Administrator to study the impact of emission allowance trading. Limits the trading of allowances with facilities other than electricity generating facilities to certain carbon dioxide emission control programs. Sets forth an allocation scheme for emission allowances. </p><p>Directs the Administrator to: (1) establish and annually review emission limitations for mercury; and (2) promulgate regulations preventing captured or recovered emissions from being re-released into the environment. </p><p>Requires the Administrator to: (1) request information from owners/operators of coal-fired electric generation facilities about hazardous air pollutants other than mercury; and (2) propose and promulgate emission standards for such pollutants by January 1, 2009. </p><p>Directs the Administrator to require units designed to provide electricity at a unit capacity factor of at least 60% that begin operation after December 31, 2011, to meet a global warming pollution emission standard that is not higher than the emission rate of a new combined cycle natural gas generating unit.</p><p>Requires a covered generator to provide a minimum percentage of the base quantity of electricity it produces for sale for a year from low-carbon generation. Directs the Administrator to establish: (1) a low-carbon generation trading program; and (2) a competitive grant program for projects to geologically dispose of carbon dioxide.</p><p>Requires: (1) each retail electricity supplier to implement programs to achieve improvements in energy efficiency and peak load reduction; and (2) the Administrator to establish targets to reduce peak demand and electricity use.</p> <p>Requires the Administrator to define the types and sources of renewable energy generation that may be carried out under this Act, which shall include all types of renewable energy other than energy generated from municipal solid waste, wood contaminated with plastics or metals, or tires. Sets forth the minimum quantity of electricity that shall be generated by renewable energy sources. Requires the Administrator to establish a renewable energy credit program.</p> <p>Requires the Secretary of Agriculture to establish standards for accrediting certified reductions in the emission of carbon dioxide through biological sequestration activities.</p><p>Makes noncompliance with requirements or regulations under this Act unlawful. Authorizes the President to temporarily adjust, suspend, or waive any such regulation to minimize the effects of a national security emergency.</p><p>Modifies reporting requirements for the acid precipitation research program.</p>",,,,,,
