"Downloaded on",03/04/2025,"18:42:46 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22111%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 1905",https://www.congress.gov/bill/111th-congress/senate-bill/1905,"111th Congress (2009-2010)","A bill to suspend temporarily the duty on certain children's footwear covering the ankle.","Roberts, Pat [Sen.-R-KS] (Introduced 10/26/2009)",Republican,10/26/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/26/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on certain children's footwear covering the ankle.",,,,,,
"S. 1904",https://www.congress.gov/bill/111th-congress/senate-bill/1904,"111th Congress (2009-2010)","A bill to extend the temporary suspension of duty on certain refracting and reflecting telescopes.","Roberts, Pat [Sen.-R-KS] (Introduced 10/26/2009)",Republican,10/26/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/26/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Tariffs,"Foreign Trade and International Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on certain refracting and reflecting telescopes.",,,,,,
"S. 1903",https://www.congress.gov/bill/111th-congress/senate-bill/1903,"111th Congress (2009-2010)","A bill to suspend temporarily the duty on 1,3-Dimethyl-1H-pyrazol-5-ol and 1,3-Dimethylpyrazol-5-one.","Roberts, Pat [Sen.-R-KS] (Introduced 10/26/2009)",Republican,10/26/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/26/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on 1,3-Dimethyl-1H-pyrazol-5-ol and 1,3-Dimethylpyrazol-5-one.",,,,,,
"S. 1902",https://www.congress.gov/bill/111th-congress/senate-bill/1902,"111th Congress (2009-2010)","A bill to reduce temporarily the duty on Corvus herbicide.","Roberts, Pat [Sen.-R-KS] (Introduced 10/26/2009)",Republican,10/26/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/26/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to reduce temporarily the duty on Corvus herbicide.",,,,,,
"S. 1901",https://www.congress.gov/bill/111th-congress/senate-bill/1901,"111th Congress (2009-2010)","A bill to reduce temporarily the duty on Evergol.","Roberts, Pat [Sen.-R-KS] (Introduced 10/26/2009)",Republican,10/26/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/26/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Tariffs,"Foreign Trade and International Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to reduce temporarily the duty on Evergol.",,,,,,
"S. 1900",https://www.congress.gov/bill/111th-congress/senate-bill/1900,"111th Congress (2009-2010)","A bill to reduce temporarily the duty on Liberty, Rely, and Ignite herbicides.","Roberts, Pat [Sen.-R-KS] (Introduced 10/26/2009)",Republican,10/26/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/26/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to reduce temporarily the duty on Liberty, Rely, and Ignite herbicides.",,,,,,
"S. 1899",https://www.congress.gov/bill/111th-congress/senate-bill/1899,"111th Congress (2009-2010)","A bill to extend the temporary suspension of duty on yttrium oxide phosphor.","Roberts, Pat [Sen.-R-KS] (Introduced 10/26/2009)",Republican,10/26/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/26/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on yttrium oxide phosphor.",,,,,,
"S. 1898",https://www.congress.gov/bill/111th-congress/senate-bill/1898,"111th Congress (2009-2010)","A bill to extend the temporary suspension of duty on yttrium oxide phosphor.","Roberts, Pat [Sen.-R-KS] (Introduced 10/26/2009)",Republican,10/26/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/26/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Tariffs,"Foreign Trade and International Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on yttrium oxide phosphor.",,,,,,
"S. 1897",https://www.congress.gov/bill/111th-congress/senate-bill/1897,"111th Congress (2009-2010)","A bill to extend the temporary suspension of duty on phosphor zinc silicate.","Roberts, Pat [Sen.-R-KS] (Introduced 10/26/2009)",Republican,10/26/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/26/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Tariffs,"Foreign Trade and International Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on phosphor zinc silicate.",,,,,,
"S. 1856",https://www.congress.gov/bill/111th-congress/senate-bill/1856,"111th Congress (2009-2010)","A bill to amend the Energy Policy Act of 2005 to clarify policies regarding ownership of pore space.","Barrasso, John [Sen.-R-WY] (Introduced 10/22/2009)",Republican,10/22/2009,"Senate - Energy and Natural Resources","Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 111-652.",04/20/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Mining,"Land use and conservation","Land transfers","Climate change and greenhouse gases",Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6077,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"08/06/2010 Referred to the Subcommittee on National Parks, Forests and Public Lands.",,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Energy Policy Act of 2005 to define &quot;pore space&quot; as a subsurface space of any size that can be used as storage space for carbon dioxide or other substances injected into the space for storage.</p> <p>Vests ownership in the federal government of any subsurface pore space located below a federal surface estate.</p> <p>Requires inclusion within a conveyance of the surface ownership of federal land the conveyance of the federal pore space in all strata below the surface of such land (other than previously reserved mineral rights) unless the ownership interest in the pore space has previously been severed from the surface ownership.</p> <p>Prohibits: (1) any agreement conveying federal interests underlying the surface of the land from also conveying ownership of federal pore space in the stratum unless the agreement explicitly conveys the interest in pore space; and (2) the holder of any pore space right from using the surface estate (except for the uses described in a properly recorded instrument).</p> <p>States that the mineral estate is dominant for purposes of determining the priority of subsurface uses between a mineral estate and pore space.</p> <p></p>",,,,,,
"S. 1844",https://www.congress.gov/bill/111th-congress/senate-bill/1844,"111th Congress (2009-2010)","A bill to suspend temporarily the duty on ski poles.","Gregg, Judd [Sen.-R-NH] (Introduced 10/22/2009)",Republican,10/22/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/22/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on ski poles.",,,,,,
"S. 1836",https://www.congress.gov/bill/111th-congress/senate-bill/1836,"111th Congress (2009-2010)","A bill to prohibit the Federal Communications Commission from further regulating the Internet.","McCain, John [Sen.-R-AZ] (Introduced 10/22/2009)",Republican,10/22/2009,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",10/22/2009,"Kyl, Jon [Sen.-R-AZ]","Brownback, Sam [Sen.-R-KS]","Ensign, John [Sen.-R-NV]","Cornyn, John [Sen.-R-TX]","Hatch, Orrin G. [Sen.-R-UT]","Burr, Richard [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Science, Technology, Communications","Federal Communications Commission (FCC)","Administrative law and regulatory procedures","Internet and video services","Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3924,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"10/27/2009 Referred to the Subcommittee on Communications, Technology, and the Internet.",,,,,,,,,,,,,,,,,,,,,,,," <p>Internet Freedom Act of 2009 - Prohibits the Federal Communications Commission (FCC) from proposing, promulgating, or issuing any regulations with regard to the Internet or IP-enabled services. </p> <p>Makes such prohibition non-applicable to regulations that are determined necessary to: (1) prevent damage to U.S. national security; (2) ensure public safety; (3) assist or facilitate any actions taken by federal and state law enforcement agencies; or (4) ensure the solvency of the Universal Service Fund. </p>",,,,,,
"S. 1835",https://www.congress.gov/bill/111th-congress/senate-bill/1835,"111th Congress (2009-2010)","A bill to amend the Internal Revenue Code of 1986 to allow 5-year carryback of operating losses, and for other purposes.","Brownback, Sam [Sen.-R-KS] (Introduced 10/22/2009)",Republican,10/22/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/22/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Business investment and capital","Income tax deductions","Insurance industry and regulation",Taxation,"Life, casualty, property insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,H.R.2452,S.823,H.R.4013,S.1937,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"05/15/2009 Referred to the House Committee on Ways and Means.","04/02/2009 Read twice and referred to the Committee on Finance.","11/03/2009 Referred to the House Committee on Ways and Means.","10/27/2009 Read twice and referred to the Committee on Finance.",,,,,,,,,,,,,,,,,,,,," <p>Amends the Internal Revenue Code to allow a five-year carryback of net operating losses, including the operating losses of life insurance companies, incurred in 2008 and 2009.</p> <p>Denies such extended loss carryover period to: (1) taxpayers in whom the federal government acquires an equity interest under the Emergency Economic Stabilization Act of 2008; (2) the Federal National Mortgage Association (Fannie Mae) and the Federal Home Loan Mortgage Corporation (Freddie Mac); and (3) members of certain affiliated groups.</p> <p>Directs the Secretary of the Treasury to make transfers to the general fund to cover reductions in revenues resulting from this Act. <br> </p>",,,,,,
"S. 1830",https://www.congress.gov/bill/111th-congress/senate-bill/1830,"111th Congress (2009-2010)","Federal Agency Energy Efficiency Improvement Act of 2009","Collins, Susan M. [Sen.-R-ME] (Introduced 10/21/2009)",Republican,10/21/2009,"Senate - Homeland Security and Governmental Affairs","By Senator Lieberman from Committee on Homeland Security and Governmental Affairs filed written report. Report No. 111-167.",04/12/2010,"Lieberman, Joseph I. [Sen.-ID-CT]","Carper, Thomas R. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Federal officials","Government Operations and Politics","Alternative and renewable resources","Electric power generation and transmission","Energy efficiency and conservation","Executive agency funding and structure","Public contracts and procurement","Performance measurement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Federal Agency Energy Efficiency Improvement Act of 2009 - (Sec. 3) Requires each federal agency to designate a Chief Conservation Officer. Includes among such Officer's duties: (1) providing assistance to enhance the agency's conservation efforts; (2) collecting data to determine the energy consumption of each building owned or operated by the agency and of major equipment located within each building and providing the results to the Chief Conservation Officers Council; (3) increasing energy efficiency and maintaining or increasing energy security and cost savings; (4) coordinating with the Chief Information Officer to develop, facilitate, and maintain the implementation of a sound energy efficiency information technology architecture and to ensure that energy consumption is considered in the design and operation of all major information resources management processes of the agency; and (5) considering the short- and long-term cost effectiveness of each initiative before taking actions.</p> <p>Makes the Chief Conservation Officer responsible for the management of the agency's energy efficiency. Directs such Officer to: (1) monitor the performance of each energy efficiency program of the agency; (2) evaluate performance on the basis of applicable performance measurements; (3) advise the agency head regarding whether to continue, modify, or terminate any program or project; and (4) prepare an energy usage report, which shall include data regarding the agency's information technology energy usage.</p> <p>(Sec. 4) Establishes in the executive branch the Chief Conservation Officers Council, which shall function as the principal interagency forum for improving the practices of federal agencies relating to the design, acquisition, development, modernization, use, operation, sharing, and performance of energy efficiency efforts of the federal government. Sets forth Council duties, including to: (1) collect information from each Chief Conservation Officer regarding the energy usage of the Officer's agency, including the ratio that the agency's equipment energy usage bears to its building energy usage; (2) assist each such Officer in developing energy baselines and goals; (3) provide guidance and develop recommendations for each Officer to assist in developing policies to enable the agency to meet its energy efficiency goals; (4) provide guidance and develop recommendations for each such Officer to assist in implementing energy policies; (5) share experiences, ideas, best practices, and innovative approaches relating to the development of energy efficiencies; (6) develop a universal metric to be used by agencies to measure the effectiveness of their conservation efforts; and (7) provide an annual report regarding federal agency energy efficiency policies.</p> <p>Requires the Director of the Office of Management and Budget (OMB) to: (1) include in the Director's annual government efficiency report and scorecard under the Energy Independence and Security Act of 2007 a description of the efforts of federal agencies under this section; and (2) make the description available on the OMB website. </p> <p>(Sec. 5) Defines ""environmentally preferable green products and services"" for purposes of certain supply schedules. Requires an authorized nonfederal user to act in accordance with the ordering guidance provided by the Administrator of General Services (GSA). </p> <p>(Sec. 6) Amends the Energy Policy Act of 2005 to require the President to ensure that a specified amount of the total energy (currently, electric energy) consumed by the government during a fiscal year is renewable energy. Defines ""renewable energy"" to mean energy (currently, electric energy) generated from from solar, wind, biomass, landfill gas, ocean, geothermal, municipal solid waste, or new hydroelectric generation capacity achieved from increasing efficiency or adding new capacity at an existing hydroelectric project.</p>",,,,,,
"S. 1809",https://www.congress.gov/bill/111th-congress/senate-bill/1809,"111th Congress (2009-2010)","A bill to amend the Clean Air Act to promote the certification of aftermarket conversion systems and thereby encourage the increased use of alternative fueled vehicles.","Wicker, Roger F. [Sen.-R-MS] (Introduced 10/20/2009)",Republican,10/20/2009,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",10/20/2009,"Inhofe, James M. [Sen.-R-OK]","Coburn, Tom [Sen.-R-OK]","Landrieu, Mary L. [Sen.-D-LA]","Cochran, Thad [Sen.-R-MS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Administrative law and regulatory procedures","Air quality","Consumer affairs","Environmental Protection Agency (EPA)","Motor vehicles","Hybrid, electric, and advanced technology vehicles","Licensing and registrations",Manufacturing,"Motor fuels","Environmental Protection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3431,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/31/2009 Referred to the Subcommittee on Energy and Environment.",,,,,,,,,,,,,,,,,,,,,,,," <p>Streamline Vehicle Conversions Act - Amends the Clean Air Act to provide that a certificate of conformity issued by the Administrator of the Environmental Protection Agency (EPA) for one or more aftermarket conversion test groups with respect to an aftermarket conversion system (i.e., hardware installed on a light-duty or heavy-duty vehicle, light-duty truck, or heavy-duty engine that allows the vehicle or engine to operate on a fuel other than that which it was originally certified to use) shall not expire, shall continue to apply in subsequent calendar years, and shall not require recertification.</p> <p>Requires the Administrator to: (1) establish criteria for use in identifying similar vehicle makes, models, original equipment manufacturers, emission standards, and different model years that may be used under a single test group; (2) accept such an established test group on an aftermarket conversion system manufacturer application for a certificate of conformity; and (3) allow the submission of previous vehicle emission test data for the certification of additional model year vehicles if the aftermarket conversion system manufacturer is able to demonstrate that neither the aftermarket conversion system nor the design and specifications of the applicable vehicle model are substantially different.</p> <p>Directs the Administrator to promulgate regulations regarding on-board diagnostic systems for aftermarket conversion systems that: (1) ensure that such conversion systems that are equipped with on-board diagnostic systems are effective at monitoring critical emission components; (2) take into account the inability of an aftermarket conversion system manufacturer to access proprietary on-board diagnostic technology of an original equipment manufacturer; and (3) are sufficiently flexible to encourage the increased use of alternative fueled vehicles.</p> <p>Sets forth provisions regarding the conversion of a vehicle outside of its useful life cycle.</p>",,,,,,
"S. 1807",https://www.congress.gov/bill/111th-congress/senate-bill/1807,"111th Congress (2009-2010)","A bill to extend the temporary suspension of duty on hexythiazox technical.","Kyl, Jon [Sen.-R-AZ] (Introduced 10/20/2009)",Republican,10/20/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/20/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on hexythiazox technical.",,,,,,
"S. 1806",https://www.congress.gov/bill/111th-congress/senate-bill/1806,"111th Congress (2009-2010)","A bill to suspend temporarily the duty on Phosmet Technical.","Kyl, Jon [Sen.-R-AZ] (Introduced 10/20/2009)",Republican,10/20/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/20/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on Phosmet Technical.",,,,,,
"S. 1805",https://www.congress.gov/bill/111th-congress/senate-bill/1805,"111th Congress (2009-2010)","A bill to suspend temporarily the duty on fenarimol technical.","Kyl, Jon [Sen.-R-AZ] (Introduced 10/20/2009)",Republican,10/20/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/20/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Tariffs,"Foreign Trade and International Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on fenarimol technical.",,,,,,
"S. 1804",https://www.congress.gov/bill/111th-congress/senate-bill/1804,"111th Congress (2009-2010)","A bill to extend the temporary suspension of duty on pyridaben technical.","Kyl, Jon [Sen.-R-AZ] (Introduced 10/20/2009)",Republican,10/20/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/20/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on pyridaben technical.",,,,,,
"S. 1798",https://www.congress.gov/bill/111th-congress/senate-bill/1798,"111th Congress (2009-2010)","A bill to provide for the automatic enrollment of demobilizing members of the National Guard and Reserve in health care and dental care programs of the Department of Veterans Affairs, and for other purposes.","Sanders, Bernard [Sen.-I-VT] (Introduced 10/19/2009)",Independent,10/19/2009,"Senate - Veterans' Affairs","Read twice and referred to the Committee on Veterans' Affairs.",10/19/2009,"Wyden, Ron [Sen.-D-OR]","Begich, Mark [Sen.-D-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"National Guard and reserves","Veterans' medical care","Dental care","Armed Forces and National Security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Automatic Reserve Component Enrollment Act of 2009 - Directs the Secretaries of Defense and Veterans Affairs to jointly provide for the enrollment of members of the National Guard and reserve being discharged or released from active duty in the health and dental care programs for veterans of the Department of Veterans Affairs (VA) during their participation in the demobilization and discharge process.</p> <p>Requires for such members: (1) the protection of privacy and personal information; (2) appropriate assistance in the completion of enrollment activities; and (3) education and outreach about the VA programs, benefits, and services for which they may be eligible.</p>",,,,,,
"S. 1797",https://www.congress.gov/bill/111th-congress/senate-bill/1797,"111th Congress (2009-2010)","A bill to extend the temporary reduction of the duty on certain textured rolled glass sheets.","Lugar, Richard G. [Sen.-R-IN] (Introduced 10/19/2009)",Republican,10/19/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/19/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to extend the temporary reduction of duty on certain textured rolled glass sheets.</p>",,,,,,
