"Downloaded on",03/05/2025,"13:27:53 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2297%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 1438",https://www.congress.gov/bill/97th-congress/senate-bill/1438,"97th Congress (1981-1982)","A bill to amend Sec. 307 of the Communications Act of 1934.","Biden, Joseph R., Jr. [Sen.-D-DE] (Introduced 06/25/1981)",Democratic,06/25/1981,"Senate - Commerce, Science, and Transportation","Read second time and referred to Senate Committee on Commerce.",06/25/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Broadcasting,"Communications and Broadcasting","Federal-state relations",Licenses,"Science, Technology, Communications",States,"Television broadcasting","Television stations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Communications Act of 1934 to direct the Federal Communications Commission to assign a limited facility very high frequency (VHF) assignment to States which do not have a licensed VHF commercial television station if it is technically feasible.",,,,,,
"S. 1432",https://www.congress.gov/bill/97th-congress/senate-bill/1432,"97th Congress (1981-1982)","A bill to amend the Internal Revenue Code of 1954 with respect to offsetting positions in personal property, and for other purposes.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 06/25/1981)",Democratic,06/25/1981,"Senate - Finance","Committee on Finance requested executive comment from OMB; Treasury Department.",07/02/1981,"Baucus, Max [Sen.-D-MT]","Sarbanes, Paul S. [Sen.-D-MD]","Metzenbaum, Howard M. [Sen.-D-OH]","Mitchell, George J. [Sen.-D-ME]","Specter, Arlen [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Capital gains tax","Commodity exchanges","Corporations and Stocks","Government securities","Income tax",Interest,"Local and Municipal Government","Local finance","Personal income tax",Securities,"Securities and Investments","State finance",States,Stocks,"Tax deductions","Tax deferral","Tax shelters",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Straddles Tax Act of 1981 - Amends the Internal Revenue Code to provide that any loss from the holding of one or more positions in certain securities shall be recognized, for income tax deduction purposes, only to the extent that it exceeds the unrealized gain (gain which would be recognized if the position had been sold at its fair market value) from the holding of one or more positions which:  (1) were acquired before the disposition resulting in the loss; (2) were offsetting positions; and (3) were not part of an identified straddle.  Defines ""offsetting position"" to mean that there is a substantial reduction of the taxpayer's risk of loss from holding any position with respect to securities because the taxpayer also holds one or more other positions with respect to such securities (commonly referred to as a ""straddle""). <p>Creates a rebuttable presumption that two or more positions are offsetting, for purposes of the definition of a straddle, if:  (1) they are in the same personal property, although they may be in a substantially altered form; (2) they are in debt instruments of a similar maturity or certain other debt instruments; (3) they are sold or marketed as such; (4) the aggregate margin requirement for such positions is lower than the sum of the margin requirement for each such position; or (5) there are other factors, as determined by the Secretary of the Treasury pursuant to regulations, which indicate that such positions are offsetting. <p>Imposes a penalty upon a taxpayer who fails to report each position held with respect to which there is unrealized gain. <p>Disallows as a deduction, and makes chargeable to capital account, interest and carrying charges with respect to personal property which is part of a straddle. <p>Treats as sold at its fair market value any regulated futures contract held by the taxpayer at the close of the taxable year.  Treats gain or loss with respect to such a contact as: (1) short-term capital gain or loss, to the extent of 40 percent of the gain or loss; and (2) long-term capital gain or loss, to the extent of 60 percent of the gain or loss.  Exempts from the loss recognition provisions of the Internal Revenue Code any straddle consisting entirely of offsetting positions which are regulated futures contracts.  Defines ""regulated futures contract"" as a contract: (1) which requires delivery of personal property; (2) with respect to which amounts deposited and withdrawn depend on a system of marking to market; and (3) which is traded on or subject to the rules of certain boards of trade. Exempts from the application of such rules any hedging transaction. Defines ""hedging transaction"" as any transaction:  (1) which is entered into in the course of the trade or business primarily to reduce certain types of risk with respect to property or borrowing; and (2) which is clearly identified as such. <p>Limits the three-year carryback of losses from regulated futures contracts to an amount which:  (1) does not exceed the lesser of the capital gain net income from regulated futures contracts or all of the capital gain net income; and (2) does not increase or produce a net operating loss. <p>Provides that obligations of the United States, a State or local government, or a U.S. possession issued on a discount basis and payable without interest in less than one year shall be treated as capital assets in determining tax consequences of gain or loss with respect to such obligations.  Treats as ordinary income any gain realized from the sale or exchange of short-term government obligations which does not exceed an amount equal to the ratable share of the excess of the stated redemption price at maturity over the taxapayer's basis. <p>Requires dealers in securities to identify securities which they acquire for personal investment purposes on the day such securities are acquired, for purposes of the capital gains tax treatment of such securities. <p>Excludes from capital gains tax treatment gains by a securities dealer from the sale or exchange of any security, unless the security was clearly identified in the dealer's records before the end of the day after the date of acquisition, as a security held for investment (currently, before the end of the 30th day after the date of acquisition).",,,,,,
"S. 1428",https://www.congress.gov/bill/97th-congress/senate-bill/1428,"97th Congress (1981-1982)","A bill for the relief of Somjai Sriweownetr and Chaluay Sriweownetr, husband and wife, and their children, Somkiat Sriweownetr, Siriluck Sriweownetr and Luckana Sriweownetr.","Tsongas, Paul E. [Sen.-D-MA] (Introduced 06/25/1981)",Democratic,06/25/1981,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Policy.",06/25/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Declares five named individuals to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 1421",https://www.congress.gov/bill/97th-congress/senate-bill/1421,"97th Congress (1981-1982)","A bill entitled the ""National Archives and Records Administration Act of 1981"".","Eagleton, Thomas F. [Sen.-D-MO] (Introduced 06/24/1981)",Democratic,06/24/1981,"Senate - Governmental Affairs","Committee on Governmental Affairs received executive comment from OMB.",11/19/1981,"Mathias, Charles McC., Jr. [Sen.-R-MD]","Kassebaum, Nancy Landon [Sen.-R-KS]","Sarbanes, Paul S. [Sen.-D-MD]","Cohen, William S. [Sen.-R-ME]","Cranston, Alan [Sen.-D-CA]","Levin, Carl [Sen.-D-MI]","Nunn, Sam [Sen.-D-GA]","Sasser, Jim [Sen.-D-TN]","Danforth, John C. [Sen.-R-MO]","Durenberger, Dave [Sen.-R-MN]","Jackson, Henry M. [Sen.-D-WA]","Moynihan, Daniel Patrick [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"Executive reorganization","Federal officials","General Services Administration","Government paperwork","Government records, documents, and information","Presidential appointments","Presidential powers","Presidents and Vice Presidents",Printing,"Public records","Government Operations and Politics",Archives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6894,,,,,CRS,Senate,,"08/06/1982 Referred to Subcommittee on Legislation and National Security.",,,,"<p>National Archives and Records Administration Act of 1981 - Establishes the National Archives and Records Administration as an independent establishment in the executive branch.  Requires the Administration to be directed by the Archivist of the United States who shall be appointed by the President for a ten-year term. <p>Directs the Archivist to appoint a Deputy Archivist.  Sets forth the administrative duties and authority of the Archivist.  Requires the Archivist to submit to Congress an annual report concerning the administration of functions of the Archivist and the Administration. <p>Transfers to the Administration and the Archivist the functions, duties, and authority of the General Services Administration (GSA) and its Administrator, respectively, concerning:  (1) congressional printing and binding; (2) the Federal Register and the Code of Federal Regulations; (3) the distribution and sale of public documents; (4) archival administration; (5) presidential records; (6) the National Archives Trust Fund Board; (7) the National Historical Publications Commission; (8) records management; and (9) the disposal of records.  Transfers to the Archivist all functions of the person holding the office of Archivist of the United States before enactment of this Act.  Transfers the National Archives and Records Service (presently within GSA) to the Administration.",,,,,,
"S. 1419",https://www.congress.gov/bill/97th-congress/senate-bill/1419,"97th Congress (1981-1982)","A bill for the relief of Rex Brimbuela Kare, doctor of medicine, his wife, and his three children.","Byrd, Robert C. [Sen.-D-WV] (Introduced 06/24/1981)",Democratic,06/24/1981,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Policy.",06/25/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Declares five named individuals to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 1418",https://www.congress.gov/bill/97th-congress/senate-bill/1418,"97th Congress (1981-1982)","A bill for the relief of Luis P. Adongay, doctor of medicine, and his wife, Thelma.","Byrd, Robert C. [Sen.-D-WV] (Introduced 06/24/1981)",Democratic,06/24/1981,"Senate - Judiciary","Committee on Judiciary. Agreed to indefinitely postpone.",09/28/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Declares two named individuals to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 1414",https://www.congress.gov/bill/97th-congress/senate-bill/1414,"97th Congress (1981-1982)","A bill to clear title to certain lands along the California-Nevada boundary.","Cranston, Alan [Sen.-D-CA] (Introduced 06/23/1981)",Democratic,06/23/1981,"Senate - Judiciary","Committee on Judiciary received executive comment from U.S. Attorney General.",09/10/1981,"Cannon, Howard W. [Sen.-D-NV]","Hayakawa, Samuel Ichiye [Sen.-R-CA]","Laxalt, Paul D. [Sen.-R-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Boundaries,California,"Land transfers",Nevada,"Public Lands and Real Property","Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Confirms the transfer of real property to California and Nevada on or before July 7, 1980, to clear title to certain lands pursuant to the boundary established between such States by the Supreme Court decision on such date.",,,,,,
"S. 1413",https://www.congress.gov/bill/97th-congress/senate-bill/1413,"97th Congress (1981-1982)","A bill to provide flexibility to the Federal Deposit Insurance Corporation, the Federal Savings and Loan Insurance Corporation and the Federal supervisory agencies to deal with financially distressed depository institutions, and to increase the lending, investment, and operating authority of Federal mutual savings banks.","Tsongas, Paul E. [Sen.-D-MA] (Introduced 06/23/1981)",Democratic,06/23/1981,"Senate - Banking, Housing, and Urban Affairs","Committee on Banking received executive comment from Federal Home Loan Bank Board. Unfavorable.",10/02/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Bank failures","Bank holding companies","Corporations and Stocks","Credit unions","Department of the Treasury","Deposit insurance","Federal Deposit Insurance Corporation","Finance and Financial Sector","Government corporations","Government Operations and Politics","Government trust funds","Housing and Housing Finance",Interest,Mortgages,"Savings and loan associations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Regulatory Flexibility and Expanded Powers Act of 1981 - <b>Title I: Financially Distressed Depository Institutions</b> - Amends the Federal Deposit Insurance Act to permit the Federal Deposit Insurance Corporation, whenever severe financial conditions exist which threaten the stability of a significant number of insured banks, to make loans to, purchase the assets of, or make deposits in any insured bank if it is probable such action will substantially reduce the risk of loss or avert a threatened loss to the Corporation. <p>Permits the Corporation to make loans to reduce the risk of loss or avert a threatened loss to the Corporation, to an insured bank or an association or bank insured by the Federal Savings and Loan Insurance Corporation. <p>Includes any lending costs for the calendar year within the definition of the ""net assessment income"" of the Corporation. <p>Amends the Bank Holding Company Act of 1956 to permit the Board of Governors of the Federal Reserve to waiver certain notice and hearing requirements concerning interests in nonbanking organizations if the Board finds that an emergency exists. <p>Includes within the definitions of ""thrift institution"" a Federal stock savings bank or savings and loan association organized under the Home Owners' Loan Act. <p>Permits a bank holding company, as a result of a transaction to be accomplished under the Federal Deposit Insurance Act, to acquire shares or assets of another bank located outside of the State in which the operations of such bank holding company's subsidiaries are located. <p>Amends the Home Owners' Loan Act to permit the Federal Home Loan Bank Board to authorize (or in the case of a Federal association, require) the conversion, on an equitable basis, of a mutual savings and loan association or mutual savings bank into a Federal stock savings and loan association or Federal stock savings bank, or charter a Federal stock savings and loan association or Federal stock savings bank to acquire the assets of, or merge with such a mutual institution. <p>Amends the National Housing Act to permit the Federal Savings and Loan Insurance Corporation, when severe financial conditions exist which threaten the stability of a significant number of insured institutions, to make loans to, make deposits in, purchase the assets or securities or assume the liabilities of, or make a contribution to, such insured institution. <p>Authorizes the Corporation, in the event that a Federal savings and loan association is in default, to organize a new Federal association to take over its assets. <p>Permits an insured institution that is eligible for assistance under the National Housing Act, during severe financial conditions, to merge or consolidate with, or to transfer its assets and liabilities to, another insured institution. <p>Amends the Federal Home Loan Bank Act to suspend temporarily, during severe financial conditions, the requirement that a portion of net earnings be set aside semiannually by each Federal Home Loan Bank and permit each such bank to declare and pay dividends out of undivided profits. <p>Amends the National Housing Act to prohibit interest on loans from the Federal Home Loan Banks from being less than their current marginal costs of funds.  Limits the borrowing authority of the Federal Savings and Loan Insurance Corporation for the purpose of insuring loans. <p>Permits the Corporation, in times of extraordinary financial conditions, to terminate distribution of shares of the secondary reserve and utilize such reserve on the same basis as the primary reserve. <p>Amends the Federal Credit Union Act to authorize the Secretary of the Treasury to lend amounts as are authorized in advance in appropriation Acts the National Credit Union Share Insurance Fund. Authorizes such Fund to borrow from the National Credit Union Administration Central Liquidity Facility. <p>Authorizes the merger or consolidation of an insured credit union which is insolvent or is in danger of insolvency with any other insured credit union. <p>Authorizes the National Credit Union Administration Central Liquidity Facility to advance funds to the National Credit Union Share Insurance Fund. <p>Amends the Federal Deposit Insurance Act to permit the Federal Deposit Insurance Corporation, whenever an insured bank is closed and the Corporation is appointed receiver, to sell assets of the closed bank to, and arrange for the assumption of the liabilities of, the closed bank by an insured depository institution located in the same State but owned by an out-of-State bank or bank holding company. <p><b>Title II: Lending, Investment, and Operating Authority of Federal Mutual Savings Banks</b> - Amends the Home Owners' Loan Act to permit an association which was formerly organized as a savings bank under State law to continue to carry on any activities it was engaged in immediately prior to conversion to a Federal Savings and Loan Association. <p>Permits Federal mutual savings banks to accept demand deposits from any source whatever. <p>Increases to ten percent of the assets of an association the amount of which such association may invest in or make loans to a service corporation. <p>Requires the Federal Deposit Insurance Corporation to indemnify the Federal Savings and Loan Insurance Corporation against any losses incurred which arise out of losses incurred by a bank which converts into a Federal mutual savings bank or a Federal stock savings bank. <p>Permits a Federal mutual savings bank to carry on all activities which are authorized to bank holding companies under the Bank Holding Company Act of 1956 or elsewhere.",,,,,,
"S. 1407",https://www.congress.gov/bill/97th-congress/senate-bill/1407,"97th Congress (1981-1982)","Mail Order Consumer Protection Amendments of 1982","Pryor, David H. [Sen.-D-AR] (Introduced 06/22/1981)",Democratic,06/22/1981,"House - Post Office and Civil Service | Senate - Governmental Affairs","Passed House (Amended) by Voice Vote.",12/13/1982,"Heinz, John [Sen.-R-PA]","Chiles, Lawton [Sen.-D-FL]","Stevens, Ted [Sen.-R-AK]","Durenberger, Dave [Sen.-R-MN]","Hollings, Ernest F. [Sen.-D-SC]","Williams, Harrison A., Jr. [Sen.-D-NJ]","Melcher, John [Sen.-D-MT]","Pressler, Larry [Sen.-R-SD]","Bumpers, Dale [Sen.-D-AR]","Burdick, Quentin N. [Sen.-D-ND]","Roth Jr., William V. [Sen.-R-DE]","Kassebaum, Nancy Landon [Sen.-R-KS]","Sasser, Jim [Sen.-D-TN]","Cohen, William S. [Sen.-R-ME]","Eagleton, Thomas F. [Sen.-D-MO]","Grassley, Chuck [Sen.-R-IA]","Nunn, Sam [Sen.-D-GA]","Byrd, Harry F.,  Jr. [Sen.-I-VA]","Dixon, Alan J. [Sen.-D-IL]","Gorton, Slade [Sen.-R-WA]","Heflin, Howell [Sen.-D-AL]","Inouye, Daniel K. [Sen.-D-HI]","Lugar, Richard G. [Sen.-R-IN]","Cochran, Thad [Sen.-R-MS]","Sarbanes, Paul S. [Sen.-D-MD]","Mathias, Charles McC., Jr. [Sen.-R-MD]","Schmitt, Harrison H. [Sen.-R-NM]","Kasten, Robert W., Jr. [Sen.-R-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,"Crime prevention","Direct mail advertising","Federal officials","Fines (Penalties)",Fraud,"Government Operations and Politics","Governmental investigations",Lotteries,"Postal Services and Facilities","Postal service",Subpoena,"United States Postal Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.7044,H.R.3973,,,,CRS,Senate,,"12/13/1982 Other Measure S.1407 (Amended) Passed House in Lieu.","08/19/1982 Clean Bill H.R.7044 Forwarded by Subcommittee to Full Committee in Lieu.",,,"(Measure passed House, amended, in lieu of H.R. 7044) <p>Mail Order Consumer Protection Amendments of 1982 - Authorizes the United States Postal Service to issue an order requiring any person to cease and desist from conducting a lottery or scheme for obtaining money or property by false representations through the mail. <p>Authorizes the Postmaster General, in conducting an investigation to determine whether a person is engaged in such prohibited activity, to tender the price requested for an article or service offered through the mail.  Declares that failure to provide an article or service after the price is tendered by the Postal Service may be considered in a hearing to determine if there is probable cause to believe that a prohibited activity has occurred.  Sets forth provisions governing the conduct of a person tendering an offer on behalf of the Postal Service. <p>Declares that mailing an advertisement promoting the sale of a publication or a solicitation to purchase, or a purchase order for, such a publication is not prohibited if:  (1) the advertisement is not false or misleading and contains no material misrepresentations of fact; (2) the advertisement discloses the source of any statements derived from or about the publication; and (3) neither the advertisement nor the publication is designed to promote the sale of another product as part of a commercial scheme. <p>Establishes a civil penalty to be assessed against any person who:  (1) attempts to evade an order directing a postmaster to return mail addressed to such person or prohibiting a postmaster from paying a money order from, or to, such person; (2) fails to comply with a cease and desist order; or (3) assists any person to evade or not to comply with any such order.  Authorizes the Postal Service to commence a civil action in the appropriate U.S. district court to enforce such a penalty. <p>Requires the Postmaster General to submit semiannual reports on the investigative activities of the Postal Service to the Board of Governors of the Postal Service.  Directs the Board to transmit such reports, upon approval, to Congress. <p>Directs the Postmaster General to conduct and report to Congress on a program to educate consumers concerning schemes involving false representations through the mail. <p>Allows a Governor of the Board to serve beyond the expiration of his or her term until a successor takes office.",,,,,,
"S. 1405",https://www.congress.gov/bill/97th-congress/senate-bill/1405,"97th Congress (1981-1982)","A bill entitled the ""Carl Albert Congressional Research and Studies Center Endowment Act"".","Boren, David L. [Sen.-D-OK] (Introduced 06/22/1981)",Democratic,06/22/1981,"Senate - Labor and Human Resources","Subcommittee on Education. Hearings held.",08/04/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Congress,"Congress and Congressmen",Education,"Educational facilities","Higher education",Oklahoma,"Political science research",Research,"Research and development","Research centers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3598,,,,,CRS,Senate,,"11/17/1981 Referred to Subcommittee on Education.",,,,"<p>Carl Albert Congressional Research and Studies Center Endowment Act - Authorizes the Secretary of Education to make matching grants to assist in the development of the Carl Albert Congressional Research and Studies Center, located at the University of Oklahoma. <p>Authorizes appropriations for fiscal years 1981 through 1987 to carry out this Act.",,,,,,
"S. 1404",https://www.congress.gov/bill/97th-congress/senate-bill/1404,"97th Congress (1981-1982)","A bill to require that all human subjects used in experiments conducted by or for the Department of Defense be informed of the nature of the experiments and that a research review board make a written certification that such subjects have freely given their informed consent to participate in the experiments, and for other purposes.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 06/19/1981)",Democratic,06/19/1981,"Senate - Armed Services","Read second time and referred to Senate Committee on Armed Services.",06/19/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Advisory bodies","Armed Forces and National Security","Defense contracts","Department of Defense","Federal advisory bodies",Health,"Human experimentation in medicine","Medical research","Military personnel","National Security and Intelligence Operations","Public Contracts, Procurement, and Property","Research and development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4051,,,,,CRS,Senate,,"07/02/1981 Referred to Subcommittee on Military Personnel and Compensation.",,,,"<p>GI Medical Research Protection Act of 1981 - Requires all human subjects used in experiments conducted by or for the Department of Defense to be informed in understandable language of the nature of the experiments. Requires the documentation of such consent through a written form.  Establishes a Research Review Board in the Department to oversee the implementation and enforcement of this Act.",,,,,,
"S. 1403",https://www.congress.gov/bill/97th-congress/senate-bill/1403,"97th Congress (1981-1982)","A bill to amend section 376 of title 28, United States Code, in order to reform and improve the existing program for annuities for survivors of Federal Justices and judges.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 06/19/1981)",Democratic,06/19/1981,"Senate - Judiciary","Subcommittee on Courts. Hearings held.",09/24/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Courts and Civil Procedure","Government Operations and Politics",Judges,"Judicial officers","Survivors' benefits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3909,,,,,CRS,Senate,,"06/22/1982 Subcommittee Hearings Held.",,,,"<p>Judicial Survivors' Annuities Reform Act of 1981 - Revises the annuity program for survivors of Federal Justices and judges. <p>Makes the benefits conferred by this Act immediately available to any eligible individual. <p>Permits a judicial officer who has participated in such annuity program to withdraw, in writing, according to specified procedures.",,,,,,
"S. 1402",https://www.congress.gov/bill/97th-congress/senate-bill/1402,"97th Congress (1981-1982)","A bill to establish uniform National standards for the continued regulation, by the several States, of commercial motor vehicle width and length on interstate highways.","Cannon, Howard W. [Sen.-D-NV] (Introduced 06/19/1981)",Democratic,06/19/1981,"Senate - Commerce, Science, and Transportation","Placed on Senate Legislative Calendar under Regular Orders. Calendar No. 414.",12/14/1981,"McClure, James A. [Sen.-R-ID]","Wallop, Malcolm [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Federal aid highway program","Federal-state relations",Injunctions,"Interstate highway system","Roads and highways",States,"Transportation and Public Works",Trucking,Trucks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"(Reported to Senate from the Committee on Commerce, Science, and Transportation with amendment, S. Rept. 97-298) <p>Uniform Motor Vehicle Standards Act of 1981 - Prohibits a State from establishing or enforcing, on qualified segments of Federal-aid highways, any regulation of commerce that:  (1) imposes a limitation of less than 48 feet on the length of the semitrailer unit operating in a truck tractor-semitrailer combination, and of less than 28 feet on certain trailers and semitrailers; (2) sets an overall length limitation on tractor-trailer trucks and combinations; and (3) prohibits combinations consisting of a truck tractor and two trailing units. <p>Authorizes the Secretary of Transportation to establish rules to implement the provisions of this Act. <p>Allows a State to permit trucks or combinations thereof not more than 102 inches wide to operate over qualified Federal-aid highways. <p>Directs that such length and width limitations are exclusive of specified safety-related appendages. <p>Prohibits a State from enacting or enforcing any law that denies reasonable access to motor vehicles subject to this Act to and from the Interstate Highway System and the Federal-aid primary system. <p>Directs the Secretary of Transportation or, upon request, the Attorney General, to institute a civil action for injunctive relief as may be appropriate to assure compliance with the provisions of this Act. <p>Directs the Secretary to require all tractors, semitrailers, and trailers subject to this Act to be equipped with approved splash and spray suppressant devices. <p>Requires the Secretary to report to Congress on the potential benefits and costs that may be anticipated from the establishment of a National intercity truck route network for the operation of a special class of longer combination commercial motor vehicles.",,,,,,
