"Downloaded on",03/05/2025,"13:57:07 EST"
"Search URL",https://www.congress.gov/advanced-search?raw=%5B%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22congress%22%2C%22operator%22%3A%22multi%22%2C%22value%22%3A%5B%22118%22%2C%22117%22%2C%22116%22%2C%22112%22%2C%22111%22%5D%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22chamber%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Senate%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22committee%22%2C%22operator%22%3A%22containsAll%22%2C%22value%22%3A%22Finance%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22sponsor-party%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Democratic%22%7D%7D%5D%7D%5D&q=%7B%22type%22%3A%22bills%22%2C%22congress%22%3A%22112%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2610",https://www.congress.gov/bill/112th-congress/senate-bill/2610,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on Esfenvalerate technical.","Coons, Christopher A. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on Esfenvalerate technical.",,,,,,
"S. 2609",https://www.congress.gov/bill/112th-congress/senate-bill/2609,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on Famoxadone, Cymoxanil, and application adjuvants.","Coons, Christopher A. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on Famoxadone, Cymoxanil, and application adjuvants.",,,,,,
"S. 2608",https://www.congress.gov/bill/112th-congress/senate-bill/2608,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on methyl-4-trifluoromethoxyphenyl-N-(chlorocarbonyl) carbamate.","Coons, Christopher A. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on methyl-4-trifluoromethoxyphenyl-N-(chlorocarbonyl) carbamate.",,,,,,
"S. 2607",https://www.congress.gov/bill/112th-congress/senate-bill/2607,"112th Congress (2011-2012)","A bill to extend and modify the temporary reduction of duty on black 820 inkjet printing ink.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to grant temporarily duty-free treatment of black 820 inkjet printing ink. </p>",,,,,,
"S. 2606",https://www.congress.gov/bill/112th-congress/senate-bill/2606,"112th Congress (2011-2012)","A bill to extend and modify the temporary reduction of duty on black 661 inkjet printing ink.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to grant temporarily duty-free treatment of black 661 inkjet printing ink. </p>",,,,,,
"S. 2605",https://www.congress.gov/bill/112th-congress/senate-bill/2605,"112th Congress (2011-2012)","A bill to extend and modify the temporary reduction of duty on cyan 1 RO inkjet printing ink.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to grant temporarily duty-free treatment of cyan 1 RO inkjet printing ink. </p>",,,,,,
"S. 2604",https://www.congress.gov/bill/112th-congress/senate-bill/2604,"112th Congress (2011-2012)","A bill to extend and modify the temporary reduction of duty on cyan 854 inkjet printing ink.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to grant temporarily duty-free treatment of cyan 854 inkjet printing ink. </p>",,,,,,
"S. 2603",https://www.congress.gov/bill/112th-congress/senate-bill/2603,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on tolfenpyrad technical.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on tolfenpyrad technical.",,,,,,
"S. 2602",https://www.congress.gov/bill/112th-congress/senate-bill/2602,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on Buprofezin.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on Buprofezin.",,,,,,
"S. 2601",https://www.congress.gov/bill/112th-congress/senate-bill/2601,"112th Congress (2011-2012)","A bill to extend temporarily the suspension of duty on Flutolanil.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend temporarily the suspension of duty on Flutolanil.",,,,,,
"S. 2600",https://www.congress.gov/bill/112th-congress/senate-bill/2600,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on Pyraflufen-ethyl.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on Pyraflufen-ethyl.",,,,,,
"S. 2599",https://www.congress.gov/bill/112th-congress/senate-bill/2599,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on Fenpyroximate.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on Fenpyroximate.",,,,,,
"S. 2598",https://www.congress.gov/bill/112th-congress/senate-bill/2598,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on dichloroacetyl chloride.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on dichloroacetyl chloride.",,,,,,
"S. 2597",https://www.congress.gov/bill/112th-congress/senate-bill/2597,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on benzene, 2,4-dichloro-1,3-dinitro-5-(trifluoromethyl).","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on benzene, 2,4-dichloro-1,3-dinitro-5-(trifluoromethyl).",,,,,,
"S. 2596",https://www.congress.gov/bill/112th-congress/senate-bill/2596,"112th Congress (2011-2012)","A bill to renew the temporary suspension of duty on Triasulfuron.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to extend temporarily the suspension of duty on Triasulfuron. </p>",,,,,,
"S. 2595",https://www.congress.gov/bill/112th-congress/senate-bill/2595,"112th Congress (2011-2012)","A bill to extend the suspension of duty on phosphoric acid, tris (2-ethylhexyl) ester.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to extend temporarily the suspension of duty on phosphoric acid, tris (2-ethylhexyl) ester. </p>",,,,,,
"S. 2594",https://www.congress.gov/bill/112th-congress/senate-bill/2594,"112th Congress (2011-2012)","A bill to extend and modify the temporary reduction of duty on Thiamethoxam.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to increase temporarily the duty on Thiamethoxam. </p>",,,,,,
"S. 2593",https://www.congress.gov/bill/112th-congress/senate-bill/2593,"112th Congress (2011-2012)","A bill to extend the suspension of duty on trifloxysulfuron-sodium.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to extend temporarily the suspension of duty on trifloxysulfuron-sodium. </p>",,,,,,
"S. 2592",https://www.congress.gov/bill/112th-congress/senate-bill/2592,"112th Congress (2011-2012)","A bill to extend the temporary duty on staple fibers of viscose rayon, not carded, combed, or otherwise processed for spinning.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Harmonized Tariff Schedule of the United States to extend temporarily the suspension of duty on staple fibers of viscose rayon, not carded, combed, or otherwise processed for spinning. </p>",,,,,,
"S. 2591",https://www.congress.gov/bill/112th-congress/senate-bill/2591,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on ultraviolet lamps filled with deuterium gas.","Carper, Thomas R. [Sen.-D-DE] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Coons, Christopher A. [Sen.-D-DE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on ultraviolet lamps filled with deuterium gas.",,,,,,
"S. 2590",https://www.congress.gov/bill/112th-congress/senate-bill/2590,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on A5546 sulfonamide.","Manchin, Joe, III [Sen.-D-WV] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on A5546 sulfonamide.",,,,,,
"S. 2589",https://www.congress.gov/bill/112th-congress/senate-bill/2589,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on Picoxystrobin.","Manchin, Joe, III [Sen.-D-WV] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on Picoxystrobin.",,,,,,
"S. 2588",https://www.congress.gov/bill/112th-congress/senate-bill/2588,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on 2-amino-5-cyano-N,3-dimethylbenzamide.","Manchin, Joe, III [Sen.-D-WV] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on 2-amino-5-cyano-N,3-dimethylbenzamide.",,,,,,
"S. 2587",https://www.congress.gov/bill/112th-congress/senate-bill/2587,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on Carbaryl.","Manchin, Joe, III [Sen.-D-WV] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,"Rockefeller, John D., IV [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on Carbaryl.",,,,,,
"S. 2586",https://www.congress.gov/bill/112th-congress/senate-bill/2586,"112th Congress (2011-2012)","A bill to extend the temporary suspension of duty on certain subassemblies for measuring equipment for telecommunications.","Feinstein, Dianne [Sen.-D-CA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to extend the temporary suspension of duty on certain subassemblies for measuring equipment for telecommunications.",,,,,,
"S. 2585",https://www.congress.gov/bill/112th-congress/senate-bill/2585,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on floor coverings and mats, of over 30% recycled Polyethylene (PE) or Ethylene-Vinyl Acetate (EVA), of the kind used for temporary cushioning for children and adults.","Feinstein, Dianne [Sen.-D-CA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on floor coverings and mats, of over 30% recycled Polyethylene (PE) or Ethylene-Vinyl Acetate (EVA), of the kind used for temporary cushioning for children and adults.",,,,,,
"S. 2584",https://www.congress.gov/bill/112th-congress/senate-bill/2584,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on certain plastic device covers and stands.","Feinstein, Dianne [Sen.-D-CA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on certain plastic device covers and stands.",,,,,,
"S. 2583",https://www.congress.gov/bill/112th-congress/senate-bill/2583,"112th Congress (2011-2012)","A bill to suspend temporarily the duty on certain textile device covers and stands.","Feinstein, Dianne [Sen.-D-CA] (Introduced 05/07/2012)",Democratic,05/07/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",05/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Tariffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amends the Harmonized Tariff Schedule of the United States to suspend temporarily the duty on certain textile device covers and stands.",,,,,,
