"Downloaded on",03/04/2025,"18:22:53 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%2294%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 1775",https://www.congress.gov/bill/94th-congress/senate-bill/1775,"94th Congress (1975-1976)","A bill for the relief of Samis Lotfy Azer.","Thurmond, Strom [Sen.-R-SC] (Introduced 05/20/1975)",Republican,05/20/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",05/20/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Samis Lotfy Azer.",,,,,,
"S. 1774",https://www.congress.gov/bill/94th-congress/senate-bill/1774,"94th Congress (1975-1976)","A bill to reorganize the executive branch of the Government by abolishing the Federal Metal and Nonmetallic Mine Safety Board of Review and transferring functions and powers of such Board to the Secretary of the Interior.","Percy, Charles H. [Sen.-R-IL] (Introduced 05/20/1975)",Republican,05/20/1975,"House - Education and Labor | Senate - Government Operations","Referred to House Committee on Education and Labor.",06/25/1975,"Brock, Bill [Sen.-R-TN]","Domenici, Pete V. [Sen.-R-NM]","Hatfield, Mark O. [Sen.-R-OR]","Nunn, Sam [Sen.-D-GA]","Proxmire, William [Sen.-D-WI]","Roth Jr., William V. [Sen.-R-DE]","Scott, William Lloyd [Sen.-R-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Advisory bodies","Department of the Interior","Executive reorganization","Mines and mineral resources","Safety measures","Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"(Reported to Senate from the Committee on Government Operations with amendment, S. Rept. 94-217) <p> Repeals the provisions of the Federal Metal and Nonmetallic Mine Safety Act of 1966 pertaining to the Federal Metal and Nonmetallic Mine Safety Board of Review. <p>  Prohibits the Secretary of Interior from granting temporary relief for orders issued pursuant to such Act in situations involving imminent danger of death or serious physical harm. <p>  Requires the Secretary to provide an opportunity for a hearing in accordance with the Administrative Procedure Act before making any finding or order under such Act. <p>  Provides that the U.S. courts of appeals shall review the final orders of the Secretary of the Interior.",,,,,,
"S. 1773",https://www.congress.gov/bill/94th-congress/senate-bill/1773,"94th Congress (1975-1976)","A bill to amend section 104(g) of title 23, United States Code, relating to the transfer of funds from the rail-crossing program to other uses.","Fong, Hiram L. [Sen.-R-HI] (Introduced 05/20/1975)",Republican,05/20/1975,"Senate - Public Works","Referred to Senate Committee on Public Works.",05/20/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Federal aid highway program","Federal budgets",Railroads,"Roads and highways","Safety measures","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7916,,,,CRS,,"06/16/1975 Referred to House Committee on Public Works and Transportation.",,,,"<p>Provides that all or any portion of the amount apportioned to any State in accordance with the rail- highway crossings program of the Highways Safety Act of 1973 may be transferred to other highway safety programs if such State has no rail-highway crossings on its Federal-aid highway system.",,,,,,
"S. 1772",https://www.congress.gov/bill/94th-congress/senate-bill/1772,"94th Congress (1975-1976)","A bill to amend title 10 of the United States Code to provide a more equitable standard for awarding the gold star lapel button.","Buckley, James L. [Sen.-R-NY] (Introduced 05/20/1975)",Republican,05/20/1975,"Senate - Armed Services","Referred to Senate Committee on Armed Services.",05/20/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security","Awards, medals, prizes","Military medals, decorations, etc.","Military personnel","War casualties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3537,,,,CRS,,"02/21/1975 Referred to House Committee on Armed Services.",,,,"<p>Sets conditions for the awarding of the gold star lapel button under the approval of the Secretary of Defense in instances of members of the Armed Forces who fall in armed conflict while serving with friendly foreign forces.  (Amends 10 U.S.C. 1126)",,,,,,
"S. 1771",https://www.congress.gov/bill/94th-congress/senate-bill/1771,"94th Congress (1975-1976)","A bill for the relief of Branka Mardessich and Sonia S. Silvani.","Buckley, James L. [Sen.-R-NY] (Introduced 05/20/1975)",Republican,05/20/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",05/20/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Branka Mardessich and Sonia S. Silvani.",,,,,,
"S. 1766",https://www.congress.gov/bill/94th-congress/senate-bill/1766,"94th Congress (1975-1976)","A bill to authorize the establishment of the Edison Birthplace National Historic Site.","Taft, Robert, Jr. [Sen.-R-OH] (Introduced 05/19/1975)",Republican,05/19/1975,"Senate - Interior and Insular Affairs","Referred to Senate Committee on Interior and Insular Affairs.",05/19/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Historic sites",Ohio,"Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Authorizes the Secretary of the Interior to acquire such lands and interests as are necessary for the purpose of establishing the Edison Birthplace National Historic Site, Milan, Ohio. <p>Authorizes to be appropriated such sums as are necessary to carry out this Act.",,,,,,
"S. 1764",https://www.congress.gov/bill/94th-congress/senate-bill/1764,"94th Congress (1975-1976)","A bill to establish a national cemetery in the State of Delaware.","Roth Jr., William V. [Sen.-R-DE] (Introduced 05/19/1975)",Republican,05/19/1975,"Senate - Veterans' Affairs","Referred to Senate Committee on Veterans' Affairs.",05/19/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Cemeteries and funerals",Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.8285,,,,CRS,,"06/26/1975 Referred to House Committee on Veterans' Affairs.",,,,"<p>Directs the Administrator of Veterans' Affairs to establish a national cemetery near Dover, Delaware.  Authorizes the Administrator to provide for the care and maintenance of the cemetery.  Authorizes the appropriation of such sums as necessary to carry out this Act.",,,,,,
"S. 1763",https://www.congress.gov/bill/94th-congress/senate-bill/1763,"94th Congress (1975-1976)","A bill to limit certain fees which may be charged or accepted by an attorney for services performed in connection with certain civil actions brought in Federal courts.","Roth Jr., William V. [Sen.-R-DE] (Introduced 05/19/1975)",Republican,05/19/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",05/19/1975,"Mansfield, Mike [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Civil procedure",Law,"Legal fees",Malpractice,"Medical care, personnel, and facilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Places limitations upon fees which may be charged or received by attorneys for services performed in connection with civil actions brought in Federal courts alleging medical malpractice. <p>Provides that such specified actions shall not result in attorney fees of an amount greater than: (1) one-third of the net amount recovered up to $10,000; (2) 15 percent of the net amount recovered between $10,000 and $50,000; and (3) 10 percent of the net amount recovered in excess of $50,000, except that no such fee may exceed $75,000. <p>Provides that any attorney who violates the provisions of this Act shall be fined not more than an amount equal to twice the amount recovered that is in excess of the amount authorized to be charged under this Act.  (Adds 28 U.S.C. 123)",,,,,,
"S. 1761",https://www.congress.gov/bill/94th-congress/senate-bill/1761,"94th Congress (1975-1976)","A bill to provide foreign assistance to Cyprus.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 05/16/1975)",Republican,05/16/1975,"Senate - Foreign Relations","Referred to Senate Committee on Foreign Relations.",05/16/1975,"Beall, J. Glenn, Jr. [Sen.-R-MD]","Brooke, Edward W. [Sen.-R-MA]","Buckley, James L. [Sen.-R-NY]","Cranston, Alan [Sen.-D-CA]","Griffin, Robert P. [Sen.-R-MI]","Hart, Philip A. [Sen.-D-MI]","Hatfield, Mark O. [Sen.-R-OR]","McClure, James A. [Sen.-R-ID]","Pearson, James B. [Sen.-R-KS]","Pell, Claiborne [Sen.-D-RI]","Percy, Charles H. [Sen.-R-IL]","Scott, Hugh [Sen.-R-PA]","Taft, Robert, Jr. [Sen.-R-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Cyprus,"International Affairs","International relief",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Foreign Assistance to Cyprus Act - Authorizes the appropriation of $25,000,000 for humanitarian assistance to the people of Cyprus.  Directs the President to make maximum use of international and voluntary relief organizations as channels for such assistance.",,,,,,
"S. 1757",https://www.congress.gov/bill/94th-congress/senate-bill/1757,"94th Congress (1975-1976)","A bill to amend the Civil Rights Act of 1964 to make it unlawful employment practice to discriminate against individuals who are physically handicapped because of such handicap.","Weicker, Lowell P., Jr. [Sen.-R-CT] (Introduced 05/16/1975)",Republican,05/16/1975,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",05/16/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Civil Rights and Liberties, Minority Issues",Disabled,Discrimination,"Discrimination in employment","Labor and Employment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1346,,,,CRS,,"01/14/1975 Referred to House Committee on Education and Labor.",,,,"<p>Makes it an unlawful employment practice under the Civil Rights Act to discriminate against individuals who are physically handicapped because of such handicap.",,,,,,
"S. 1756",https://www.congress.gov/bill/94th-congress/senate-bill/1756,"94th Congress (1975-1976)","A bill to extend appropriations authorizations for communicable disease and other control programs.","Schweiker, Richard S. [Sen.-R-PA] (Introduced 05/15/1975)",Republican,05/15/1975,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",05/15/1975,"Cranston, Alan [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Diseases,Health,"Medical care, personnel, and facilities","Public health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7050,,,,CRS,,"05/15/1975 Referred to House Committee on Interstate and Foreign Commerce.",,,,"<p>Control Programs Amendment - Provides that the Secretary of Health, Education, and Welfare shall require reports with respect to and shall be allowed to examine and audit disease control programs funded through the Department and operated by the States. <p>Requires recipients of grants for control programs to keep full and accurate records to facilitate effective audits. <p>Provides that information received from a patient under such a program shall not be disclosed without his consent, except as may be necessary to provide service to him, or for program-related purposes if his identity is not disclosed. <p>Requires the Secretary to submit an annual report to the Congress on the extent of controllable diseases and the effectiveness of and plans for programs to control such diseases. <p>Authorizes $34,000,000 for fiscal years 1976, 1977, and 1978 for disease control programs and the control of lead-based paint poisoning and infestation by rats.",,,,,,
"S. 1753",https://www.congress.gov/bill/94th-congress/senate-bill/1753,"94th Congress (1975-1976)","A bill to extend the National Health Service Corps.","Schweiker, Richard S. [Sen.-R-PA] (Introduced 05/15/1975)",Republican,05/15/1975,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",05/15/1975,"Thurmond, Strom [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Access to health care","Community health services","Dental care",Dentists,Education,"Federal advisory bodies",Health,"Medical care, personnel, and facilities","Medical education","Medical personnel",Nurses,"Paramedical personnel",Physicians,"Public health","Public health administration","Public health personnel","Regional medical programs",Scholarships,,,,,,,,,,,,,,,,,,,,,2,H.R.15,H.R.7048,,,CRS,,"09/29/1976 Referred to Senate Committee on Government Operations.","05/15/1975 Referred to House Committee on Interstate and Foreign Commerce.",,,"<p>National Health Service Corps Amendments - Extends appropriations authorizations for the National Health Service Corps for an additional four fiscal years. <p>Authorizes the Secretary of Health, Education, and Welfare to award grants of up to $10,000 to facilitate the provision of health services in areas of critical manpower shortages.",,,,,,
"S. 1750",https://www.congress.gov/bill/94th-congress/senate-bill/1750,"94th Congress (1975-1976)","A bill to grant an alien child adopted by an unmarried U.S. citizen the same immigrant status as an alien child adopted by a U.S. citizen and his spouse.","Javits, Jacob K. [Sen.-R-NY] (Introduced 05/15/1975)",Republican,05/15/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",05/15/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Adoption,Aliens,Families,Immigration,"Immigration law",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.568,,,,CRS,,"12/16/1975 Public law 94-155.",,,,"<p>Grants a child adopted by a single United States citizen the same immigrant status as a child adopted by a United States citizen and his spouse.  (Amends 8 U.S.C. 1101 (b) (1)(F))",,,,,,
"S. 1747",https://www.congress.gov/bill/94th-congress/senate-bill/1747,"94th Congress (1975-1976)","A bill to limit to 5 percent cost-of-living benefit increase under the old-age, survivors', and disability insurance and supplemental security income programs established by the Social Security Act through June 30, 1976.","Curtis, Carl T. [Sen.-R-NE] (Introduced 05/15/1975)",Republican,05/15/1975,"Senate - Finance","Referred to Senate Committee on Finance.",05/15/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Old age, survivors and disability insurance","Social Welfare","Supplemental security income program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Limits to five percent cost-of-living benefit increases under the Old-age, Survivors, and Disability Insurance and supplemental security income programs established by the Social Security Act through June 30, 1976.",,,,,,
"S. 1746",https://www.congress.gov/bill/94th-congress/senate-bill/1746,"94th Congress (1975-1976)","A bill to provide additional credit facilities for farmers and other rural residents.","Bellmon, Henry L. [Sen.-R-OK] (Introduced 05/15/1975)",Republican,05/15/1975,"Senate - Agriculture and Forestry","Referred to Senate Committee on Agriculture and Forestry.",05/15/1975,"Abourezk, James [Sen.-D-SD]","Humphrey, Hubert H. [Sen.-D-MN]","Thurmond, Strom [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Agricultural credit","Agricultural economics","Agriculture and Food",Credit,"Housing and Community Development","Rural affairs legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Increases farm ownership loan limits of the Farmers Home Administration from $100,000 to $200,000.  Increases the total indebtedness limit from $225,000 to $350,000.  Increases the operating loan limit from $50,000 to $100,000.",,,,,,
"S. 1742",https://www.congress.gov/bill/94th-congress/senate-bill/1742,"94th Congress (1975-1976)","A bill to amend the Federal Energy Administration Act of 1974 in order to provide for the prohibition of certain practices which encourage additional use of electricity and natural gas.","Brooke, Edward W. [Sen.-R-MA] (Introduced 05/14/1975)",Republican,05/14/1975,"Senate - Commerce","Referred to Senate Committee on Commerce.",05/14/1975,"Metcalf, Lee [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Advertising,"Electric power",Energy,"Energy policy","Natural gas","Petroleum and petroleum products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Directs the Administrator of the Federal Energy Administration to prescribe regulations which will prohibit any Federal, State, or local government agency which regulates the price of electricity or natural gas from authorizing any rate schedule which encourages the additional consumption of electricity or natural gas or allowing for ratemaking purposes the recoupment of any advertising or other expenditures which are made to encourage the comsumption of electricity or natural gas.",,,,,,
"S. 1740",https://www.congress.gov/bill/94th-congress/senate-bill/1740,"94th Congress (1975-1976)","A bill to reestablish and extend the program whereby payments in lieu of taxes may be made with respect to certain real property transferred by the Reconstruction Finance Corporation and its subsidiaries to other Government departments.","Buckley, James L. [Sen.-R-NY] (Introduced 05/14/1975)",Republican,05/14/1975,"Senate - Government Operations","Referred to Senate Committee on Government Operations.",05/14/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Corporations,"Government corporations","Government Operations and Politics","Payments in lieu of taxes","Real property",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Provides that a Government department that has custody and control of real property transferred on or after January 1, 1976, from the Reconstruction Finance Corporation shall pay to the appropriate State and local taxing authorities an amount equal to the amount of real property tax which would be payable if such property were owned privately.",,,,,,
"S. 1739",https://www.congress.gov/bill/94th-congress/senate-bill/1739,"94th Congress (1975-1976)","A bill to authorize the Secretary of the Interior to establish a National Law Enforcement Heroes Memorial within the District of Columbia.","Buckley, James L. [Sen.-R-NY] (Introduced 05/14/1975)",Republican,05/14/1975,"Senate - Interior and Insular Affairs","Referred to Senate Committee on Interior and Insular Affairs.",05/14/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Crime and Law Enforcement","District of Columbia","Law enforcement officers","Monuments and memorials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2379,,,,CRS,,"01/29/1975 Referred to House Committee on Interior and Insular Affairs.",,,,"<p>Authorizes the Secretary of the Interior to establish and administer a National Law Enforcement Heroes Memorial within the District of Columbia. <p>Authorizes to be appropriated $1,000,000 for the development of such memorial.",,,,,,
"S. 1738",https://www.congress.gov/bill/94th-congress/senate-bill/1738,"94th Congress (1975-1976)","A bill to authorize the Secretary of the Navy to transfer ownership of two naval vessels no longer needed by the Navy to the city of New York, New York.","Buckley, James L. [Sen.-R-NY] (Introduced 05/14/1975)",Republican,05/14/1975,"Senate - Armed Services","Referred to Senate Committee on Armed Services.",05/14/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Aircraft carriers","Armed Forces and National Security",Navy,"New York City",Ships,"Ships and shipping","Surplus government property",Warships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2054,,,,CRS,,"01/23/1975 Referred to House Committee on Armed Services.",,,,"<p>Authorizes the Secretary of the Navy to transfer ownership of two naval vessels, the U.S.S. Essex and the U.S.S. Randolph, no longer needed by the Navy to the city of New York, New York.",,,,,,
"S. 1737",https://www.congress.gov/bill/94th-congress/senate-bill/1737,"94th Congress (1975-1976)","A bill to amend the Public Health Service Act to encourage the establishment of uniform standards for licensing and regulation of clinical laboratories.","Javits, Jacob K. [Sen.-R-NY] (Introduced 05/14/1975)",Republican,05/14/1975,"House - Interstate and Foreign Commerce | Senate - Labor and Public Welfare","Referred to House Committee on Interstate and Foreign Commerce.",04/30/1976,"Beall, J. Glenn, Jr. [Sen.-R-MD]","Cranston, Alan [Sen.-D-CA]","Domenici, Pete V. [Sen.-R-NM]","Eagleton, Thomas F. [Sen.-D-MO]","Hathaway, William D. [Sen.-D-ME]","Kennedy, Edward M. [Sen.-D-MA]","Laxalt, Paul D. [Sen.-R-NV]","Mondale, Walter F. [Sen.-D-MN]","Nelson, Gaylord [Sen.-D-WI]","Pell, Claiborne [Sen.-D-RI]","Randolph, Jennings [Sen.-D-WV]","Schweiker, Richard S. [Sen.-R-PA]","Stafford, Robert T. [Sen.-R-VT]","Taft, Robert, Jr. [Sen.-R-OH]","Williams, Harrison A., Jr. [Sen.-D-NJ]","Durkin, John A. [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"Advisory bodies","Federal advisory bodies",Health,Laboratories,Licenses,"Medical care, personnel, and facilities","Medical laboratories","Public health",States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"(Measure passed Senate, amended, roll call #159 (64-11)) <p> Clinical Laboratories Improvement Act - Defines ""laboratory"" and ""clinical laboratory"" for purposes of this Act.  Excludes blood banks and agencies not under the jurisdiction of the Department of Health, Education, and Welfare from such definitions. <p>  Requires the licensing of all clinical laboratories, as defined by this Act.  Directs the Secretary of Health, Education, and Welfare to issue such licenses.  Authorizes the Secretary to delegate licensing authority to the States, providing the Secretary determines that State standards meet or exceed Federal standards. <p>  Authorizes the Secretary to require $125 for the issuance of such a license. <p>  Requires applicants to furnish the Secretary of HEW with a schedule of rates charged for their laboratory services. <p>  Authorizes the Secretary to establish standards to be met by clinical laboratories in order to receive and maintain the license required by this Act.  Provides that such standards shall be designed to assure consistently accurate laboratory procedures and service. <p>  Directs the Secretary to attempt to achieve the adoption of such standards throughout the Federal Government. <p>  Sets forth conditions under which the Secretary may revoke, suspend, or limit such licenses, after reasonable hearing, and provides for judicial review of parties aggrieved by such actions. <p>  Directs the Secretary to establish an Office of Clinical Laboratories. Declares that the purpose of such Office shall be to establish a uniform regulatory program for the functions authorized by this Act, to assume responsibility for the laboratory component of other health programs administered and enforced by the Secretary, and to evaluate and validate the accuracy, reliability, and performance of automated laboratory testing equipment of clinical laboratories and to disseminate the results thereof. Creates an advisory council on clinical laboratories to advise the Office with respect to guidelines for laboratory licensing, personnel, and performance standards. <p>  Provides that no grant or reimbursement which the Secretary is authorized to make, or contract which he is authorized to award, whether to or for any health care facility, including but not limited to health maintenance organizations, hospitals, skilled nursing or intermediate care facilities, or in connection with the procurement and reimbursement for clinical laboratory services shall be entered into unless the laboratory meets the standards established by the Secretary. <p>  Empowers the Secretary to exempt from this Act the office laboratories of specified medical practitioners used for their own patients. <p>  States that regulations promulgated by the Secretary relating to the qualification of laboratory personnel shall not apply to a clinical laboratory located within a health care facility of 100 beds or less and which is located in a rural area for a period of two years after the effective date of such regulations; and shall be waived thereafter under specified conditions. <p>  Provides for grants and technical assistance to those States which desire to establish State licensing procedures and regulations for development, administration, and enforcement purposes. <p>  Authorizes appropriation of $15,000,000 for each fiscal year for such purposes. <p>  Grants inspection powers to the Secretary over clinical laboratories, including the power to inspect financial, sales, and pricing data.  Requires the Secretary to report annually to the Congress the effects of the pricing of laboratory services in relation to overall costs of related health services. <p>  Subjects to a possible fine of $10,000 and/or three years' imprisonment laboratory owners or operators who receive bribes or kickbacks in connection with the provision of services or who engage in fraudulent billing practices to obtain Federal funds. <p>  Provides that any person who willfully violates any other provision of this Act or any rule or regulation promulgated thereunder shall be subject to imprisonment for not more than one year, or a fine of not more than $1,000, or both. <p>  Prohibits any laboratory employer from discharging any employee or otherwise discriminating against any employee with respect to his compensation, terms, conditions, or privileges of employment because such employee has caused to be commenced a proceeding under this title or a proceeding for the administration or enforcement of laboratory regulations as set forth under any Federal or State program.",,,,,,
"S. 1735",https://www.congress.gov/bill/94th-congress/senate-bill/1735,"94th Congress (1975-1976)","A bill to require the Budget and the reports of the Congressional Budget Committees to contain information and data on the impact of Federal borrowing.","Pearson, James B. [Sen.-R-KS] (Introduced 05/14/1975)",Republican,05/14/1975,"Senate - Government Operations","Referred to Senate Committee on Government Operations.",05/14/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Economics and Public Finance","Federal budgets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Federal Borrowing Impact Act - Requires, under the Budget and Accounting Act and the Congressional Budget Act, that the Budget and the reports of the Congressional Budget committees contain specified information and data on the impact of Federal borrowing.",,,,,,
"S. 1732",https://www.congress.gov/bill/94th-congress/senate-bill/1732,"94th Congress (1975-1976)","A bill for the relief of James Torgboy Saye.","Scott, Hugh [Sen.-R-PA] (Introduced 05/14/1975)",Republican,05/14/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",05/14/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of James Torgboy Saye.",,,,,,
"S. 1731",https://www.congress.gov/bill/94th-congress/senate-bill/1731,"94th Congress (1975-1976)","A bill for the relief of Mamerto C. Comia.","Scott, Hugh [Sen.-R-PA] (Introduced 05/14/1975)",Republican,05/14/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",05/14/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Mamerto C. Comia.",,,,,,
"S. 1723",https://www.congress.gov/bill/94th-congress/senate-bill/1723,"94th Congress (1975-1976)","A bill to amend the Internal Revenue Code of 1954 to revise the tax treatment of transfer of certain property to tax-exempt organizations.","Byrd, Harry F.,  Jr. [Sen.-I-VA] (Introduced 05/13/1975)",Independent,05/13/1975,"Senate - Finance","Referred to Senate Committee on Finance.",05/13/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Income tax","Tax-exempt organizations",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6633,,,,CRS,,"05/01/1975 Referred to House Committee on Ways and Means.",,,,"<p>Provides that property which would lose its status as a capital asset entitled to be depreciated under the Internal Revenue Code (loss of such status requiring recapture of any previously declared depreciation) shall retain such status where it is transferred to a tax-exempt parent organization.",,,,,,
