"Downloaded on",03/04/2025,"18:44:01 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22112%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 628",https://www.congress.gov/bill/112th-congress/senate-bill/628,"112th Congress (2011-2012)","A bill to authorize the Secretary of the Interior to convey a railroad right of way between North Pole, Alaska, and Delta Junction, Alaska, to the Alaska Railroad Corporation.","Murkowski, Lisa [Sen.-R-AK] (Introduced 03/17/2011)",Republican,03/17/2011,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",03/17/2011,"Begich, Mark [Sen.-D-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alaska,"Land transfers","Public Lands and Natural Resources",Railroads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/05/2011 Referred to the Subcommittee on National Parks, Forests and Public Lands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Alaska Railroad Right of Way Extension Act of 2011 - Directs the Secretary of the Interior, and other appropriate federal officials, to convey to the Alaska Railroad Corporation all rights, title, and interests of the United States to certain land located between North Pole, Alaska, and Delta Junction, Alaska, for the purpose of constructing a railroad corridor extension and related support areas and structures. </p> <p>Requires Surface Transportation Board approval for the phased construction of such extension.</p>",,,,,,
"S. 616",https://www.congress.gov/bill/112th-congress/senate-bill/616,"112th Congress (2011-2012)","A bill to amend the Elementary and Secondary Education Act of 1965 in order to support the community schools model.","Sanders, Bernard [Sen.-I-VT] (Introduced 03/17/2011)",Independent,03/17/2011,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",03/17/2011,"Mikulski, Barbara A. [Sen.-D-MD]","Cantwell, Maria [Sen.-D-WA]","Brown, Sherrod [Sen.-D-OH]","Coons, Christopher A. [Sen.-D-DE]","Baucus, Max [Sen.-D-MT]","Johnson, Tim [Sen.-D-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Academic performance and assessments","Child care and development","Child health","Community life and organization",Education,"Education of the disadvantaged","Education programs funding","Elementary and secondary education","Public-private cooperation","School administration","Teaching, teachers, curricula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Supporting Community Schools Act of 2011 - Amends part A of title I of the Elementary and Secondary Education Act of 1965 (ESEA) to authorize local educational agencies (LEAs) to use school improvement funds to transform schools identified as needing improvement, corrective action, or restructuring into community schools. (Schools are identified as needing improvement, corrective action, or restructuring when they fail to make adequate yearly progress [AYP] toward state academic performance standards.)</p> <p>Defines a &quot;community school&quot; as a public elementary or secondary school that partners with community-based entities, both public and private, to address students' academic, health, and developmental needs while also serving as a community center that provides or hosts relevant community services.</p> <p>Requires such schools to be based on research into successful practices in: (1) improving student achievement or growth, (2) closing achievement gaps between groups of students, and (3) increasing student attendance and graduation rates.</p> <p>Authorizes LEAs to use funds under part D (Prevention and Intervention Programs for Children and Youth Who Are Neglected, Delinquent, or At-Risk) of title I of the ESEA to fund a community school coordinator who will support their community schools. </p>",,,,,,
"S. 615",https://www.congress.gov/bill/112th-congress/senate-bill/615,"112th Congress (2011-2012)","A bill to improve the accountability and transparency in infrastructure spending by requiring a life-cycle cost analysis of major infrastructure projects, providing the flexibility to use alternate infrastructure type bidding procedures to reduce project costs, and requiring the use of design standards to improve efficiency and save taxpayer dollars.","Vitter, David [Sen.-R-LA] (Introduced 03/17/2011)",Republican,03/17/2011,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",03/17/2011,"Graham, Lindsey [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Budget process","Government Operations and Politics","Infrastructure development","Intergovernmental relations","Public contracts and procurement","Public transit","Roads and highways","Transportation programs funding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/21/2011 Referred to the Subcommittee on Water Resources and Environment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Fiscal Accountability and Transparency in Infrastructure Spending Act of 2011 - Requires each executive agency to obtain a life-cycle cost analysis for each major infrastructure project prior to obligating funds. Defines ""life-cycle cost analysis"" as a process for evaluating the total economic worth of an infrastructure project by analyzing specified costs over a minimum 50-year period.</p> <p>Authorizes the use of alternate infrastructure type bidding procedures for awarding contracts for projects on the National Highway System and for major infrastructure projects. </p> <p>Requires the Secretary of Transportation to require states to utilize the Mechanistic-Empirical Pavement Design Guide (developed under the National Cooperative Highway Research Program Project I-37A)&nbsp;for the initial design phase of all authorized highway projects.</p>",,,,,,
"S. 614",https://www.congress.gov/bill/112th-congress/senate-bill/614,"112th Congress (2011-2012)","A bill to require the Attorney General to consult with appropriate officials within the executive branch prior to making the decision to try an unprivileged enemy belligerent in Federal Court.","Collins, Susan M. [Sen.-R-ME] (Introduced 03/17/2011)",Republican,03/17/2011,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",03/17/2011,"Lieberman, Joseph I. [Sen.-ID-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Conflicts and wars","Congressional oversight","Crime and Law Enforcement","Criminal investigation, prosecution, interrogation","Criminal procedure and sentencing","Department of Justice",Terrorism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Securing Terrorist Intelligence Act - Prohibits the Attorney General (AG) or any officer or employee of the Department of Justice (DOJ) from initiating a custodial interrogation of, or filing a criminal complaint or indictment (action) against any foreign person detained by the United States because they may have engaged in conduct constituting an act of war against the United States, terrorism, or material support to terrorists or activities in preparation therefor, unless the AG has previously consulted with: (1) the Director of National Intelligence (DNI), (2) the Director of the National Counterterrorism Center, (3) the Secretary of Homeland Security (DHS), and (4) the Secretary of Defense (DOD).</p> <p>Provides that if any of the intelligence officials believe that any action proposed by the AG may prevent the collection of intelligence related to terrorism or threats of violence against the United States or its citizens, the AG may not initiate such action without specific direction from the President.</p> <p>Requires an annual report from the AG to Congress on the occasions on which direction for action was sought from the President and the number of times the President directed such actions.</p>",,,,,,
"S. 612",https://www.congress.gov/bill/112th-congress/senate-bill/612,"112th Congress (2011-2012)","A bill to amend the Energy Policy and Confirmation Act to require the Secretary of Energy to develop and implement a strategic petroleum demand response plan to reduce the consumption of petroleum products by the Federal Government.","Snowe, Olympia J. [Sen.-R-ME] (Introduced 03/17/2011)",Republican,03/17/2011,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",03/17/2011,"Merkley, Jeff [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Alternative and renewable resources",Energy,"Energy efficiency and conservation","Energy storage, supplies, demand","Government buildings, facilities, and property","Hybrid, electric, and advanced technology vehicles","Oil and gas","Strategic materials and reserves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Strategic Petroleum Demand Response Act of 2011 - Amends the Energy Policy and Conservation Act to direct the Secretary of Energy (DOE) to develop and implement: (1) a strategic petroleum demand response plan to reduce the consumption of petroleum products by the federal government, and (2) a voluntary response plan to encourage individual companies and state and local governments to reduce the consumption of petroleum products in conjunction with the strategic petroleum demand response plan.</p> <p>Requires proceeds from the sale of petroleum products from the Strategic Petroleum Reserve (SPR) to be used to: (1) implement the strategic petroleum demand response plan required by this Act, (2) procure electric vehicles for the federal government, or (3) work with the rental car industry to expand electric vehicle options for federal employees.</p> ",,,,,,
"S. 611",https://www.congress.gov/bill/112th-congress/senate-bill/611,"112th Congress (2011-2012)","A bill to provide greater technical resources to FCC Commissioners.","Snowe, Olympia J. [Sen.-R-ME] (Introduced 03/17/2011)",Republican,03/17/2011,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",03/17/2011,"Warner, Mark R. [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Executive agency funding and structure","Federal Communications Commission (FCC)","Government employee pay, benefits, personnel management","Science, Technology, Communications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"06/03/2011 Referred to the Subcommittee on Communications and Technology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>FCC Technical Expertise Capacity Heightening Act or the FCC TECH Act - Amends the Communications Act of 1934 to permit each commissioner to appoint an electrical engineer or computer scientist to provide technical consultation and to interface with the Office of Engineering and Technology and other Federal Communications Commission (FCC) bureaus and technical staff. </p> <p>Directs the FCC Chairman to enter into an arrangement with the National Academy of Sciences to complete a specified study of, and report on, FCC technical policy decisionmaking and the technical personnel at the FCC.</p> <p>Requires the FCC to biennially (currently, annually) review and report on competitive market conditions with respect to domestic and international satellite communications services.</p>",,,,,,
"S. 610",https://www.congress.gov/bill/112th-congress/senate-bill/610,"112th Congress (2011-2012)","A bill to provide for the conveyance of approximately 140 acres of land in the Ouachita National Forest in Oklahoma to the Indian Nations Council, Inc., of the Boy Scouts of America, and for other purposes.","Inhofe, James M. [Sen.-R-OK] (Introduced 03/17/2011)",Republican,03/17/2011,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",03/17/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Forests, forestry, trees","Land transfers",Oklahoma,"Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"04/02/2012 Became Public Law No: 112-103.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Help to Access Land for the Education of Scouts or HALE Scouts Act - Requires the conveyance of specified National Forest System land in the Ouachita National Forest in Oklahoma to the Indian Nations Council, Inc., of the Boy Scouts of America. </p>",,,,,,
"S. 609",https://www.congress.gov/bill/112th-congress/senate-bill/609,"112th Congress (2011-2012)","A bill to provide for the establishment of a committee to assess the effects of certain Federal regulatory mandates.","Inhofe, James M. [Sen.-R-OK] (Introduced 03/17/2011)",Republican,03/17/2011,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",03/17/2011,"Johanns, Mike [Sen.-R-NE]","Cochran, Thad [Sen.-R-MS]","Coats, Daniel [Sen.-R-IN]","Roberts, Pat [Sen.-R-KS]","Blunt, Roy [Sen.-R-MO]","Murkowski, Lisa [Sen.-R-AK]","McConnell, Mitch [Sen.-R-KY]","McCain, John [Sen.-R-AZ]","Hutchison, Kay Bailey [Sen.-R-TX]","Crapo, Mike [Sen.-R-ID]","Cornyn, John [Sen.-R-TX]","Graham, Lindsey [Sen.-R-SC]","Vitter, David [Sen.-R-LA]","Burr, Richard [Sen.-R-NC]","Isakson, Johnny [Sen.-R-GA]","Barrasso, John [Sen.-R-WY]","Wicker, Roger F. [Sen.-R-MS]","Risch, James E. [Sen.-R-ID]","Hoeven, John [Sen.-R-ND]","Johnson, Ron [Sen.-R-WI]","Lee, Mike [Sen.-R-UT]","Paul, Rand [Sen.-R-KY]","Rubio, Marco [Sen.-R-FL]","Enzi, Michael B. [Sen.-R-WY]","Sessions, Jeff [Sen.-R-AL]","Thune, John [Sen.-R-SD]","Toomey, Patrick [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,"Administrative law and regulatory procedures","Agricultural conservation and pollution","Air quality","Climate change and greenhouse gases",Coal,"Competitiveness, trade promotion, trade deficits","Department of Commerce","Economic development","Economic performance and conditions","Electric power generation and transmission","Energy prices","Energy storage, supplies, demand","Environmental Protection Agency (EPA)","Environmental Protection","Environmental regulatory procedures","Executive agency funding and structure","Industrial facilities","Lighting, heating, cooling",Manufacturing,Metals,"Motor fuels","Oil and gas",Pipelines,"Public utilities and utility rates","Small business","Solid waste and recycling","State and local government operations","State and local taxation","Transportation costs",Unemployment,"Water quality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/08/2011 Read twice and referred to the Committee on Environment and Public Works.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Comprehensive Assessment of Regulations on the Economy Act of 2011 - Establishes within the Department of Commerce the Cumulative Regulatory Assessment Committee to assess the cumulative energy and economic impacts of federal regulatory mandates that: (1) are promulgated or issued (or are expected to be initiated) by the Administrator of the Environmental Protection Agency (EPA) or a state or local government from January 1, 2010, to January 1, 2020; (2) apply to one or more impacted unit; and (3) implement any provision or requirement relating to interstate or international transport of air pollution with respect to any national ambient air quality standard, attainment of any such standard, new source performance standards, hazardous air pollutants, greenhouse gas emissions, cooling water intake structures, effluent guidelines for regulating the discharge of pollutants, the handling and disposal of coal combustion residuals, the regulation of fuels, or regional haze or reasonably attributable visibility impairment under the Clean Air Act or any other environmental regulations expected to have a significant impact on the electric power sector, the petroleum refining sector, the petrochemical production sector, pipeline facilities regulated by the Department of Transportation (DOT) or EPA, exploration, production, or transportation of oil and natural gas, or any other manufacturing sector. </p> <p>Defines ""impacted unit"" as any: (1) electric generating unit that sells electricity into the grid; (2) industrial, commercial, or institutional boiler or process heater; (3) petroleum refining facility that produces gasoline, heating oil, diesel fuel, jet fuel, kerosene, or petrochemical feedstocks; (4) petrochemical facility; (5) hydrocarbon exploration, extraction, manufacturing, production, or transportation facility; or (6) biofuel facility.</p>",,,,,,
"S. 608",https://www.congress.gov/bill/112th-congress/senate-bill/608,"112th Congress (2011-2012)","A bill to provide limitations on maritime liens on fishing licenses and for other purposes.","Murkowski, Lisa [Sen.-R-AK] (Introduced 03/17/2011)",Republican,03/17/2011,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",03/17/2011,"Begich, Mark [Sen.-D-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Civil actions and liability","Licensing and registrations","Marine and coastal resources, fisheries","Marine and inland water transportation","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.1210,H.R.2838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,House,"03/18/2011 Referred to the Subcommittee on Coast Guard and Maritime Transportation.","12/20/2012 Became Public Law No: 112-213.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Maritime Lien Reform Act of 2011 - Bars specified federal shipping laws related to maritime liability from: (1) establishing maritime liens on state or federal fishing licenses (authorizing a person or use of a vessel to engage in fishing), and (2) authorizing civil actions to enforce maritime liens on such licenses.</p> <p>Specifies that a &quot;fishing license&quot; is governed solely by the state or federal law under which it was issued and is not included in the whole or as an appurtenance or intangible of a vessel.</p>",,,,,,
"S. 605",https://www.congress.gov/bill/112th-congress/senate-bill/605,"112th Congress (2011-2012)","David Mitchell Rozga Act","Grassley, Chuck [Sen.-R-IA] (Introduced 03/17/2011)",Republican,03/17/2011,"Senate - Judiciary","Placed on Senate Legislative Calendar under General Orders. Calendar No. 122.",07/29/2011,"Hatch, Orrin G. [Sen.-R-UT]","Feinstein, Dianne [Sen.-D-CA]","Klobuchar, Amy [Sen.-D-MN]","Whitehouse, Sheldon [Sen.-D-RI]","Hagan, Kay R. [Sen.-D-NC]","Manchin, Joe, III [Sen.-D-WV]","Wyden, Ron [Sen.-D-OR]","Casey, Robert P., Jr. [Sen.-D-PA]","Blumenthal, Richard [Sen.-D-CT]","Schumer, Charles E. [Sen.-D-NY]","Coons, Christopher A. [Sen.-D-DE]","Collins, Susan M. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"Crime and Law Enforcement","Drug trafficking and controlled substances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.1254,S.3189,S.3190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/08/2011 Received in the Senate and Read twice and referred to the Committee on the Judiciary.","05/16/2012 Read twice and referred to the Committee on the Judiciary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Dangerous Synthetic Drug Control Act of 2011 or David Mitchell Rozga Act - Amends the Controlled Substances Act to add as a schedule I controlled substance any material, compound, mixture, or preparation which contains specified cannabimimetic agents (or the salts, isomers, or salts of isomers thereof).</p> <p>Extends the period during which the Attorney General may temporarily schedule a substance in schedule I to avoid an imminent hazard to public safety to two years with a one-year extension (currently, one year with a six-month extension).</p>",,,,,,
"S. 602",https://www.congress.gov/bill/112th-congress/senate-bill/602,"112th Congress (2011-2012)","A bill to require regulatory reform.","Collins, Susan M. [Sen.-R-ME] (Introduced 03/16/2011)",Republican,03/16/2011,"Senate - Homeland Security and Governmental Affairs","Committee on Homeland Security and Governmental Affairs. Hearings held. Hearings printed: S.Hrg. 112-220.",07/20/2011,"Roberts, Pat [Sen.-R-KS]","Barrasso, John [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Administrative law and regulatory procedures","Civil actions and liability","Economic performance and conditions","Government information and archives","Government Operations and Politics","Public participation and lobbying","Small business",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/07/2011 Read twice and referred to the Committee on Finance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Clearing Unnecessary Regulatory Burdens Act or the CURB Act - Requires each federal agency to: (1) report to the Office of Information and Regulatory Affairs on the costs and benefits of each significant regulatory action and of identified alternatives; (2) develop or have written procedures for the approval of significant guidance documents; (3) maintain on its website a list of such documents in effect; (4) establish and advertise on its website a means for the public to electronically submit comments on such documents and a request for issuance, reconsideration, modification, or rescission of such documents; and (5) publish a notice in the Federal Register announcing that a draft of an economically significant guidance document is available, make such document publicly available, invite comment on such draft, and respond to such comments.</p> <p>Defines a &quot;significant regulatory action&quot; as any regulatory action that is likely to result in a regulation that may: (1) have an annual effect on the economy of $100 million or more or adversely affect in a material way the economy, a sector of the economy, productivity, competition, jobs, the environment, public health or safety, or state, local, or tribal governments or communities; (2) create a serious inconsistency or otherwise interfere with an action taken or planned by another agency; (3) materially alter the budgetary impact of entitlements, grants, user fees, or loan programs or the rights and obligations of recipients thereof; or (4) raise novel legal or policy issues arising out of legal mandates and the priorities, principles, and provisions of this Act.</p> <p>Authorizes an agency head, in consultation with such Office, to identify a particular document or category of such documents for which the procedures of this Act are not feasible or appropriate.</p> <p>Requires agencies to notify the Administrator &nbsp;in emergency situations or when they are&nbsp;obligated by law to act more quickly than normal review procedures allow.</p> <p>Allows a reduction or waiver of civil penalties on small entities for failure to comply with regulatory requirements.</p>",,,,,,
"S. 586",https://www.congress.gov/bill/112th-congress/senate-bill/586,"112th Congress (2011-2012)","A bill to amend the Congressional Accountability Act of 1995 to apply whistleblower protections available to certain executive branch employees to legislative branch employees, and for other purposes.","Grassley, Chuck [Sen.-R-IA] (Introduced 03/15/2011)",Republican,03/15/2011,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",03/15/2011,"McCaskill, Claire [Sen.-D-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Congress,"Congressional agencies","Congressional officers and employees","Employment discrimination and employee rights","Government Accountability Office (GAO)","Library of Congress",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"10/24/2011 Referred to the Subcommittee on Courts, Commercial and Administrative Law.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Congressional Whistleblower Protection Act of 2011 - Amends the Congressional Accountability Act of 1995 to apply whistleblower rights and protections to legislative branch employees, including those of the Government Accountability Office (GAO) or the Library of Congress.</p> <p>Prescribes for violation of this Act the same remedy as would be appropriate if awarded with respect to a prohibited federal personnel practice in the executive branch.</p>",,,,,,
