"Downloaded on",03/05/2025,"13:27:26 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2298%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2011",https://www.congress.gov/bill/98th-congress/senate-bill/2011,"98th Congress (1983-1984)","A bill to require high-buoyancy life vests aboard commercial aircraft.","DeConcini, Dennis [Sen.-D-AZ] (Introduced 10/26/1983)",Democratic,10/26/1983,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce.",10/26/1983,"Humphrey, Gordon J. [Sen.-R-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Aircraft,Aviation,"Aviation safety","Public safety","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5518,,,,,,,,,CRS,Senate,"08/02/1984 Subcommittee Hearings Held.",,"<p>Directs the Administrator of the Federal Aviation Administration to promulgate regulations requiring passenger aircraft of 30 seats or more to carry high-buoyancy life vests.",,,,,,
"S. 2010",https://www.congress.gov/bill/98th-congress/senate-bill/2010,"98th Congress (1983-1984)","A bill to amend subpart E of part 3 of schedule 6 of the Tariff Schedules of the United States.","Tsongas, Paul E. [Sen.-D-MA] (Introduced 10/26/1983)",Democratic,10/26/1983,"Senate - Finance","Committee on Finance requested executive comment from OMB, International Trade Commission, Office of the U.S. Trade Representative, Treasury Department, State Department, Commerce Department.",11/01/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and Investments","Foreign Trade and International Finance",Imports,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2851,,,,,,,,,CRS,Senate,"11/15/1983 Subcommittee Hearings Held.",,"<p>Amends the Tariff Schedules of the United States to impose a duty on certain knives with snap-off blades (commonly known as snap blade tools).",,,,,,
"S. 2002",https://www.congress.gov/bill/98th-congress/senate-bill/2002,"98th Congress (1983-1984)","A bill to amend title II of the Social Security Act to provide for reform in the disability determination process.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 10/26/1983)",Democratic,10/26/1983,"Senate - Finance","Committee on Finance requested executive comment from OMB, Treasury Department, Health and Human Services Department.",11/01/1983,"Pryor, David H. [Sen.-D-AR]","Sasser, Jim [Sen.-D-TN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Administrative procedure","Advisory bodies","Department of Health and Human Services","Disability evaluation","Federal advisory bodies","Federal aid programs","Government Operations and Politics","Old age, survivors and disability insurance","Social Security Administration","Social Welfare","State finance",States,"Vocational rehabilitation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Social Security Disability Benefits Reform Act of 1983 - <b>Title I:  Standards of Disability</b> - Amends title II (Old Age, Survivors and Disability Insurance) of the Social Security Act to provide that an individual who is receiving disability benefits may be determined not to be entitled to such benefits on the grounds that the disability involved has ceased, does not exist, or is not disabling, only if: (1) there has been medical improvement in the individual's impairment so that the individual can engage in substantial gainful activity; (2) the individual can engage in substantial gainful activity as a result of medical or vocational therapy or technology; or (3) on the basis of new or improved diagnostic techniques, the individual's impairment is not considered as disabling as it was at the time of the most recent prior disability determination and the individual can engage in substantial gainful activity. <p>Requires the Secretary of Health and Human Services to:  (1) conduct a study, in conjunction with the National Academy of Sciences, on the use of subjective evidence of pain in making disability determinations; and (2) submit the study results to specified congressional committees. <p>Requires the Secretary to consider the combined effect of all of an individual's impairments in determining whether such individual is unable to engage in substantial gainful activity. <p><b>Title II:  Disability Determination Process</b> - Requires the Secretary to revise the criteria under the category ""Mental Disorders"" in the ""Listing of Impairments"" in effect under part 404 of title 20 of the Code of Federal Regulations which are used to make individualized determinations of disability for purposes of determining eligibility for disability benefits under title II of the Social Security Act. <p>Prohibits the Social Security Administration from carrying out continuing eligibility reviews with respect to individuals previously determined to be under a disability due to mental impairment until such revisions have been established by final regulation.  Makes such prohibition inapplicable in any case involving fraud or where an individual is engaged in substantial gainful activity. <p>Sets forth requirements for the redetermination of disability determinations made after the enactment of this Act and before the date on which the Secretary's revisions are established by final regulation. <p>Provides that an initial disability determination by the Secretary or by a State agency which is unfavorable to a disability benefit applicant shall remain pending until after notice and opportunity for review. Requires that such a determination contain a statement of the case which indicates the basis of the disability determination, the right to a review, and the right to submit additional medical evidence before such review.  Entitles the applicant or the applicant's spouse, divorced spouse, surviving divorced spouse, surviving spouse, surviving divorced mother, child, or parent to a review of a pending disability determination upon request and upon a showing that his or her rights may be prejudiced by such determination.  Sets forth procedural requirements with respect to such a review. Requires the Secretary or the State agency to affirm or modify a pending disability determination on the basis of such a review. <p>Provides that an initial decision by the Secretary as to an individual's eligibility for disability benefits which is based upon an initial disability determination and which is unfavorable to such individual shall contain a statement of the case which indicates the basis of such decision, the individual's right to a hearing, and the individual's right to submit additional evidence before or at such hearing. <p>Entitles an individual who is dissatisfied with an initial decision by the Secretary to judicial review. <p>Requires the Secretary to conduct demonstration projects in at least five States implementing the amendments made by this Act.  Requires the Secretary to report to specified congressional committees on such projects. <p>Removes certain time restrictions on the continued payment of disability benefits during the appeal process. <p>Requires the Secretary to study and report to specified congressional committees on: (1) the effect of the continued payment of benefits during the appeal process upon the expenditures from the Federal Old-Age and Survivors Insurance Trust Fund, the Federal Disability Insurance Trust Fund, the Federal Hospital Insurance Trust Fund, and the Federal Supplementary Medical Insurance Trust Fund; and (2) the rate of appeals to administrative law judges of unfavorable disability benefit entitlement determinations. <p>Provides that a disability determination in the case of an individual with a mental impairment shall be made only after a qualified psychiatrist or psychologist employed by the State agency or the Secretary has made the proper medical evaluation. <p>Requires the Secretary to prescribe standards with respect to consultative examinations which must be obtained for disability determinations. <p><b>Title III:  Miscellaneous Provisions</b> - Provides for the application of Federal rulemaking and administrative procedure requirements to disability determinations under title II of the Social Security Act. <p>Specifies certain decisions by a U.S. court of appeals with which the Secretary and the Department of Health and Human Services must comply, unless there is a review by the U.S. Supreme Court. <p>Expands the types of cases with respect to which States may be reimbursed by the Secretary for the costs of furnishing vocational rehabilitation services. <p>Establishes in the Department of Health and Human Services an Advisory Council on the Medical Aspects of Disability, which shall advise and make recommendations to the Secretary on disability standards, policies, and procedures. Terminates the Council on December 31, 1985. <p>Amends title VII (Administration) of the Social Security Act to require that each report by the Secretary to Congress on the administration of the Social Security Act contain a description of the current status of the disability insurance program under title II of such Act. <p>Requires the Secretary to establish enough attorney adviser positions in the Department of Health and Human Services to insure adequate opportunity for career advancement for attorneys in the Social Security Administration. Requires that such attorneys be given qualifying experience for appointment to administrative law judge positions.  Requires the Secretary to report to specified congressional committees with respect to complying with these requirements.",,,,,,
"S. 1997",https://www.congress.gov/bill/98th-congress/senate-bill/1997,"98th Congress (1983-1984)","A bill to amend title 28 of the United States Code relating to the retirement of territorial judges.","Inouye, Daniel K. [Sen.-D-HI] (Introduced 10/25/1983)",Democratic,10/25/1983,"Senate - Judiciary","Referred to Subcommittee on Courts.",10/27/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Canal Zone",Canals,"Courts and Civil Procedure",Guam,Judges,"Judicial compensation","Labor and Employment",Law,"Territories (U.S.)","Virgin Islands","Water and Water Resources Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Amends the judicial code to:  (1) reduce from 65 to 62 years the age at which judicial retirement rights may be drawn by territorial judges (in Guam, the Virgin Islands, and the Canal Zone); and (2) reduce from 10 years to 8 years the period of service after which judicial retirement rights actually vest for such judges.",,,,,,
"S. 1995",https://www.congress.gov/bill/98th-congress/senate-bill/1995,"98th Congress (1983-1984)","A bill to provide for the conveyance of certain mineral interests of the United States in property in Louisiana to the record owners of the surface of that property.","Johnston, J. Bennett [Sen.-D-LA] (Introduced 10/25/1983)",Democratic,10/25/1983,"Senate - Energy and Natural Resources","Subcommittee on Public Lands and Reserved Water. Hearings held. Hearings printed:  S.Hrg. 98-977.",05/22/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Land transfers",Louisiana,"Mineral rights conveyances","Mines and mineral resources","Public Lands and Real Property","Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Directs the Secretary of the Interior to convey the mineral interests of the United States in specified property in Louisiana to the record owners of the surface of such property.",,,,,,
"S. 1992",https://www.congress.gov/bill/98th-congress/senate-bill/1992,"98th Congress (1983-1984)","A bill to amend the Internal Revenue Code of 1954 to simplify and improve the income tax treatment of life insurance companies and their products.","Bentsen, Lloyd M. [Sen.-D-TX] (Introduced 10/25/1983)",Democratic,10/25/1983,"Senate - Finance","Committee on Finance. Hearings held. Hearings printed:  S.Hrg. 98-790.",01/31/1984,"Baucus, Max [Sen.-D-MT]","Grassley, Chuck [Sen.-R-IA]","Boren, David L. [Sen.-D-OK]","Bradley, Bill [Sen.-D-NJ]","Chafee, John H. [Sen.-R-RI]","Danforth, John C. [Sen.-R-MO]","Durenberger, Dave [Sen.-R-MN]","Mitchell, George J. [Sen.-D-ME]","Moynihan, Daniel Patrick [Sen.-D-NY]","Wallop, Malcolm [Sen.-R-WY]","Armstrong, William L. [Sen.-R-CO]","Matsunaga, Spark M. [Sen.-D-HI]","Cohen, William S. [Sen.-R-ME]","Kasten, Robert W., Jr. [Sen.-R-WI]","Weicker, Lowell P., Jr. [Sen.-R-CT]","Dodd, Christopher J. [Sen.-D-CT]","Quayle, Dan [Sen.-R-IN]","Helms, Jesse [Sen.-R-NC]","Stennis, John C. [Sen.-D-MS]","Denton, Jeremiah [Sen.-R-AL]","Cochran, Thad [Sen.-R-MS]","Exon, J. James [Sen.-D-NE]","Heflin, Howell [Sen.-D-AL]","Tower, John G. [Sen.-R-TX]","East, John P. [Sen.-R-NC]","Abdnor, James [Sen.-R-SD]","Stevens, Ted [Sen.-R-AK]","Laxalt, Paul D. [Sen.-R-NV]","Sasser, Jim [Sen.-D-TN]","Hatfield, Mark O. [Sen.-R-OR]","Specter, Arlen [Sen.-R-PA]","Domenici, Pete V. [Sen.-R-NM]","Huddleston, Walter (Dee) [Sen.-D-KY]","Lautenberg, Frank R. [Sen.-D-NJ]","Murkowski, Frank H. [Sen.-R-AK]","Thurmond, Strom [Sen.-R-SC]","Warner, John [Sen.-R-VA]","Zorinsky, Edward [Sen.-D-NE]","Boschwitz, Rudy [Sen.-R-MN]","Hecht, Chic [Sen.-R-NV]","Jepsen, Roger W. [Sen.-R-IA]","Wilson, Pete [Sen.-R-CA]",,,,,,,,,,,,,,,,,,,,,42,Accounting,"Business and commerce","Corporation taxes","Income tax","Individual retirement accounts",Insurance,"Insurance companies","Life insurance","Tax rates","Tax reform","Tax-deferred compensation plans",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Life Insurance Tax Act of 1983 - <b>Title I:  Life Insurance Provisions</b> - <b>Subtitle A:  Taxation of Life Insurance Companies</b> - Amends the Internal Revenue Code to set the rate of tax on a life insurance company at the corporate rate on its life insurance company taxable income (LICTI).  Sets forth an alternative tax in the case of capital gains. Defines life insurance company taxable income as life insurance gross income reduced by life insurance deductions. <p>Defines life insurance gross income as the sum of: (1) premiums; (2) decreases in certain reserves; and (3) other amounts generally includible by a taxpayer in gross income.  Allows three types of deductions:  (1) general life insurance deductions; (2) the special life insurance deduction; and (3) the small life insurance company deduction.  Sets forth definitions and special rules for each type of deduction.  Sets forth rules for the calculation of net increases and decreases in reserves. <p>Requires life insurance companies to use either the accrual method of accounting or a method permitted under regulations which combines an accrual method with another recognized method.  Sets forth rules for the amortization of premiums and accrual of discount. Sets forth rules for the computation of a company's share and the policyholders' share of investment income. <p>Sets forth rules for the tax treatment of foreign life insurance companies.  Requires an adjustment to LICTI where a required surplus held in the United States is less than a specified amount. Sets forth rules for the tax treatment of contiguous country branches of domestic life insurance companies. <p>Provides that life insurance company taxable income which has an existing policyholders surplus account shall be increased by any direct or indirect distribution to shareholders from such account. <p>Defines ""life insurance company"" as an insurance company which is engaged in the business of issuing life insurance and annuity contracts or noncancellable contracts of health and life insurance if its life insurance reserves plus unearned premiums and unpaid losses comprise more than 50 percent of its total reserves. <p>Sets forth rules for the tax treatment of variable contracts.  Sets forth rules relating to capital gains and losses of a life insurance company. <p>Sets forth the effective date for the provisions of this Act. Provides transitional rules. <p><b>Subtitle B:  Taxation of Life Insurance Products</b> - Redefines ""life insurance contract"" for purposes of the Internal Revenue Code.  Defines such a contract as any contract, which is a life insurance contract under applicable State or foreign law, but only if the contract meets either of two alternatives:  (1) a cash value accumulation test; or (2) a test consisting of a guideline premium requirement and a cash value corridor requirement. Specifies requirements of each such test.  Sets forth rules for contracts not meeting the life insurance definition.  Sets forth transitional rules. <p>Treats as distributed to a contract holder any amount of an annuity contract held by an individual who dies before the annuity starting date.  Exempts any such amounts from the five-percent penalty tax on a premature distribution from an annuity. <p>Limits the amount of the interest deduction allowed in the case of life insurance loans.  Sets forth rules for the calculation of such limit. Extends to former employees and key employees the limitations on group-term life insurance purchased for employees. <p><b>Subtitle C:  Nondeductible Contributions to Individual Retirement Plans</b> - Allows certain nondeductible contributions to individual retirement accounts and annuities.  Limits such contributions to the least of:  (1) $1,750; (2) the excess of compensation includible in gross income over the amount allowable as a deduction under present rules; or (3) an amount designated by the taxpayer as a nondeductible contribution. <p><b>Subtitle D:  Studies</b> - Requires the Secretary of the Treasury to report annually to specified committees of the Congress on the revenues received by this Act and to compare the amount of such revenues and the amount anticipated by reason of changes made by the Tax Equity and Fiscal Responsibility Act of 1982 and this Act. <p>Requires the Secretary to make annual reports in the years 1986, 1987, 1988, and 1989 concerning the impact of this Act on specified segments and products of the life insurance industry.",,,,,,
"S. 1989",https://www.congress.gov/bill/98th-congress/senate-bill/1989,"98th Congress (1983-1984)","A bill for the relief of Vladimir Victorovich Yakimetz.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 10/21/1983)",Democratic,10/21/1983,"House - Judiciary | Senate - Judiciary","Became Private Law No: 98-30.",10/03/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Declares a named individual to have satisfied certain requirements of the Immigration and Nationality Act relating to eligibility for naturalization.",,,,,,
"S. 1988",https://www.congress.gov/bill/98th-congress/senate-bill/1988,"98th Congress (1983-1984)","A bill to designate the United States Post Office Building in Flushing, New York, as the ""Benjamin S. Rosenthal Post Office Building"".","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 10/21/1983)",Democratic,10/21/1983,"Senate - Governmental Affairs","Referred to Subcommittee on Civil Service and General Services.",11/02/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Federal installations","Government Operations and Politics",Names,"New York State","Postal Services and Facilities","Postal facilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3238,,,,,,,,,CRS,Senate,"10/11/1984 Provisions Included in H.R. 6440.",,"<p>Designates the U.S. Post Office Building, Flushing, New York, as the Benjamin S. Rosenthal Post Office Building. Requires the Postmaster General to install an appropriate plaque indicating such designation.",,,,,,
"S. 1987",https://www.congress.gov/bill/98th-congress/senate-bill/1987,"98th Congress (1983-1984)","A bill entitled ""The Vaccine-Injury Compensation Act of 1983"".","Bentsen, Lloyd M. [Sen.-D-TX] (Introduced 10/21/1983)",Democratic,10/21/1983,"Senate - Labor and Human Resources","Read twice and referred to the Committee on Labor and Human Resources.",10/21/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Communicable diseases","Government liability",Health,"Preventive medicine","Public health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Vaccine-Injury Compensation Act of 1983 - Directs the President to evaluate the establishment of a Federal program to compensate victims seriously injured by Government vaccination programs.  Directs the President to design and report to Congress by July 1, 1984, such a proposed program and alternative programs, with associated costs, which: (1) do not propose creating a new agency or hiring additional Federal personnel;  (2) ensure that victims of episodic vaccination programs and participants in all childhood vaccination programs are eligible for compensation;  (3) propose options including the imposition of a vaccination fee to create a compensation trust fund; and (4) ensure that State governments participate in the administration and, if appropriate, the expense of the program.",,,,,,
"S. 1986",https://www.congress.gov/bill/98th-congress/senate-bill/1986,"98th Congress (1983-1984)","A bill to provide for the duty-free entry of articles required for the installation and operation of a telescope in Arizona.","DeConcini, Dennis [Sen.-D-AZ] (Introduced 10/21/1983)",Democratic,10/21/1983,"Senate - Finance","Committee on Finance requested executive comment from OMB, International Trade Commission, Office of the U.S. Trade Representative, Treasury Department, State Department, Commerce Department.",10/25/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Authorizes and directs the Secretary of the Treasury to admit free of duty any articles determined to be required for the installation and operation of a certain telescope in Arizona.",,,,,,
"S. 1985",https://www.congress.gov/bill/98th-congress/senate-bill/1985,"98th Congress (1983-1984)","A bill to amend the Internal Revenue Code of 1954 to make certain sales of fuel for use in a taxicab exempt from tax, to make permanent the provision for refund of taxes on the sale of fuel for use in a taxicab, and for other purposes.","Matsunaga, Spark M. [Sen.-D-HI] (Introduced 10/20/1983)",Democratic,10/20/1983,"Senate - Finance","Committee on Finance requested executive comment from OMB, Treasury Department.",10/25/1983,"Moynihan, Daniel Patrick [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Excise tax",Fuel,Gasoline,"Motor Vehicles and Driving","Petroleum and petroleum products","Tax exemption",Taxation,Taxicabs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4375,,,,,,,,,CRS,Senate,"06/27/1984 See H.R.4170.",,"<p>Amends the Internal Revenue Code to exempt from the excise taxes on gasoline and diesel and special motor fuels any such fuels sold for use in a taxicab.  Makes permanent existing provisions for the refund of taxes paid on the sale of fuel for taxicabs.  (Present law terminates such provisions after September 30, 1984.)",,,,,,
"S. 1983",https://www.congress.gov/bill/98th-congress/senate-bill/1983,"98th Congress (1983-1984)","A bill to amend the Immigration and Nationality Act to provide special authorities and procedures for the control of immigration emergencies.","Chiles, Lawton [Sen.-D-FL] (Introduced 10/20/1983)",Democratic,10/20/1983,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Policy.",10/24/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative procedure",Aircraft,Airlines,Aviation,"Civil Rights and Liberties","Congress and Members of Congress","Congressional oversight","Congressional-Presidential relations","Courts and Civil Procedure","Crime and Law Enforcement","Crime prevention","Criminal procedure and sentencing",Deportation,"Federal-local relations","Federal-state relations",Forfeiture,"Illegal aliens",Immigration,"Judicial review","Judicial review of administrative acts","Local and Municipal Government","Marine crimes","Maritime law","Motor Vehicles and Driving","Motor vehicles","Passenger ships","Presidential powers","Presidents and Vice Presidents","Right of asylum","Right to travel","Searches and seizures","Seizure of vessels and cargoes","Ships and shipping",Smuggling,States,"Transportation and Travel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Immigration Emergency Procedures Act of 1983 - Amends the Immigration and Nationality Act to authorize the President to declare an immigration emergency if in his judgment: (1) a substantial number of undocumented aliens from a designated country (countries) or geographic area (areas) are ready to leave for the United States, or have already done so; and (2) the normal resources of the Immigration and Naturalization Service and the procedures under such Act would be inadequate to handle the influx of these aliens. <p>Requires the President to explain such action to the Speaker of the House and the President pro tempore of the Senate within 48 hours. Terminates such emergency period after 120 days unless ended sooner or extended by the President. <p>Authorizes the President during an immigration emergency to: (1) prevent or intercept U.S. vessels, vehicles, or aircraft from travelling to designated countries or areas; (2) prevent inadmissible aliens from arriving by requiring their return or their vessel, vehicle, or aircraft's return to a suitable country or area; (3) exempt executive instrumentalities from additional specified environmental requirements for up to one year; (4) close harbors, ports, roads, and airports; (5) designate one or more Federal agencies including the military to carry out these emergency powers (once they are invoked by the President); and (6) enforce the admissibility and asylum determination provisions of this Act beyond the territorial limits of the United States, including on the high seas. <p>Authorizes State and local reimbursement for related immigration emergency costs. <p>States that nothing in this Act shall relieve any carrier or other person from civil or criminal responsibilities for transporting an illegal alien into the United States. <p>Authorizes the Attorney General to establish admissions and asylum procedures for such aliens. Eliminates judicial review of such determinations. <p>Permits the Attorney General to: (1) deport an alien to a country other than the one he came from when necessary; and (2) permit an alien to post a surety bond to ensure admissions compliance. <p>Requires an alien to be detained pending a final determination of admissibility unless he or she is clearly admissible.  Permits the Attorney General to transfer such detained aliens at any time.  Limits judicial review of the Attorney General's detention and transfer authority to habeas corpus questions of whether a particular person is within the category of aliens subject to detention. <p>Sets forth enforcement, departure, and judicial review provisions for ports, airports, and roads closed under authority of this Act. <p>Grants search and seizure and disaster authority to agencies enforcing this Act. <p>Prohibits U.S. conveyances to travel to, or within specified distances of, designated countries or areas during an immigration emergency without prior executive approval. Provides penalties for violations, including fines, forfeiture, and imprisonment. <p>Provides that violations of the Immigration and Nationality Act committed during an immigration emergency may be investigated by the Federal Bureau of Investigation, the Immigration and Naturalization Service, the Coast Guard, or any component of the Department of the Treasury. <p>Amends the Immigration and Nationality Act to increase the fine for unlawfully bringing aliens into the United States.  Permits the seizure of a vessel or aircraft so involved. <p>Authorizes appropriations.",,,,,,
